"SubCustomer.platform","AnyCommercialText","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Air Force","Not Classified
as Commercial",52523661402.1533,52884836190.0823,57754183164.2759,64990473586.9426,60033148423.4651,61458172340.4716,70619078636.7472,75832383068.1954,66597720819.6096,71308505134.2668,67465017925.0508,67135475157.3545,74288563372.7552,55768401321.9467,55832967350.8147,52635089725.1896,64632185348.1037,58980103190.172,67802422249.6151,70311630847.2156,69019138184.2795,67113656039.9115
"Army","Not Classified
as Commercial",50999130716.5838,53692782838.9137,57165882267.4574,75442009669.8355,82165306361.7868,109253979527.013,107096441986.514,114919937839.611,144269475220.298,149459030640.059,141804290582.428,123456526443.401,106251671968.723,83943201753.2646,70466317299.5285,66444537312.74,68191607250.6017,71003344111.7187,82508660654.735,83357938733.8335,84484370408.8905,65154048837.8742
"DLA","Not Classified
as Commercial",6148240379.90917,6445954769.04033,7149704391.87932,8920607777.57811,8126771857.82155,30196420599.5114,29847756034.3517,13813655886.6277,10550012493.4451,13705149117.9282,15873098210.6321,15529072761.2392,15723270255.4957,13035350666.4947,13543086888.862,15330950115.4117,18220081376.5735,19918677615.6959,24008533410.2949,23579257427.7135,20010778949.3706,16150162965.1004
"MDA","Not Classified
as Commercial",2110002199.71804,2500437767.22406,3625520222.79854,3753381119.76964,4634456539.52792,5077458179.53157,4432764698.00329,6078666704.33888,6919815001.77108,6724239246.69435,6314491746.41831,6264015144.10283,7915205524.03626,8755979809.81858,6767748754.16242,5211934365.9886,7275518267.14766,5863084187.64545,8784581914.15881,9148230287.71541,12569311860.1954,8738606041.7127
"Navy","Not Classified
as Commercial",58665146385.9665,59064018966.8387,62633976050.5494,71949679993.3549,74012778513.4427,80230644403.0768,88168930467.08,96398122593.1427,107217417981.957,106200844846.28,96755954701.6655,113012103083.59,101613896197.448,99951512428.7808,87596338266.9948,87488487227.6163,95963612429.6065,112136900517.419,107590433912.57,119269522859.094,145294183233.794,103164807153.796
"Other DoD","Not Classified
as Commercial",7877016871.9929,9311365497.14646,12083798846.0013,15249082565.9353,14225347743.5668,17320822388.8758,18126488288.1034,17007592199.6009,21648333787.6642,25302328784.7842,24250497061.2506,26893968601.3874,26127400615.8329,23386313102.6674,23715119482.2885,22258619864.7602,22825987010.4152,23492810169.2171,24704889212.2305,26929626530.3653,27083857901.2504,25598472724.4814
"Air Force","Non-Development
or Commercial Similar",0,0,142233370.092334,218566036.641307,551740788.114782,179710975.630543,35825359.9250575,35427548.392442,56484355.2260887,46558897.4007365,56655875.351165,267670085.537787,272337962.295774,93859572.5803101,27963553.250107,20184815.6885934,11671068.3511729,997023.137843102,472856.807384057,37643.9543130523,3270132.40626372,25084377.6344
"Army","Non-Development
or Commercial Similar",2028787.70411392,-488996.546000879,98252467.5272958,131955581.153757,449332194.780939,756017165.84636,466648885.284406,793465642.838402,903070466.111218,664093158.216108,172048312.992164,250066855.766741,309553808.609781,259613394.081931,83267913.811116,49110452.2968165,60570142.4413897,22743996.1641897,112081915.829142,106484094.130024,-2099786.43020666,145468.9089
"DLA","Non-Development
or Commercial Similar",38331440.3128154,,82806.6155797622,113373.625052328,97310.1384936164,18360442.9213082,31592832.3677018,63078179.0629662,56227446.7602263,26355617.7468355,27538971.4364163,61458070.037415,26728437.6439141,142454164.486246,17192511.861119,29253959.8938632,11447094.2653762,9281167.61144397,26609221.597152,-2138961.73529565,11792208.4935424,64812798.2242
"MDA","Non-Development
or Commercial Similar",,,,,,,,,,62983274.7389156,602901.273307955,,,,,,,,,,,
"Navy","Non-Development
or Commercial Similar",,,72953663.4084652,759119223.392044,401152601.317013,319920970.194643,125756322.949315,3240647.51114506,13942741.8955373,2907317.42450025,49491417.3199438,468826445.751525,51775599.3653966,43323588.2014229,43741659.4970064,29705470.5059161,33466085.0085572,14781838.6175147,28484840.1451563,29124247.3570927,12641049.0704784,13623111.6488
"Other DoD","Non-Development
or Commercial Similar",8301.17083126108,6474.79212188743,26458975.525104,24795919.9169507,144593546.393681,13227203.2714559,13124837.5467252,21063482.2861866,26835437.85127,13493075.2589276,161716811.491189,207230869.852213,173262499.891609,126467594.913265,139388735.747606,3861532.86316744,-684013.660707411,-722725.534578592,-5716251.76773429,-113875.482297948,5446690.50378218,3935722
"Air Force","Any Commercial
Classification",5828807811.66985,7988408139.83807,11980877553.0038,14410064150.0119,16262019531.5101,13375944864.6303,11707918382.2604,12760713501.7171,11356526994.5703,11878783211.8491,10741767360.16,9715550039.07452,8042508797.20567,6866196743.60421,6717766439.41778,6415128756.52038,7500048275.82359,7520222893.79363,8224747130.06686,9116208292.18935,10839859785.4819,11913353269.4806
"Army","Any Commercial
Classification",5619722959.75814,7035749066.21084,10822922140.4501,16420386600.0886,23523492375.5428,19036013028.5299,24993103532.4546,34402720877.5988,42452014043.3323,30541289637.3617,28256559276.8226,24132457452.5842,19352278715.6276,15051507087.2059,14045800950.4937,14616056185.8861,14177084534.3728,14655803545.5736,14939008189.0637,16126482959.6472,18719181193.0233,44714622908.1008
"DLA","Any Commercial
Classification",8541264261.36891,10663523833.9641,14364739884.7067,16409522110.3571,19257163825.183,7478666519.3865,12635673493.8242,24967162787.6946,33178397575.5263,32913516919.9883,26239971016.3926,26998342844.0468,34151737979.4555,25293302008.6826,22639125153.2509,19060718871.4315,15288402201.3475,18589335150.6625,24425460462.5979,22703134551.0289,22921966703.721,22915089835.44
"MDA","Any Commercial
Classification",2000001.08837573,4742114.39050581,39977238.0891995,74304204.945196,87250609.7061017,106790453.540017,120300155.477627,172706270.379771,140127417.477142,176628160.407581,144331435.098634,75603676.3972832,30483089.393558,19465275.7214058,17139822.2459485,17424314.7896902,27844056.7178899,37373417.0893838,53345322.1495402,80664343.6834599,82622058.7036252,78259983.5549
"Navy","Any Commercial
Classification",3557624644.53149,4143156287.64323,7730501171.96457,8858866047.92064,10473733004.3553,7989512373.72432,9423763206.76581,12396363221.3511,10952330355.2602,11327790842.5208,9422852480.77535,9077536520.11017,7648995025.35274,7090108813.42219,6693850907.81042,7157603654.93585,7055414952.18458,7163221561.17827,7692056296.14172,8457119721.79698,8599588438.33692,8456416398.5305
"Other DoD","Any Commercial
Classification",1278902115.15677,1912684744.96914,4619095140.19312,5586572945.95523,6321912450.16973,5762647837.89271,7016580603.96282,6507006648.56071,6897647892.649,7954346788.18102,9260417369.30497,10586603572.5873,11233094920.3952,9436958116.36129,9303996353.18274,9043729995.0727,9430164195.68726,10067274331.8007,11572707834.6944,12721753722.4534,13167672116.3347,12655583447.8306
"Air Force","Unlabeled",,,15871201.6346663,,,,,,,0,,,,,,,,,,213709.418340862,1303612.70722283,
