"PlaceOfManufacture_DoD09","Service","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"MFG Outside U.S.,
Other Exception or
Waiver","Products",3338332116.72404,1847251508.0024,1948271045.65774,1507148104.22371,1899705830.3547,624584504.664232,603834935.489224,699621170.153813,312686698.024612,347691108.864682,264337024.188421,686322260.614282,618413711.986163,4225266957.2953
"MFG Outside U.S.,
Other Exception or
Waiver","Services and R&D",76204803.6785675,92067904.862075,243626.761633583,399810.028928186,-207150.286599453,-28471.4142236237,-40117.9703940453,-439217.727312429,-436071.704422826,-1313.19822257045,-4708.37531209996,-8477.1204188793,,
"MFG Outside U.S.,
Qualifying Country","Products",1722252611.67821,1991061160.3625,1511326014.83329,1216698566.94619,636700303.269194,712510685.620062,616205913.545062,1399734924.10209,3369406200.66231,3098141986.298,4084385147.83327,3156960563.75676,3679534379.26833,6055079067.1508
"MFG Outside U.S.,
Qualifying Country","Services and R&D",35980948.6026753,12223802.4247679,1507340.60319529,1441518.13218972,34105.4006447614,302978.335490501,961572.825711258,,,-6073.59864658091,-44406.7205472127,-210.225955003264,,1925870.125
"MFG Outside U.S.,
Use outside U.S.","Products",17188153703.9842,16676586744.0357,13400495165.2013,13010852380.6643,13853735706.4148,6575834540.22769,5425130078.07886,3977745055.93978,3832235447.72858,3338643694.21164,3168538956.08376,2563153517.7406,2165289584.1971,2338827586.3025
"MFG Outside U.S.,
Use outside U.S.","Services and R&D",501437273.326742,81949731.5255735,-3375423.98556726,-1903827.18484558,-337117.713889214,118761.17393693,-38126.3970985344,,-5572.61591176309,,,-19894.1548291822,,
"Not MFG, Foreign
Place of
Performance","Products",4165520253.06089,4513674105.85177,3947657097.57965,4219230459.89072,3037279381.96613,1852616362.25572,859144566.615509,928532773.071366,954478065.498331,942177553.757656,749617262.953225,795495326.772954,576872972.524754,595973712.3467
"Not MFG, Foreign
Place of
Performance","Services and R&D",23954631725.732,25832014320.6162,26234116331.2195,21041377559.9533,19514466917.7175,11604793627.5628,11155213101.7645,11192753039.8306,10906097247.6773,12448184605.0915,12706203109.4779,12496238333.2882,10337058290.4189,10569074926.0146
"Not MFG, U.S. Place
of Performance","Products",23581713.8924687,200001541.853769,315513.557524409,-864315.096147379,8185756.24518535,2617136.37970297,210297.342764011,475074.672469227,37022402.1314756,947753.151698858,3106347.55294597,4430339.35203946,8438380.17168003,13888177.1285
"Not MFG, U.S. Place
of Performance","Services and R&D",584777922.310923,623027544.524592,392195960.619694,137429447.16317,156817282.950522,484137595.060802,391381424.43452,344075404.567077,489886269.359242,531064362.660157,798054213.020798,759355999.471651,706724715.622323,1008385983.3273
"U.S. Manufactured,
Foreign Vendor or
Origin","Products",2342083390.15141,1608294508.63253,1610664482.72834,577218102.251246,208720796.979125,436435025.185454,216370974.602629,169101445.776564,188975703.311571,186458719.491689,127273303.973858,120002393.370165,141256706.033944,218811193.0697
"U.S. Manufactured,
Foreign Vendor or
Origin","Services and R&D",14083165.8794894,-1492051.90044952,825397.693191435,-43789.6398990849,-25530.9440611236,-4501.14826201132,0,,,,,0,,
"Unlabeled","Products",12535646.1150477,299752561.087376,109857777.224754,932051.790737445,-1091518.37038532,-27716536.544055,-2333503.6660827,-2060273.72259491,-2631617.01920144,-1146096.93422467,-5423576.95082065,-336867.528649302,-154120.698206818,-2174559.0284
"Unlabeled","Services and R&D",480575178.909311,1480641877.52174,1715382647.2029,535944427.319699,368790281.805679,191127426.628821,139635445.916295,39492422.4240746,39516798.0189223,34339238.7800307,3806541.79157119,-1471478.19596099,27209456.6874238,57491247.3435
