"Competition.sum","2000-01-01","2001-01-01","2002-01-01","2003-01-01","2004-01-01","2005-01-01","2006-01-01","2007-01-01","2008-01-01","2009-01-01","2010-01-01","2011-01-01","2012-01-01","2013-01-01","2014-01-01","2015-01-01","2016-01-01","2017-01-01","2018-01-01","2019-01-01","2020-01-01"
"1 Offer",196417163.256293,554331320.293398,503832763.306908,693125907.131934,1104412415.76582,1321449540.8639,1096904961.47657,916418400.669939,817018548.594789,910930754.796943,1179076518.69543,1355797143.724,1301490326.20519,979888154.180404,844919393.698009,686961193.626011,656752131.990688,874107923.375452,764850603.125547,925428808.977655,1556489772.39
"2 Offers",1065870739.91609,660865890.98231,819331207.531144,835918428.811066,1245691489.06829,1135036951.69947,1111534692.58254,988237566.755313,1010373747.9916,1145992947.69271,1484688028.61129,1535201666.58582,1290625823.3912,712916634.704702,1241564816.35254,880486337.946885,1109323838.7046,932700036.605297,1083077385.59161,1531808097.70003,1235537486.735
"3+ Offers",750522643.89813,1325940893.13965,1086165158.5504,1463512811.06631,1449917212.53055,1516578229.87708,1548423310.49917,1478710672.73568,1455159889.82564,2088594522.47821,2516717101.41544,2367982951.50287,2371430185.62028,2397252209.11907,2345543890.56261,2136259144.54536,2576824454.22393,2805693855.49915,2576061701.07173,2794060884.51138,3398152673.3372
"No Comp.",400887624.024731,657577032.935423,567983241.789354,881838342.83331,883227078.013847,1022204504.59078,929335041.173369,1353060664.28048,1385910447.15622,1199675320.26685,1311228445.09727,1180372609.18299,1108760870.84246,1047104227.69501,1305953232.5646,1662509864.51519,1434802219.92095,1580572978.8763,1836375546.49386,1535376132.49617,1350824860.0888
"Unlabeled",401676843.809804,315230104.990651,611169343.007361,445394085.916864,469431267.988053,263111831.357049,236761142.373931,167626588.414192,71264655.1436747,39949267.304285,22756570.3379878,11207935.5376155,39547170.8773682,63180094.800654,37820691.486615,38637776.92,68633908.8652951,74751185.0035099,74548256.311472,45609167.8447097,134093901.88
