"UnmodifiedUltimateDurationCategory","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"<=2 Months",,,,,,,,,,,74734263.2115,651380321.6269,2368161460.2788,387322869.0227,867173736.755,1793294442.1152,8986530381.4568,28853574136.0881,32927067509.1984,27985395232.9318,26925939144.2331,25383687854.3758,23787504920.623,19382392583.2261,30746772021.9807,27795380312.4302,28805789808.5697,29380061003.6522,33683816839.4414,28434402309.6145,28239741363.0082,29886789554.6897,
">1-2 Years",,,,,,,,,,3325939,1135593048.9812,4067937041.4718,2792693264.6063,5571766955.4327,5620711523.7356,9249944035.8233,16313105999.3206,49317656825.8897,64368328194.9973,71984940214.2943,67754978414.3872,64590703986.3584,67600449312.0504,51207024816.8342,41646318801.1925,42797866233.2497,47604599900.5228,57417582802.4407,65349791331.384,72771054780.5247,92882628827.6225,59486921953.1548,
">2-4 Years",1135000,3869000,,2766869,1621810,486569,262350,,,2850000,2488488999.5,3583957397.1739,5814182755.0033,7422257917.9743,12426924424.9761,12419814135.746,17677199481.876,43002041756.502,61457781271.3861,64899036462.6905,63574178116.9286,63728834599.2325,65817077325.0976,66983168547.2749,58302878157.8006,58391505511.9519,65460542333.1938,68056042692.3043,80072930295.397,85825473719.6066,82694454592.4217,73545607978.2422,
">2-7 Months",,,,,,,,,,,343143083.9819,512644115.1622,1551584506.2706,3166422553.0117,3417904548.6294,6664511713.4476,12823109073.1232,32569085750.8529,41280009155.539,38821614630.9102,41828439775.151,45956576086.6899,41292376558.0695,27466301025.5896,24160509911.495,26125702552.7336,24403593432.9891,33231234836.637,28223725329.3186,25022054392.1542,28269953091.5212,33307757023.3248,
">4 years",1499432000,237541000,364081104,313330343,543901007,665199848,7555413,38487552,1052459050,986981234,5014807464.1224,8060151587.7767,17072736535.8136,29950073467.2819,39566814730.4011,51008975112.2732,64541723457.9996,80609678453.9651,93538197251.543,92140510262.9805,81915627059.0266,89069076024.9235,90500551439.0187,85578634929.048,73951221508.0233,67573667531.3061,79314140342.6538,80897491236.1986,95055711336.2862,116942164661.524,125142206500.11,117532786517.496,
">7-12 Months",2200000,387000,2335875,4100000,1450000,6e+05,-245000,,,,995882938.2904,1721774082.7525,3795325537.2678,8252707034.8617,6009659447.8282,8144957842.5764,13533320831.6283,41077082691.8883,53088966473.8182,62162337873.0952,65979975873.5757,67159625346.9013,62601163534.6425,50539126429.768,51540551317.6348,48770798539.296,50284234718.1463,49643715607.9348,55218588812.1623,54794017523.1987,63436734491.8029,71659601378.2992,
,118847362405,135912396844,123040243571,121053184930,116614929908,115925728451,118441206335,115943664327,115913423117,121191879315,122125836708.3,125416521672.997,136401878547.514,156875696218.509,161838916766.526,176437763017.321,161350026752.86,52711686497.3843,31298361446.0184,23537398240.3762,14424730457.7055,12677411705.6807,6037307566.0851,5424404010.9406,2936110261.3721,2729571085.6569,2488885807.1566,1996262223.1706,1351366862.3723,66327775.3231,1155021376.8385,1643155934.6411,414381679182.272
