"ServicesCategory.detail","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"PAMS",18520593410.702,18516944604.7629,22893849727.7647,30427749422.8182,36061861457.7576,40240127341.8251,45356145382.1178,50105464647.8898,56960265887.2556,60684898172.9061,61515049107.3107,59243877642.2251,56090555906.0885,50090326252.324,43448435621.9694,42822416367.171,44425199531.5801,46981589971.8973,51542966576.1095,55861454881.7234,58487862619.998,58385009010.4856
"ICT",7200503983.721,7528808425.9988,8269334604.0587,10185234830.7847,12573750484.0563,13205637590.3391,14171213668.4898,15045968265.3838,15529095502.7969,16420721092.0985,16773840348.909,18031805136.1003,16921868268.0238,15039069395.4993,14325467013.9831,13520111504.7757,15040401629.9816,15399938671.6158,17790498321.2288,18915546453.397,21485675563.7448,19224455969.5909
"ERS",8561801046.1416,9758469753.9395,10670027377.2097,12995503451.049,13322912995.3914,16204136660.3066,16398866016.988,17490214364.0078,20270760447.5014,21809499865.1097,21098561446.2976,24527212933.3089,26801864914.6128,21995150570.5433,23525083266.9373,22534483248.4031,23028316947.0899,26364344189.2251,28982169383.4354,29825062105.1013,29238661666.1894,29017615052.8676
"FRS&C",17072537941.7748,19081439777.1096,21172652192.0444,27544417369.3415,27417964077.1255,30151095484.707,35436139336.9507,35378803034.401,44546061012.5613,52905089188.1463,48106712038.4926,41928611077.1482,38849773435.1165,31585637642.9731,34068565171.8007,30057034304.2433,30145031141.2343,29802596774.8811,37098074948.7973,41790076649.5721,49124253216.1663,38893277806.4903
"MED",2206554815.8008,3356057051.2363,5353433907.9385,7128769923.96,6472680683.7143,8011111267.0005,9433878304.0826,10713408949.4613,10880534664.92,13674754565.3117,12939215879.3626,13924617700.9444,13708931901.9753,13363623688.6613,14209286517.6201,12704542512.3809,13357946778.296,13666459995.0611,13958280278.567,14192470021.4277,14679398988.3345,15337606445.8716
"R&D",18975571688.1952,20659939450.0872,24447959897.3183,28293381987.8419,29933848137.3657,34308479488.2838,37917799020.3451,40740659030.8745,39515918070.8944,41998376180.2223,39753925416.6272,37470739089.0029,33395994906.2791,26566746535.464,24194265869.9283,22527325311.6689,23414434474.478,24590720482.7054,26150331530.9541,29756218178.5443,30219025303.3337,31432718613.4247
"Products",56053927351.5134,60938738426.8841,71461512674.1248,89236075696.3552,97311035609.1872,113815634330.979,123179095749.316,145952938849.225,175553292208.416,154866348663.726,149637786230.346,159043208748.822,149815557582.456,133390479617.464,116855299243.59,120824222887.348,142736397023.078,156006163625.163,173453003552.93,185484166269.462,211845438147.193,187188044201.306
"Fuels",3539978909,4114617850,5406158242,5644483530.7695,6524579126.4709,9564497100.7392,13080677125.2278,12521122660.2773,14398686452.3647,18721536325.4232,12353941753.2971,14004241053.2505,21690447759.8324,14231146403.2733,12423958605.5834,8942500936.2246,5879211092.2971,7570267424.2692,9657680562.9594,7726653536.2816,6227019184.4964,7034032800.8822
"Unlabeled",29507158.5386,9838575.9425,84083862.2955,75741000.174,7078195.7826,3802636.1223,109748294.8077,18047585.0499,368043.2192,986168.1333,-253919.658,-140825.1013,-6477.8001,-99723.1206,NA,30000,3581529.4308,1345607,-212795.3672,465885,314555.625,386316
