"SubCustomer.sum","SubCustomer.JPO","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Air Force","Air Force",37958129703.9792,40652410691.7346,47402011725.1348,55569365806.9876,55056520008.7642,55586702400.5775,63178874606.8687,69880572415.0592,63643272974.8815,67800450483.7781,64902758327.4933,65471255934.9809,71486692034.5076,55055929962.1911,55795650927.6682,52960105228.2718,65083964720.1821,61008007061.2675,71343166493.4108,75845952528.3885,77838629847.1988
"Air Force","F-35 JPO",NA,NA,NA,NA,375000,1100938,NA,18155,5658528.0391,9849326,2927417,-5000,6652363.7969,6560714,12804773.37,800784.2519,4090675.5,2381132.9609,520071,565495.2813,998498.25
"Army","Army",36816714508.7767,40506777632.2398,46140177485.6339,64112009829.8469,75922598096.5376,95414444934.8561,101542774585.061,118188593379.257,152781502183.047,146737651981.375,140953734030.303,125119443513.802,108616992646.747,86805666035.0117,75209210227.1979,72468966564.2857,74018109768.6407,78367436169.0643,91634720796.0966,94840299293.7939,100141585213.164
"Army","F-35 JPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,206400,25500,NA,0,NA,NA,0,18323171.9375,908836.1944,194252.3672,-12414.4805,3242630.2803
"Navy","F-35 JPO",178031456,268635741,6554622,239927692,196180517.0938,297828366,634208169,1065862766.7227,2725377126.3311,3681464062.0067,1874856013.4357,4877655064.5174,4691798600.1306,12181364143.38,3796342018.2,11389818543.0914,10143588537.0827,24140285523.0243,15839582196.2489,17244736490.1055,35815025520.6929
"Navy","Navy",40297578381.9593,41942298464.8412,47787048789.0858,56700220382.4723,60622576359.0003,65314644503.8766,74324918466.3887,84718044929.3072,93701888950.942,92072325878.5309,86214019790.6207,99171181940.8236,89920331082.2548,81816957956.9872,80331823372.8819,73495327382.9981,82830904731.2067,85325771924.7752,92021560596.715,104751079281.853,114136997531.26
"Other DoD","DLA",9580614163.6178,11426063429.7901,14591296027.8973,17678992692.3094,19619577074.4317,27932430142.7928,32613003554.8359,30627306588.9314,35724232129.3528,38001522311.5918,34948183114.0006,36156678383.9385,43190032880.0146,33769600615.2919,32283074585.6749,30860856931.4905,30241626915.5193,35336966924.9736,45053199805.797,44192620433.3969,41850402307.5569
"Other DoD","F-35 JPO",NA,NA,NA,NA,37344,NA,NA,NA,NA,236838.1304,-2838382.3916,-889891.9424,5205897.0469,350000,-213937.31,-139380.4094,0,-794882.8325,-44602.4492,-86098892.7188,-10056234.0313
"Other DoD","MDA",1373879916,1673010902,2485964870.8281,2671495105.0938,3382922949.586,3841746302.1563,3492627123.4842,4929029582.7202,5760262871.0691,5673422750.5378,5356951767.0357,5382146532.3794,6877002433.8232,7703008831.9635,6050847486.8789,4688499792.4277,6589081606.021,5413263859.5578,8293301636.4348,8812739694.283,12326711111.823
"Other DoD","Other DoD",5956028175.0544,7495657054.3552,11345958964.1747,14559345704.384,14824923417.4379,17115624312.0436,19297156392.6873,18557199569.5732,23312787526.2666,27105080189.1263,27928160723.4882,31996709257.2015,32480302461.6925,28922642124.116,29570820072.851,28068940440.6679,29100830021.3758,30789200192.8327,34018252783.5203,37949973529.4575,39233088810.8676
