"","EntitySmall","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Unlabeled",7,3,6,6,17,10,11,12,9,9,7,67,44,69,55,130,116,40,68,57,48
"2","Other Than Small",7104,7003,7137,7417,7225,7148,6648,6961,7246,7840,8329,8944,8494,8034,7761,7477,7525,6514,6074,6427,5652
"3","Sometimes Small Vendor",3641,3808,4617,5407,6811,8104,8497,10104,10375,10337,10371,9563,9148,8632,8178,8332,8279,7815,6749,6649,5899
"4","Always Small Vendor",16016,16607,18911,21551,21765,22771,23434,25641,26116,26142,26750,26508,25872,24882,25134,23621,23378,23234,20094,22907,20210
