"SimpleArea","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Products (All)",123024342.4,67336104.64,13270461,-1320382,1977295.89,244624801,227148038.77,507792890.04,584714225.34,947392289.77,1409926578.42,298637133.02
"R&D",266764901.74,405648534.72,326666879.73,523795221.6,692410749.79,1187333627.82,1855056666.47,3335500176.24,6512210342.13,14803930633.32,12130787331.46,1708716852.12
"Services (Non-R&D)",3245324.69,1020957,622432,1084245,745272,3196609.64,44701690.14,173217382.26,363339768.67,470549430.57,1824689369.4,184661223.3
