"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Products (All)",68380721115,73383395678,60090730088,60299705534,51512841085,49691607958,52193436723,49278780640,48098195391,51802770524,59593906260.5134,65032039465.7591,76869019774.4998,94870527667.1245,103856299474.658,123344298471.29,136246997536.19,158496585570.479,190007374324.84,173665720938.899,162004877465.054,173089498127.221,171551949591.323,147636992849.787,129376750246.894,129800148412.8,148647289683.223,163617712425.285,183153388259.074,193258206970.217,218415522866.054,194231068389.017,209698952347.814
"R&D",20916048764,21082558949,22015936589,22627218443,22528739720,22289753200,20883686124,20471595002,20666428473,20058524094,20084351696.203,21805938374.388,25937701558.6231,29608841824.5558,31287690940.3064,35782479960.6093,39378760539.7408,42273090487.652,41172918152.9054,43777181278.7004,41468625841.8582,39034114782.3196,34976010465.1431,27989076518.8746,25700436217.2794,23787182030.2238,24585898132.3938,25646797869.4996,27288898604.0417,30904497445.0897,31752924773.8833,32713479122.3333,35115473601.6925
"Services (Non-R&D)",31053359526,41688239217,41299993873,38446458165,43120321920,44610653710,45371656251,46231776237,48201258303,50323741870,52470721391.1324,57145822127.7463,66919716030.7112,86977977020.4827,94610888438.0419,106532779957.868,119429671740.115,127365756937.728,146807439226.44,164111492401.253,158930619453.754,156442443876.722,151108477076.921,130955082697.14,128207174160.326,120597081323.601,125125016283.345,131349990903.554,148513746685.703,159692235849.639,172432736908.026,160118954770.307,169506266099.698
"Unlabeled",0,,,,,,,,,,29507158.5386,9838575.9429,84083862.2943,75741000.174,7078195.7826,3802636.1223,109748294.8077,18047585.0499,368043.2192,986168.1333,-253919.658,-140825.1013,-6477.8001,-99723.1206,,30000,3581529.4308,1345607,-212795.3672,465885,314555.625,386316,0
