"Output","Model","Variable","Odds Ratio","Lower Bound","Upper Bound"
"Ceiling Breaches","Concentration","Log(Subsector HHI)",0.68,0.56,0.83
"Ceiling Breaches","Concentration","Log(Det. Ind. HHI)",1.21,1.03,1.42
"Ceiling Breaches","Competition","Comp=1 offer",0.76,0.66,0.89
"Ceiling Breaches","Competition","Comp=2 offers",0.98,0.84,1.13
"Ceiling Breaches","Competition","Comp=3-4 offers",0.92,0.8,1.05
"Ceiling Breaches","Competition","Comp=5+ offers",0.99,0.87,1.13
"Ceiling Breaches","Both","Log(Subsector HHI)",0.69,0.57,0.83
"Ceiling Breaches","Both","Log(Det. Ind. HHI)",1.22,1.04,1.44
"Ceiling Breaches","Both","Comp=1 offer",0.76,0.66,0.89
"Ceiling Breaches","Both","Comp=2 offers",0.98,0.84,1.13
"Ceiling Breaches","Both","Comp=3-4 offers",0.92,0.8,1.04
"Ceiling Breaches","Both","Comp=5+ offers",0.99,0.87,1.13
