"source","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Contract",120350129405,136154193844,123406660550,121373382142,117161902725,116592014868,118448779098,115982151879,116965882167,122185036488,132178486506.387,144014366218.961,169796562606.755,211626247016.094,229748105178.852,265719260299.303,295225015978.265,328140806112.57,377958711302.5,381531232917.279,362403868841.008,368565915604.162,357636430655.587,306581052342.681,283284361979.499,274184491766.624,298361786343.232,320622390402.338,358955930806.362,383855495161.945,421820740243.325,387062620339.848,414447542440.93
"TOA",2.91356e+11,3.1062e+11,2.85195e+11,2.69655e+11,2.51339e+11,2.54215e+11,2.55052e+11,2.54186e+11,2.59123e+11,2.72729e+11,2.86958e+11,3.1654e+11,3.55378e+11,4.33024e+11,4.56052e+11,5.02476e+11,5.36272e+11,6.03872e+11,6.69279e+11,6.65861e+11,6.91791e+11,6.89092e+11,6.52288e+11,5.85393e+11,5.81188e+11,5.65403e+11,5.87978e+11,6.09287e+11,6.7296e+11,6.93001e+11,7.25757e+11,7.09314e+11,7.15115e+11
