"Fiscal.Year","exclude","NAICS_Code","NAICS_DESCRIPTION","Mismatch","def_obl","US_rcp","def_ratio","OPTAX.display-label","US_pay","US_emp","us_avg_sal","def_cont_count","us_estab","def_hh_index","def_top4","def_top8","def_top12","def_top20","def_top50"
2007,"No","211","Oil and gas extraction",NA,47294123.8226,255104849000,0.000185390924586463,"Total",9593816000,"150443",63770.4379731859,49,"6260",1308.99927125397,0.637618157761012,0.83847760239784,0.928870491971438,0.992408011004573,1
2007,"No","212","Mining (except oil and gas)",NA,31590513.4432,85855252000,0.00036795085574031,"Total",11623688000,"211377",54990.3158811034,295,"6472",281.060020169908,0.242667162595415,0.372837181343227,0.466737969469762,0.591914837501323,0.826442284061834
2007,"No","213","Support activities for mining",NA,3026441.6785,72564630000,4.17068436578537e-05,"Total",19469968000,"368613",52819.5370212119,74,"9935",905.350871578959,0.512253186216736,0.712171091506307,0.827553943347538,0.915956557774544,0.994291110211521
2007,"No","221","Utilities",NA,1779762191.3536,584192658000,0.00304653296644752,"Total",51653618000,"637247",81057.4518200949,1369,"16578",301.913169939342,0.275302439194143,0.411229582116147,0.496792725480432,0.618308355449782,0.836746783176379
2007,"No","236","Construction of buildings",NA,14233825232.0906,748498899000,0.0190164945480977,"Total",78144634000,"1541083",50707.6088698662,3081,"211956",63.6020991264559,0.0835299245953485,0.143334363082959,0.190695397571315,0.272333408887877,0.468149138794936
2007,"No","237","Heavy and civil engineering construction",NA,5993577827.683,260455579000,0.0230119003428335,"Total",54176426000,"1044064",51889.9473595488,2464,"39439",79.4070618843868,0.121633629896081,0.183691065571444,0.228247628237205,0.293892633741907,0.445217007844925
2007,"No","238","Specialty trade contractors",NA,2033612072.6832,722887352000,0.00281317976729962,"Total",198681658000,"4731093",41994.8747572707,6826,"477950",26.2315200445498,0.0566906494762404,0.0892320023582057,0.116545822760915,0.164132700127107,0.269499319632858
2007,"No","311","Food manufacturing",NA,279638592.2664,589725614000,0.000474184240310783,"Total",50387922000,"1464238",34412.3851450379,191,"25616",1728.23722606332,0.738074929219851,0.904221408539681,0.939495037371384,0.962725421992959,0.991175515473705
2007,"No","312","Beverage and tobacco product manufacturing",NA,21356579.6963,128130807000,0.000166677945736344,"Total",7370507000,"153802",47922.0491280998,186,"3819",1620.14182280147,0.658480748637444,0.746988891817602,0.80098658016862,0.862658460597638,0.956284551259146
2007,"No","313","Textile mills",NA,102439898.6698,36130750000,0.00283525525126935,"Total",5286717000,"157901",33481.2129118878,304,"2972",1805.93542777922,0.704051914069258,0.833076586991164,0.885941277552006,0.936736485753388,0.971256045246589
2007,"No","314","Textile product mills",NA,859108493.8533,28682164000,0.0299527083749085,"Total",4275323000,"147372",29010.415818473,827,"6694",482.43314832529,0.366095839234738,0.541029665820334,0.637050123085683,0.77231626449558,0.927411365400326
2007,"No","315","Apparel manufacturing",NA,2794765017.5949,23626238000,0.118290733276914,"Total",4119758000,"168975",24380.8729101938,1292,"8518",483.597620003746,0.379139922517414,0.470125923730695,0.546735668637912,0.6408454599057,0.788066696374993
2007,"No","316","Leather and allied product manufacturing",NA,194090458.9035,5455857000,0.0355746968631143,"Total",1008356000,"33965",29688.090681584,311,"1300",584.199106819972,0.381022077769586,0.601165813869024,0.716768362453653,0.868831193096181,0.969269496704498
2007,"No","321","Wood product manufacturing",NA,85333880.7987,101711917000,0.000838976231258133,"Total",17426832000,"523899",33263.7244965155,431,"16868",1645.38917839421,0.569535177363397,0.718805795842449,0.780106779211185,0.840427128814955,0.915923431800776
2007,"No","322","Paper manufacturing",NA,42406220.9544,176687641000,0.000240006718717808,"Total",20858769000,"418241",49872.6069419306,464,"4988",769.027161359487,0.480169959123355,0.593731329248457,0.659677362401123,0.729340430196312,0.845970756992302
2007,"No","323","Printing and related support activities",NA,23059856.9168,103018470000,0.000223841966559977,"Total",25757320000,"646183",39860.7205698695,532,"33817",510.694502382414,0.404215631465968,0.550207200920708,0.608675477200692,0.68076989713935,0.791555260598785
2007,"No","324","Petroleum and coal products manufacturing",NA,10069729920.6078,615484030000,0.0163606680755109,"Total",8508950000,"105775",80443.8666981801,404,"2283",796.564807973169,0.483414524344507,0.666386913332661,0.76821369448523,0.878833092784607,0.994021628208556
2007,"No","325","Chemical manufacturing",NA,1346452170.0556,716152473000,0.00188011941704989,"Total",50234763000,"800350",62765.9936277878,2640,"13789",513.80689652474,0.372999370636915,0.503115499642788,0.598250058099039,0.678516339667512,0.804224250928915
2007,"No","326","Plastics and rubber products manufacturing",NA,370790143.2292,209335541000,0.00177127181298469,"Total",32871881000,"848708",38731.6733199169,1704,"14347",519.217630048943,0.387619257533866,0.501363978538404,0.566782086504355,0.646215373099251,0.781810316126793
2007,"No","327","Nonmetallic mineral product manufacturing",NA,345349106.5788,127978584000,0.00269849138648698,"Total",20287261000,"478548",42393.3670185645,774,"17557",4568.65798966786,0.738488053684577,0.80565669699812,0.848365131211965,0.885473661315736,0.931760309446207
2007,"No","331","Primary metal manufacturing",NA,397173534.372,256851055000,0.00154631848552072,"Total",22655462000,"438825",51627.5554036347,1397,"4720",1104.13764078322,0.532301184209366,0.653063144396351,0.706134566087657,0.766557885017237,0.846612306144008
2007,"No","332","Fabricated metal product manufacturing",NA,8594336865.3388,345166675000,0.024899092200424,"Total",67709131000,"1611975",42003.8344267126,13052,"60895",149.382349805532,0.171252116744732,0.270770715155343,0.34180368844258,0.459788878382741,0.643667704214926
2007,"No","333","Machinery manufacturing",NA,5201260176.1583,350499485000,0.0148395658160762,"Total",56154986000,"1152853",48709.5804929163,10831,"26415",182.133267327115,0.219269158945277,0.302009619609245,0.356413473734841,0.440492471441055,0.6010374880386
2007,"No","334","Computer and electronic product manufacturing",NA,26140385872.262,395728996000,0.0660562812846345,"Total",65991098000,"1061108",62190.7458995691,16222,"14602",234.146711380984,0.219333512110627,0.341097619696226,0.426250814292989,0.552349366897571,0.735922425001271
2007,"No","335","Electrical equipment, appliance, and component manufacturing",NA,1403163832.9073,129180071000,0.0108620766504092,"Total",18748115000,"424958",44117.5716188423,5481,"6286",151.707833216399,0.175830156411912,0.263481756079871,0.322073960058081,0.399927207908541,0.5490343786604
2007,"No","336","Transportation equipment manufacturing",NA,88447068449.5124,745947384000,0.118570116802652,"Total",87513395000,"1579550",55404.0043050236,9938,"13071",517.007504336412,0.373442565101403,0.514671951641541,0.595538267747787,0.71718176784205,0.867923815645025
2007,"No","337","Furniture and related product manufacturing",NA,734264596.7972,85049179000,0.0086334119321387,"Total",17554573000,"513907",34159.0462865849,2072,"21746",195.46073900326,0.197163254119502,0.327020471698776,0.423903412227074,0.534074997656642,0.687944988074111
2007,"No","339","Miscellaneous manufacturing",NA,2182970570.5256,148913381000,0.0146593311888177,"Total",29047449000,"664537",43710.8076751182,7237,"32233",61.7066081736238,0.107732298157217,0.15375572739159,0.187811715430976,0.237164475364535,0.366754710412283
2007,"No","423","Merchant wholesalers, durable goods",NA,3123356903.0186,2898091632000,0.00107772882973446,"Wholesale Trade",206819191000,"3618805",57151.2394284854,12865,"254975",233.81689344207,0.23520450877589,0.350399362393053,0.437966976670589,0.542207699830013,0.67712737636758
2007,"No","424","Merchant wholesalers, nondurable goods",NA,8601390187.7815,2990899411000,0.00287585405117508,"Wholesale Trade",116022411000,"2319786",50014.2732993474,2677,"134614",886.109413970678,0.524369563947932,0.685956719352906,0.745141494625115,0.806398852398977,0.904175586808192
2007,"No","425","Wholesale electronic markets and agents and brokers",NA,8144251.3899,626717511000,1.29950914837291e-05,"Wholesale Trade",13365174000,"288798",46278.6238131843,87,"45394",1618.77280758012,0.678363393082225,0.813286933617146,0.865325195738582,0.917338515762943,0.983213528501794
2007,"No","441","Motor vehicle and parts dealers",NA,100253932.9247,891036746000,0.000112513803021879,"Total",72804722000,"1914466",38028.7359503903,962,"126779",330.667059525373,0.299272476261715,0.37525578846905,0.423820127007896,0.500937160436482,0.660570258159389
2007,"No","442","Furniture and home furnishings stores",NA,18069165.1257,108220081000,0.00016696684163173,"Total",14882633000,"557477",26696.4072060372,488,"65144",178.518588097288,0.189080385685321,0.29799746812362,0.377862501442878,0.503617406508493,0.699019364243354
2007,"No","443","Electronics and appliance stores",NA,1048838639.0645,109014992000,0.00962104954394254,"Total",11219666000,"486483",23062.8120612642,1465,"50803",421.960416482294,0.34121242892428,0.499105749747213,0.59215198197518,0.689380727686145,0.847605407632143
2007,"No","444","Building material and garden equipment and supplies dealers",NA,141753137.2432,318320271000,0.000445316086210545,"Total",37709991000,"1331322",28325.2218471564,716,"91070",659.394270101666,0.437988956752505,0.626674103561731,0.703071410978323,0.786532276677464,0.899376356727062
2007,"No","445","Food and beverage stores",NA,3696364.0498,539207574000,6.85517828019233e-06,"Total",54655594000,"2827162",19332.3177094203,60,"146084",1101.74930983633,0.494939640081363,0.663716204041303,0.771800587780151,0.897624745988948,0.999446294776384
2007,"No","446","Health and personal care stores",NA,203660109.6476,234026783000,0.000870242743317118,"Total",28414937000,"1068186",26601.1134764919,109,"88452",7359.4419021777,0.990926967365759,0.993434110365507,0.994596867724945,0.996195828072107,0.998733808761381
2007,"No","447","Gasoline stations",NA,2199757.479,450413061000,4.88386698670801e-06,"Total",14670825000,"890829",16468.7330565125,43,"118756",1405.80549517876,0.619169498695402,0.766091043285577,0.855999296456852,0.942913909108363,1
2007,"No","448","Clothing and clothing accessories stores",NA,31565870.4551,215647177000,0.000146377387797198,"Total",26855281000,"1644025",16335.0806709144,228,"156468",1990.61393347339,0.672033975554916,0.792024065573812,0.86148236574662,0.893401901360244,0.94826919640086
2007,"No","451","Sporting goods, hobby, musical instrument, and book stores",NA,217475087.7001,81084315000,0.00268208577331016,"Total",9465919000,"619075",15290.4236158785,442,"57415",5990.02321737577,0.955692079801001,0.961774658748792,0.965345226246086,0.969760312151928,0.979308576842276
2007,"No","452","General merchandise stores",NA,17560784.4932,577098195000,3.04294566251416e-05,"Total",54413555000,"2763474",19690.2720995385,71,"45855",3954.87010554752,0.908576713663596,0.944656418537128,0.959018128015653,0.975634633228217,0.997920557975152
2007,"No","453","Miscellaneous store retailers",NA,151665836.007,104068221000,0.00145736935396445,"Total",14397730000,"792105",18176.5422513429,845,"121911",1606.83412533587,0.670843491631482,0.8040345288049,0.840277210326626,0.87582277005698,0.921370577054497
2007,"No","454","Nonstore retailers",NA,12792906.7736,289526040000,4.418568628093e-05,"Total",23327834000,"620792",37577.5364373252,398,"59375",419.730533807621,0.339213881668233,0.502625334936796,0.576117672885789,0.666286144263739,0.809223009244241
2007,"No","481","Air transportation",NA,3161560148.4858,146612459000,0.0215640619497815,"Total",26119995000,"478157",54626.3988606253,218,"5661",3084.83088245164,0.875759822200821,0.931300457817705,0.953448098002397,0.975775481931383,0.998302058358826
2007,"No","483","Water transportation",NA,1211691545.7959,34446794000,0.0351757422126396,"Total",4544480000,"75997",59798.1499269708,142,"1721",1633.16392559115,0.642749009796977,0.776272956324083,0.85686996411016,0.934871734257761,0.99469517627877
2007,"No","484","Truck transportation",NA,345636922.2703,217833458000,0.00158670263716008,"Total",58266300000,"1507923",38640.1029760803,722,"120390",1533.50544609033,0.754380134404674,0.811816905363338,0.846506299934643,0.881694185711929,0.949734330967828
2007,"No","485","Transit and ground passenger transportation",NA,107465425.5388,26464611000,0.00406072190287626,"Total",9844475000,"444925",22126.1448558746,514,"17791",284.52090530758,0.246308216135428,0.411732596607586,0.519788782113025,0.622951118374235,0.821161232232042
2007,"No","486","Pipeline transportation",NA,5140203.501,25717767000,0.000199869743784521,"Total",3218745000,"36964",87077.8324856617,11,"2529",7886.61847266748,0.993485280645366,0.999533374203252,1,1,1
2007,"No","487","Scenic and sightseeing transportation",NA,401332,2447598000,0.000163969736860383,"Total",653338000,"24386",26791.5197244321,26,"2542",1022.45582653486,0.565638922388446,0.723592935524703,0.821967847069259,0.959230761563992,1
2007,"No","488","Support activities for transportation",NA,1899568701.8358,86596320000,0.0219359056116449,"Total",24578776000,"608385",40400.0361613123,1129,"42130",1082.88887850518,0.454538136875853,0.580624275108358,0.659888374250038,0.739524237838776,0.875628909776192
2007,"No","492","Couriers and messengers",NA,47566788.8944,77876714000,0.000610796044815142,"Total",20430622000,"557195",36666.9155322643,115,"13004",3687.38292477951,0.844609159847944,0.897566590943124,0.927684949396994,0.959530161999757,0.994411277295274
2007,"No","493","Warehousing and storage",NA,630279139.1904,21920686000,0.0287527105306102,"Total",25526342000,"720451",35431.0591560009,280,"13938",570.552721252269,0.404097293980104,0.547463962526627,0.648168785981356,0.77766465146656,0.94679413503233
2007,"No","511","Publishing industries (except internet)",NA,509686046.9505,282223524000,0.00180596585191283,"Total",80866907000,"1093047",73983.0098797215,2081,"30958",1097.73415912152,0.406742133730506,0.480984493219099,0.526498556833726,0.591083055302528,0.728518079414035
2007,"No","512","Motion picture and sound recording industries",NA,126602639.3215,94985691000,0.00133286011807294,"Total",17635488000,"335807",52516.737292552,295,"23891",2665.87260074256,0.689886386438,0.77450094973589,0.822224464936765,0.888495390611985,0.966869639165836
2007,"No","515","Broadcasting (except internet)",NA,29255414.8424,99919404000,0.000292790125553591,"Total",18076325000,"294876",61301.445353301,169,"10188",1313.52502497564,0.579228839855149,0.727965263946281,0.806432538426423,0.867912371037856,0.966709184622118
2007,"No","517","Telecommunications",NA,3905120728.4004,491123941000,0.0079513955692101,"Total",75401076000,"1250993",60272.9799447319,1320,"51999",438.928092500863,0.358626117199295,0.468759573619281,0.551513361796064,0.68403403743168,0.893300493964474
