"first_year_2018T","n"
2000,57021
2001,26473
2002,26268
2003,31680
2004,35074
2005,35917
2006,27922
2007,27149
2008,25782
2009,25472
2010,23724
2011,21614
2012,16615
2013,13346
2014,14177
2015,13151
2016,13820
2017,13375
2018,10949
2019,11543
2020,10224
