"Shiny.VendorSize","2000-01-01","2001-01-01","2002-01-01","2003-01-01","2004-01-01","2005-01-01","2006-01-01","2007-01-01","2008-01-01","2009-01-01","2010-01-01","2011-01-01","2012-01-01","2013-01-01","2014-01-01","2015-01-01","2016-01-01","2017-01-01","2018-01-01","2019-01-01","2020-01-01"
"Big Five",160205825.114088,228826336.833022,417442889.297848,388194245.794522,542451576.463074,619965359.04585,707582928.489978,730316216.330434,572612473.517351,609411804.198604,696740778.039265,675124441.123552,987942643.811459,672532125.122787,897038740.053982,849215273.00306,882915412.73189,784983092.36003,477702471.019988,368201560.655137,374358789.1134
"Large",1780925973.79656,2055670947.79232,1977965026.75595,2447678590.07897,2575037386.29256,2788563966.0996,2365664456.98149,2471203274.65378,2251854955.39559,2337278178.63048,2836901272.55508,3322739282.03276,2343319104.00517,1835068846.28143,2051176395.35896,2115687251.98842,2471041414.98679,2818041820.71644,2775469781.87341,3104200085.84267,4089594027.4863
"Medium",306025583.689092,738986128.289947,563586962.061155,740142759.627416,884164554.710834,831666887.681159,902933919.149879,749435498.77445,966031920.586996,1275966070.56753,1809697151.0722,1280975095.46051,1417913007.05546,1313620513.47221,1157438805.49049,966367061.653661,935413197.621765,1043942371.72538,1496302882.96461,1546916944.27875,1519928171.8648
"Small",455742083.94671,405617278.872429,488134978.765572,606439883.219797,858499119.942981,918021084.033333,938996389.379803,923966843.695912,949216245.555583,1162486759.14239,1171109664.94987,1171706599.69837,1362662085.75703,1379119835.62341,1670148083.76095,1472342257.29038,1555923437.37055,1619675316.91863,1583847101.23215,1811064735.10438,1690018015.9665
"Unlabeled",112475548.358604,84844550.5537178,141351857.304643,137334097.038788,292526825.9571,100163761.528327,7781454.10442998,29132059.401019,11693.6563983928,NA,17797.5409953455,16888.2180882181,17536.3073831668,NA,NA,1242473.6179235,1043090.99447753,1183377.6392257,1591255.50405996,1899765.64901541,1199690
