"StartFY","Ceil.Big","Dur.Simple","ContractCount","Action_Obligation_OMB20_GDP18","metric","Quantile","pCRai"
2007,"0k - <100k","<~1 year",787088,15356439007.8767,"Contracts within Period","50th Percentile",0
2007,"0k - <100k","(~1 year,~2 years]",28947,1553273279.25974,"Contracts within Period","50th Percentile",0
2007,"0k - <100k","(~2 years+]",6605,2265411143.3869,"Contracts within Period","50th Percentile",0
2007,"100k - <10m","<~1 year",95563,62696175174.4618,"Contracts within Period","50th Percentile",0
2007,"100k - <10m","(~1 year,~2 years]",22501,30004159510.4646,"Contracts within Period","50th Percentile",0
2007,"100k - <10m","(~2 years+]",5747,11162345464.1812,"Contracts within Period","50th Percentile",0
2007,"10m - <75m","<~1 year",1428,26078353941.3792,"Contracts within Period","50th Percentile",0
2007,"10m - <75m","(~1 year,~2 years]",1098,30046905186.8806,"Contracts within Period","50th Percentile",0
2007,"10m - <75m","(~2 years+]",655,30589239926.1473,"Contracts within Period","50th Percentile",0
2007,"75m+","<~1 year",360,31406290318.0907,"Contracts within Period","50th Percentile",0
2007,"75m+","(~1 year,~2 years]",192,23615475849.1009,"Contracts within Period","50th Percentile",0
2007,"75m+","(~2 years+]",114,32008826150.5508,"Contracts within Period","50th Percentile",0
2008,"0k - <100k","<~1 year",837325,16012783749.7888,"Contracts within Period","50th Percentile",0
2008,"0k - <100k","(~1 year,~2 years]",33915,2598279750.28905,"Contracts within Period","50th Percentile",0
2008,"0k - <100k","(~2 years+]",6102,457067545.335171,"Contracts within Period","50th Percentile",0
2008,"100k - <10m","<~1 year",101365,69274339794.2725,"Contracts within Period","50th Percentile",0
2008,"100k - <10m","(~1 year,~2 years]",24044,32446920237.8624,"Contracts within Period","50th Percentile",0
2008,"100k - <10m","(~2 years+]",5009,9999147566.99109,"Contracts within Period","50th Percentile",0
2008,"10m - <75m","<~1 year",1293,29726371506.4459,"Contracts within Period","50th Percentile",0
2008,"10m - <75m","(~1 year,~2 years]",1236,33950811514.4839,"Contracts within Period","50th Percentile",0
2008,"10m - <75m","(~2 years+]",625,21764577061.7334,"Contracts within Period","50th Percentile",0
2008,"75m+","<~1 year",438,29758326190.7928,"Contracts within Period","50th Percentile",0
2008,"75m+","(~1 year,~2 years]",178,46367142008.5049,"Contracts within Period","50th Percentile",0
2008,"75m+","(~2 years+]",137,54292105734.036,"Contracts within Period","50th Percentile",0
2009,"0k - <100k","<~1 year",749102,14142734387.5741,"Contracts within Period","50th Percentile",0
2009,"0k - <100k","(~1 year,~2 years]",30431,1665218590.17044,"Contracts within Period","50th Percentile",0
2009,"0k - <100k","(~2 years+]",4022,336704206.138574,"Contracts within Period","50th Percentile",0
2009,"100k - <10m","<~1 year",101054,66447631622.0272,"Contracts within Period","50th Percentile",0
2009,"100k - <10m","(~1 year,~2 years]",23294,31199550890.0695,"Contracts within Period","50th Percentile",0
2009,"100k - <10m","(~2 years+]",5187,11067790816.7891,"Contracts within Period","50th Percentile",0
2009,"10m - <75m","<~1 year",1306,34277604225.3414,"Contracts within Period","50th Percentile",0
2009,"10m - <75m","(~1 year,~2 years]",1260,31019272899.7834,"Contracts within Period","50th Percentile",0
2009,"10m - <75m","(~2 years+]",670,21288743446.8474,"Contracts within Period","50th Percentile",0
2009,"75m+","<~1 year",319,23036789566.9591,"Contracts within Period","50th Percentile",0
2009,"75m+","(~1 year,~2 years]",171,39390095820.0666,"Contracts within Period","50th Percentile",0
2009,"75m+","(~2 years+]",123,46933110608.3383,"Contracts within Period","50th Percentile",0
2010,"0k - <100k","<~1 year",747506,16613755583.1695,"Contracts within Period","50th Percentile",0
2010,"0k - <100k","(~1 year,~2 years]",29725,1769317644.60123,"Contracts within Period","50th Percentile",0
2010,"0k - <100k","(~2 years+]",5009,924523915.739659,"Contracts within Period","50th Percentile",0
2010,"100k - <10m","<~1 year",98192,66120694140.9447,"Contracts within Period","50th Percentile",0
2010,"100k - <10m","(~1 year,~2 years]",22579,31988805880.9457,"Contracts within Period","50th Percentile",0
2010,"100k - <10m","(~2 years+]",5274,9538143362.07046,"Contracts within Period","50th Percentile",0
2010,"10m - <75m","<~1 year",1271,31384449340.4638,"Contracts within Period","50th Percentile",0
2010,"10m - <75m","(~1 year,~2 years]",1278,32034370986.7778,"Contracts within Period","50th Percentile",0
2010,"10m - <75m","(~2 years+]",718,22122307519.6709,"Contracts within Period","50th Percentile",0
2010,"75m+","<~1 year",128,24493378723.2557,"Contracts within Period","50th Percentile",0
2010,"75m+","(~1 year,~2 years]",104,26329421765.0109,"Contracts within Period","50th Percentile",0
2010,"75m+","(~2 years+]",96,23796445165.0895,"Contracts within Period","50th Percentile",0
2011,"0k - <100k","<~1 year",716728,13801998588.8615,"Contracts within Period","50th Percentile",0
2011,"0k - <100k","(~1 year,~2 years]",32494,1324609859.58661,"Contracts within Period","50th Percentile",0
2011,"0k - <100k","(~2 years+]",6572,407244510.78602,"Contracts within Period","50th Percentile",0
2011,"100k - <10m","<~1 year",88864,57535204220.5779,"Contracts within Period","50th Percentile",0
2011,"100k - <10m","(~1 year,~2 years]",24647,34071844770.8251,"Contracts within Period","50th Percentile",0
2011,"100k - <10m","(~2 years+]",5270,9534113998.89933,"Contracts within Period","50th Percentile",0
2011,"10m - <75m","<~1 year",1087,25849895911.193,"Contracts within Period","50th Percentile",0
2011,"10m - <75m","(~1 year,~2 years]",1325,34436842384.2648,"Contracts within Period","50th Percentile",0
2011,"10m - <75m","(~2 years+]",723,20500591708.5774,"Contracts within Period","50th Percentile",0
2011,"75m+","<~1 year",100,20736551526.6892,"Contracts within Period","50th Percentile",0
2011,"75m+","(~1 year,~2 years]",125,25232890059.6208,"Contracts within Period","50th Percentile",0
2011,"75m+","(~2 years+]",105,29559743392.0068,"Contracts within Period","50th Percentile",0
2012,"0k - <100k","<~1 year",683028,12792636572.9955,"Contracts within Period","50th Percentile",0
2012,"0k - <100k","(~1 year,~2 years]",31321,2093479327.7872,"Contracts within Period","50th Percentile",0
2012,"0k - <100k","(~2 years+]",6719,189799761.0925,"Contracts within Period","50th Percentile",0
2012,"100k - <10m","<~1 year",81911,52060146966.4237,"Contracts within Period","50th Percentile",0
2012,"100k - <10m","(~1 year,~2 years]",23293,30815914330.2711,"Contracts within Period","50th Percentile",0
2012,"100k - <10m","(~2 years+]",4757,7970090871.1265,"Contracts within Period","50th Percentile",0
2012,"10m - <75m","<~1 year",891,21821345401.7491,"Contracts within Period","50th Percentile",0
2012,"10m - <75m","(~1 year,~2 years]",1187,30504059609.7716,"Contracts within Period","50th Percentile",0
2012,"10m - <75m","(~2 years+]",546,17851039989.359,"Contracts within Period","50th Percentile",0
2012,"75m+","<~1 year",75,13956185595.4529,"Contracts within Period","50th Percentile",0
2012,"75m+","(~1 year,~2 years]",104,25147344124.0129,"Contracts within Period","50th Percentile",0
2012,"75m+","(~2 years+]",83,23996000957.5789,"Contracts within Period","50th Percentile",0
2013,"0k - <100k","<~1 year",626696,10823671197.301,"Contracts within Period","50th Percentile",0
2013,"0k - <100k","(~1 year,~2 years]",27537,923243829.849666,"Contracts within Period","50th Percentile",0
