"CurrentDurationCategory","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"<=2 Months",,,,,,,,,,,6928481567.6666,8065186219.0829,11387649624.4889,13087983668.792,16166104114.726,25643255605.8368,30582556783.9737,29830060117.0001,30310499287.0634,26551505307.6521,24856626920.8481,24044083249.5032,22118019177.9814,18159151195.0862,27468673579.6701,24427349591.4772,23854208415.0095,26139910503.1429,30243200614.1197,26620884120.6056,27595500642.6553,29434154722.8095,
">1-2 Years",,,,,,,,,,,24804656590.3342,27166633913.0131,27863088750.4656,37465156661.4871,40131213965.9933,49370641785.7189,-19037063479.4431,67226675011.723,76200127746.3251,82662527089.8686,77913884877.6964,68660895404.6789,71068070580.263,52563151955.9424,47206763796.8406,45873307259.3038,47565315308.961,55611187693.9432,65047220488.2946,68965655471.3759,67351685296.6513,71060221068.427,
">2-4 Years",,,,,,,,,,,23910634152.5059,25502032860.8191,34511806685.8124,36226077042.3248,41392744928.9225,45887091806.2426,52442696460.7983,60807999263.3531,72342079369.3968,73907542579.8859,76300713301.9231,78963989018.562,80793757730.4096,81949953342.1279,65736534030.0579,55766077526.3199,57115698710.1036,61768879531.1822,82518495638.6936,92438211081.4143,80260826573.5562,73249260181.5726,
">2-7 Months",,,,,,,,,,,12831215278.0528,12130665837.9856,15741863943.0417,20119760628.8385,23212525000.9567,27486730782.9063,27435618970.0598,28256055820.576,36301540558.3018,31335929789.4481,32925662536.6353,35674865784.9704,28615630246.2316,21547079195.5238,20805240655.0902,22219867164.5247,21483950013.4796,21009727340.6911,26165449390.0969,23390837859.9793,25138480138.1737,28343309253.6332,
">4 years",,,,,,,,,,,40704586364.7882,46996808050.5627,53906713618.1197,69084184863.2417,71358256036.3601,74438582728.851,91203972358.7494,97513347926.5463,106618336478.918,106150166471.593,92233485492.7469,106632222969.617,100657599701.286,89649665428.4983,80743060248.382,86624849674.829,107152835377.701,112841758423.364,103570688821.025,121395164561.669,169763288500.811,126760199599.417,
">7-12 Months",,,,,,,,,,,21133765043.1113,22238361304.9671,24808182558.7715,32553902352.6918,34865832508.3421,39179082962.5322,110042258558.234,44505358745.8268,56185470610.2763,60923862731.4718,58174591395.2167,54589094071.0707,54381136575.8002,42695345423.3628,41325635268.148,39273512988.1998,41191100002.1902,43250612961.6985,51417983352.489,51052470484.9497,50827087734.8452,58135510008.5446,
,120350129405,136154193844,123406660550,121373382142,117161902725,116592014868,118448779098,115982151879,116965882167,122185036488,1865147509.9284,1914678032.5304,1577257426.0548,3089181798.7181,2621428623.5508,3713874627.2151,2554976325.8928,1309227.5451,657252.2187,-301052.6406,-1095684.0588,765105.7602,2216643.6153,16705802.14,-1545598.6898,-472438.03,-1321484.213,313948.3164,-7107498.3573,-7728418.0481,883871356.6322,79965505.4435,414381679182.272
