"PlatformPortfolio","max_fq","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft","1",10473847592,12735728361,10940676747.6485,16653365940.5,18138358851.9751,18912744249.5014,15168873612.6696,26540849790.151,22271055142.0145,25912528550.944,17946146910.4251,23162280327.7115,21258341190.3708,28807012920.0539,16000558494.4892,21700218694.6812,19407583411.5276,18825179630.9584,17518061372.7417,26374714541.2262,39151432701.3967,19708451773.3038,17930728936.8357,28606198658.8381
"Electronics, Comms, & Sensors","1",5327262857.3361,5738655991.4174,6121722232.0094,7612390865.7674,9779969299.4833,10355496100.7452,8494241696.5447,12047425096.0326,10759513850.8564,10845093877.3168,8604397998.3777,8908164391.6001,7579258663.7833,8967768285.1826,7152931675.0266,7016932293.0044,7130833408.2521,7960932688.6572,8413868519.0643,10928322121.7194,9309555319.9071,8814525809.835,8858940635.6325,10247548786.9629
"Facilities and Construction","1",4788731789.1745,6149094093.5293,4976358406.7426,6541694886.4874,8589963439.2499,9047889790.3007,8842460382.1808,7960911954.7209,8559310110.4566,11259176463.0652,9322180907.2165,7882846223.2397,6545382854.1145,7597947616.1403,6252237780.2033,7066783562.826,6628956351.171,6668080078.6698,9499018267.3203,8932941856.0408,8295736450.137,7824345911.7513,9725313498.8901,8793970587.2304
"Land Vehicles","1",1646677123.419,720646735,1299323516.7393,1969897385,2032895083.5154,3115300967.9823,2599294887.9824,9969343635.0142,9294708837.1908,7479862643.9373,6390942202.7978,5682055096.0964,2699498180.3501,2555007491.1483,1550443961.4005,1685025303.3921,1524264559.9972,1507758134.6297,2838395649.1456,5752395903.6741,3174768587.6211,2868558243.1247,1892046218.2158,2583616844.1097
"Missile Defense","1",830086076,1733056215,800393851,2170015735,2697931834,3493898669.4063,1343333389.4297,3579895625.2863,2773450283.9759,3716489750.971,3062109492.0795,3650563317.1772,2593741243.9471,2676848765.7666,2139413015.4566,3054022672.1399,3811049547.5577,2426076016.7484,3570887256.9381,5027108119.7812,3531576935.6519,2460381156.2127,2727697764.6283,2407114620.9219
"Ordnance and Missiles","1",3220443140,3987120266,3659657662.5,4444952505.8301,3968678924,4212593627.1094,2699150463.7335,5241617589.2883,4517565185.8014,4511853068.1076,3078732536.8661,2196527701.7013,2613629282.8656,3582730021.5069,2213232902.6304,3049472672.1683,2893161629.871,2565659379.6321,4101073857.1188,4514966938.8457,3510549525.8239,3748173624.3871,3873874778.3514,6245309970.0923
"Other Products","1",2083722242,2994178434,2760919864.8704,2661584249.4199,4083045759.3498,7821071815.7168,7901899465.9344,6925271071.9218,8219118983.2518,8547387018.5197,5703089469.546,6803772264.8861,9530342282.5833,7472107373.5583,4854402727.2988,5701748685.1632,4592578833.9744,5041916769.4566,5997320580.6006,5780084718.5009,5438833679.8122,10563693321.1672,16380281756.5542,8026336152.0009
"Other R&D and Knowledge Based","1",3284143439.2705,3488373073.4009,3372432562.0599,4441340407.968,5071458601.1409,5957141187.0066,4852161866.7591,6229018093.0409,6005731300.1085,7754628921.7446,7002468561.8044,6447350014.4739,5457445929.8423,6450028192.9397,4839320448.2027,5675927624.2649,5235802979.2781,5846681342.0158,6166463257.0009,8511268211.4462,7434185349.1732,8596204138.2117,8057296124.555,7515340787.5728
"Other Services","1",2244585905,2977460589,4118729221.103,6431098358.7751,8603223796.3938,9290732098.3907,8273276086.1096,8508846969.4009,9619885929.9802,10697935568.6429,10117615655.0168,10798104809.2584,9996368441.8528,9915657716.3904,7723538291.329,6017087580.9535,6550431272.9659,8168271233.4763,7783705312.4068,13926790169.8009,8666566429.3024,8018399605.1169,9931281512.735,8875331904.3875
"Ships & Submarines","1",4244978783,3174684112,2958251138.5,5034249688.1104,6648031287,6984488455.0093,3687569813.3818,8147708069.0389,4317700457.005,10169374905.0626,3990109935.9729,5529970719.3593,2273998340.8315,7284115698.3739,3209393565.8742,4322445161.5469,5284994106.9431,7171974728.3428,6734169730.0676,12348591850.3423,11736314587.6389,8027887021.4708,8574847218.904,7531700036.5567
"Space Systems","1",1420607472,1517138390,848832179,2675919877,2445196026.0234,3006357419,1301661105.8047,4296587305.9675,3322525245.9365,4279690831.5911,1640330570.2792,3450071731.5552,2199869449.1496,2972731372.5725,2722263673.9861,1085272513.2795,1169411360.9926,1173359096.9969,1297927128.7741,2181191732.3373,1670982870.9287,2400844285.0181,2749472007.2628,2491317460.1804
"Unlabeled","1",14768747.7865,1192335.2285,2130334.1153,4724438.4901,1702688.4152,2175689.8992,65129345.3597,16489273.5156,27153.9102,-14513.0303,-3116.3301,-76873.3513,-5000.8501,-128.29,,,,0,,,10000,0,,161477.875
