"SubCustomer.sum","SubCustomer.JPO","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Air Force","Air Force",55878300756.6306,58467439510.6207,67103640607.4955,77254783549.2668,74744121651.8656,73236762056.0968,80657314703.0112,86840527420.2301,77490896109.6816,81608630818.2211,77458835574.0462,76601446045.3737,82083697364.2296,62076818087.9367,61720852796.0931,57879896424.3408,70475327255.2053,64888329144.0837,74269380068.0937,77385932586.8672,77838629847.1988
"Army","Army",54198019297.4778,58257985951.7328,65317352046.4806,89131113346.0961,103071678110.966,125710731139.468,129634590303.92,146872863650.126,186023989021.122,176622113603.003,168222620873.974,146389895301.043,124718099261.393,97875370430.7269,83196029012.3871,79201056354.4106,80149550372.1069,83351878503.5783,95393213404.223,96765941530.2458,100141585213.164
"Other DoD","DLA",14103656946.2944,16433285531.1234,20655855079.1298,24578051845.2793,26635320492.0333,36801620741.4925,41635393278.2279,38060527636.301,43497177802.6943,45740879046.2106,41709253030.1953,42303356012.5641,49592413457.3597,38075995732.6552,35711365692.1183,33727712493.4322,32746753563.0962,37584521298.6318,46901103274.8251,45089909635.1361,41850402307.5569
"Air Force","F-35 JPO",NA,NA,NA,NA,509095.845777898,1450511.19894598,NA,22561.20293277,6889721.22135639,11855231.1025518,3493754.62465688,-5850.00585000585,7638493.27925135,7397354.83143534,14164572.3119469,875174.04579235,4429534.92149432,2532581.32407998,541402.248594628,576977.126109581,998498.25
"Army","F-35 JPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,248435.243139143,30433.2259219477,NA,0,NA,NA,0,19841009.1364375,966641.346947458,202219.828440558,-12666.5447403326,3242630.2803
"Navy","F-35 JPO",262080753.717062,386359472.170286,9278909.96602492,333557197.275129,266332496.73337,392395739.130435,809661903.485255,1324546746.26904,3318369811.67795,4431227806.94114,2237565357.96121,5706862132.34749,5387298886.35963,13734766200.6765,4199493382.9646,12447889118.1327,10983853315.7365,25675691898.5581,16489259000.8837,17594874492.5064,35815025520.6929
"Other DoD","F-35 JPO",NA,NA,NA,NA,50697.8007059462,NA,NA,NA,NA,285072.376504574,-3387495.39515455,-1041174.61378261,5977605.97875761,394632.991318074,-236656.316371681,-152328.316284153,0,-845440.153690704,-46431.8646679159,-87847048.9937761,-10056234.0313
"Other DoD","MDA",2022493619.90284,2406171295.84352,3519202818.27307,3714020721.66523,4592618720.58919,5061589330.90422,4458862662.43355,6125300835.98882,7013591709.5691,6828867056.49711,6393306799.18332,6297117740.00164,7896431776.12034,8685318335.73515,6693415361.5917,5124043488.99202,7134901576.63346,5757566325.84322,8633459958.81199,8991674007.02275,12326711111.823
"Navy","Navy",59322211661.9451,60322592355.5892,67648710063.8247,78826943392.8435,82300538092.588,86053550070.9837,94886912378.8953,105279041791.111,114089722331.599,110823695087.302,102892970271.656,116030398901.163,103249892160.127,92250488168.8885,88862636474.4269,80322762167.211,89692371122.043,90752788688.3378,95795919838.3458,106877950496.738,114136997531.26
"Other DoD","Other DoD",8767890733.18769,10780464625.8524,16061663312.8181,20240992220.7479,20126151802.115,22550229660.1365,24635716063.6886,23061015993.0076,28385227719.7937,32625277069.2421,33331138230.6817,37436187267.113,37295099852.6725,32610939366.463,32711084151.3839,30676437640.0742,31511456438.9559,32747500736.8993,35413546516.261,38720511712.537,39233088810.8676
