Fiscal_Year,PlatformPortfolioUAV,SubCustomer,TopVendText,Toppos,Action_Obligation_Then_Year,Action_Obligation_OMB23_GDP21
2021,"Electronics, Comms, & Sensors",Army,All Other,0,6408338219,6408338219
2021,"Electronics, Comms, & Sensors",Army,L3 COMMUNICATIONS^,1,898068101,898068101
2021,"Electronics, Comms, & Sensors",Army,GENERAL DYNAMICS^,2,740550978.5,740550978.5
2021,"Electronics, Comms, & Sensors",Army,THE MITRE^,3,571001163.6,571001163.6
2021,"Electronics, Comms, & Sensors",Army,TCOM^,4,344068833,344068833
2021,"Electronics, Comms, & Sensors",Army,LEIDOS^,5,283218859.9,283218859.9
2021,"Electronics, Comms, & Sensors",Army,NORTHROP GRUMMAN^,6,194578251.3,194578251.3
2021,"Electronics, Comms, & Sensors",Army,RAYTHEON^,7,184587734.9,184587734.9
2021,"Electronics, Comms, & Sensors",Army,VECTRUS^,8,161264069.9,161264069.9
2021,"Electronics, Comms, & Sensors",Army,LOCKHEED MARTIN^,9,154860011,154860011
2021,"Electronics, Comms, & Sensors",Army,SAIC^,10,150888529.3,150888529.3
2021,Aircraft,Army,All Other,0,1544392333,1544392333
2021,Aircraft,Army,BOEING^,1,1435731474,1435731474
2021,Aircraft,Army,LOCKHEED MARTIN^,2,1184794439,1184794439
2021,Aircraft,Army,GENERAL ELECTRIC^,3,581416499.5,581416499.5
2021,Aircraft,Army,M1 SUPPORT SERVICES^,4,500608344.8,500608344.8
2021,Aircraft,Army,CERBERUS^,5,403509859.1,403509859.1
2021,Aircraft,Army,NORTHROP GRUMMAN^,6,395496643.9,395496643.9
2021,Aircraft,Army,DEFENSE SYSTEMS & SOLUTIONS^,7,276446169.8,276446169.8
2021,Aircraft,Army,TEXTRON^,8,251870698.6,251870698.6
2021,Aircraft,Army,103175931^,9,216020684.1,216020684.1
2021,Aircraft,Army,LEIDOS^,10,107472256,107472256
2021,Facilities and Construction,Army,All Other,0,20986625016,20986625016
2021,Facilities and Construction,Army,WALSH - TURNER JV II^,1,840130368,840130368
2021,Facilities and Construction,Army,BECHTEL^,2,718463230.8,718463230.8
2021,Facilities and Construction,Army,HENSEL PHELPS CONSTRUCTION^,3,640334283.5,640334283.5
2021,Facilities and Construction,Army,GREAT LAKES DREDGE DOCK^,4,505046110.9,505046110.9
2021,Facilities and Construction,Army,VECTRUS^,5,306971149.9,306971149.9
2021,Facilities and Construction,Army,WALSH GROUP^,6,276330755.4,276330755.4
2021,Facilities and Construction,Army,KIEWIT^,7,268440850.9,268440850.9
2021,Facilities and Construction,Army,Foreign Contractor^,8,262371046.9,262371046.9
2021,Facilities and Construction,Army,J & J WORLDWIDE SERVICES^,9,225955231.8,225955231.8
2021,Facilities and Construction,Army,LANE INDUSTRIES^,10,219042670.5,219042670.5
2021,Missile Defense,Army,All Other,0,40224179.95,40224179.95
2021,Missile Defense,Army,LOCKHEED MARTIN^,1,1403109408,1403109408
2021,Missile Defense,Army,RAYTHEON^,2,622194924.5,622194924.5
2021,Missile Defense,Army,INTREPID^,3,145420058.1,145420058.1
2021,Missile Defense,Army,RADIANCE TECHNOLOGIES^,4,65471339.19,65471339.19
2021,Missile Defense,Army,RANGE GENERATION NEXT^,5,63871126.33,63871126.33
2021,Missile Defense,Army,AC FIRST [Joint Venture - AECOM & CACI]^,6,38059699.32,38059699.32
2021,Missile Defense,Army,078370393^,7,13635546.98,13635546.98
2021,Missile Defense,Army,AP Moller MAERSK^,8,11854792.39,11854792.39
2021,Missile Defense,Army,BLACK & VEATCH HOLDING^,9,11610966.59,11610966.59
2021,Missile Defense,Army,809068661^,10,8896227.686,8896227.686
2021,Ordnance and Missiles,Army,All Other,0,1396324059,1396324059
2021,Ordnance and Missiles,Army,LOCKHEED MARTIN^,1,3250871474,3250871474
2021,Ordnance and Missiles,Army,GENERAL DYNAMICS^,2,789211673.7,789211673.7
2021,Ordnance and Missiles,Army,NORTHROP GRUMMAN^,3,751316266.5,751316266.5
2021,Ordnance and Missiles,Army,BAE SYSTEMS^,4,567349639.3,567349639.3
2021,Ordnance and Missiles,Army,RAYTHEON^,5,473764349.6,473764349.6
2021,Ordnance and Missiles,Army,OLIN^,6,333531927,333531927
2021,Ordnance and Missiles,Army,AMTEC^,7,246986502.2,246986502.2
2021,Ordnance and Missiles,Army,JAVELIN [LOCKHEED MARTIN/TEXAS INSTRUMENTS/RAYTHEON]^,8,179031263.4,179031263.4
2021,Ordnance and Missiles,Army,KONGSBERG GRUPPEN^,9,129068975.5,129068975.5
2021,Ordnance and Missiles,Army,DAY & ZIMMERMANN^,10,123385448.8,123385448.8
