"CalendarYear","exclude","NAICS_Code","naics_text","def4_mismatch","def_obl","US_rcp","def_ratio","OPTAX.display-label","US_pay","US_emp","us_avg_sal","def_cont_count","us_estab","def_hh_index","def_top4","def_top8","def_top12","def_top20","def_top50"
2007,"Not in stats","6112","Junior Colleges","Not tracked: Schools and Universities",22450891.2851,NA,NA,NA,NA,NA,NA,34,NA,3280.66092606276,0.902703919758897,0.981434262882385,0.990783517868074,0.998721555322334,1
2007,"Not in stats","6113","Colleges, Universities, and Professional Schools","Not tracked: Schools and Universities",300932627.8864,NA,NA,NA,NA,NA,NA,517,NA,251.838944444419,0.251505246870602,0.34575463800514,0.413965073717975,0.518027139443373,0.708819870666605
2007,"Not in stats","8131","Religious Organizations","Not tracked: Religious Organizations",8551841.1799,NA,NA,NA,NA,NA,NA,586,NA,113.375958756802,0.154807093445779,0.21209138157173,0.253398876673148,0.324590035918639,0.488925059724637
2007,"Not in stats","8141",NA,"Not tracked: Private Households",106107,NA,NA,NA,NA,NA,NA,4,NA,5366.10979874814,1,1,1,1,1
2007,"Not in stats",NA,NA,NA,4076848522.9874,NA,NA,NA,NA,NA,NA,843,NA,526.216014340652,0.375581122127983,0.585328501736136,0.674216751232736,0.794847482859796,0.918263768211682
2012,"No","2111","Oil and gas extraction",NA,70578280.1426,310960365000,0.000226968733274416,"Total",15137960000,"176222",85902.7817185141,45,"6735",1500.92759292148,0.693959329924907,0.944654292455902,0.979044173417294,0.997463884495622,1
2012,"No","2121","Coal mining",NA,15629020.3412,42254286000,0.000369880119171816,"Total",6721878000,"88728",75758.2499323776,4,"969",3245.69030863433,1,1,1,1,1
2012,"No","2122","Metal ore mining",NA,5588,29095642000,1.92056253647883e-07,"Total",3061247000,"40897",74852.605325574,1,"321",10000,1,1,1,1,1
2012,"No","2123","Nonmetallic mineral mining and quarrying",NA,35343336.3973,26937086000,0.00131206977611832,"Total",4278102000,"82205",52041.870932425,278,"4801",305.783522224853,0.264099365128813,0.39786796610996,0.506181774312303,0.614819408956067,0.823399511523839
2012,"No","2131","Support activities for mining",NA,11639181.7788,119992439000,9.69992932538024e-05,"Total",30262763000,"460137",65769.0274852924,107,"12591",3153.38824425162,0.758384669288718,0.817463376567318,0.854223377393141,0.901514435686073,0.975998640033651
2012,"No","2211","Electric power generation, transmission and distribution",NA,828543790.4414,430079295000,0.00192649076594445,"Total",49936923000,"522010",95662.7708281451,424,"10330",598.893471106363,0.383005092939224,0.556538474310349,0.667237005668196,0.78052133771324,0.941328823957898
