"VendorSize_Intl","IsFMS","PlaceIsForeign","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"U.S. Small","Includes FMS","International",61126247.4903616,68648988.5698546,112773981.965308,68413240.8119058,138610227.101814,152574222.477973,55329564.8674773,95585802.3898126,164604233.293851,333530823.327532,95475974.5583365,121320664.9614,13507070.1893092
"U.S. Medium","Includes FMS","International",283785747.973893,366329819.400415,279882969.812156,478471842.757109,321316639.588866,751643297.150276,691706324.083545,596613432.142059,533787292.370527,521304093.478261,636741218.609636,862874689.713,227826201.478237
"U.S. Large","Includes FMS","International",246426683.667022,313036659.531268,476571112.661666,523602810.014989,332167188.442845,392403046.62245,345555331.216894,277406790.383238,203168107.411026,96995192.5546726,64163488.8295357,102983555.6825,
"U.S. Big Five","Includes FMS","International",506544520.899516,743270247.942243,259681866.73095,487755868.947925,465655961.506798,733742560.720764,894431576.381289,1355978923.28416,68664429.7033812,299425822.863912,194584756.926264,72354914.7142,
"International","Includes FMS","International",1274773638.45178,2001106848.99872,1636242635.16173,2340283160.97803,1507373771.68242,1432188848.21592,1783513333.04738,1405295321.86183,1884662081.81639,454026384.905856,719535600.633885,545190053.8663,118186837.174266
"Unlabeled","Includes FMS","International",132621852.0511,160933638.653406,185639754.919697,49799849.8214931,136657088.065183,14234868.3610608,4066974.11556165,-13265027.2916968,177172959.124089,133377648.828594,12081996.6870162,-17390327.4681,
"U.S. Small","No FMS","International",4172290898.02816,1793348707.29099,1531048665.3502,1267546617.14351,1341248781.26337,1853213578.71695,1426360593.19567,1606501102.6068,1555232951.38066,1247677228.07826,1011221312.68841,1456844875.733,224653545.333662
"U.S. Medium","No FMS","International",6953408323.55396,7577799090.18924,3233457796.59921,3595686362.70371,4132823590.29501,3859626860.52878,3719051356.74428,3986989750.42838,4315877234.98411,3739154652.11243,3442691126.09108,4077331744.9061,1596899497.8278
"U.S. Large","No FMS","International",16071829613.2806,14357642918.8195,6951840099.69261,5450586976.67151,3929426520.57096,4692546561.88594,5480197968.60867,5658652373.62031,4989840083.25947,3100612398.30685,4102590573.94953,4325833457.3137,
"U.S. Big Five","No FMS","International",2090963732.48294,1677303737.83296,903975186.155012,653985040.223779,631305849.126554,506506720.237314,520707392.683513,559361141.131513,416052013.76438,348633551.278074,365557335.014798,289301553.2098,
"International","No FMS","International",22837947785.7957,20935272308.1746,13827208192.9545,10971944799.4803,10412977162.7636,10386410015.7699,11681741152.7218,11404126707.9915,10157610232.444,10950460501.5721,14146617209.7696,14487926461.817,1812872286.15589
"Unlabeled","No FMS","International",3437038206.20387,1591938877.11979,520866289.540571,520394866.330259,714861586.736069,557081216.250476,221852881.782869,408917991.534885,697672771.288023,686732377.211275,255189120.858908,425785157.5799,317127.126758318
"U.S. Small","Includes FMS","Domestic",838192747.943446,973572280.391008,877910173.961823,1140859764.21389,1471701202.73011,1375133489.46603,1967995391.97453,2094867146.02731,1759455208.00608,1927402277.86704,2020857633.44264,2588639885.5168,219443160.337543
"U.S. Medium","Includes FMS","Domestic",3924004683.34556,2290694791.35214,1497946314.83723,2430362406.63425,3187310855.02113,3299168858.94568,2405310427.03394,3219734171.55038,3430813214.00146,2895324000.52575,2357624202.19041,4220729802.5208,4539270698.85522
"U.S. Large","Includes FMS","Domestic",7049774932.04555,5636368938.9044,6016422489.19212,5704276622.28396,6353651862.67177,4773277078.67379,6029851772.66777,5733178586.46781,5586327396.21153,3177523323.60463,3493308630.31982,3592312359.8211,
"U.S. Big Five","Includes FMS","Domestic",22072071676.3963,13341338925.043,8646923866.19583,17005535937.6659,27830174818.497,24906750129.9935,27346712914.1834,30226917106.7006,44172054848.274,17801424713.8056,30840971906.9038,53570268376.9841,
"International","Includes FMS","Domestic",935600.172142029,123215.653232143,2245645.54686055,57016348.7690348,68337577.7256892,51581621.7081778,48748414.5284012,277773.327425463,6343703.89039254,87235316.747057,65469741.9740957,132994260.1863,166435.183974012
"Unlabeled","Includes FMS","Domestic",576396.781486704,662118.981836207,9480.84138466797,21596.2300119415,2648067.46544008,2301701.87174216,-13899.1658140794,0,84717.5290478337,2530358.61699985,-1828341.41971528,577243.5332,
