"SubCustomer.platform","Competition.effective.only","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Army","Not Effective Comp.",0.363915267207127,0.540403346814031,0.461876141488294,0.480954123251766,0.366237081738178,0.399696342040293,0.418528941776768,0.418562528548231,0.415610226084285,0.422487277880675,0.431733485677623,0.441738098917026,0.463136624617424,0.501482618816033,0.428816011298378,0.461863322520151,0.474764355389981,0.518595157842571,0.543023819251694,0.479906888002699,0.46791183289332,0.477699021151667,0.452645343869436,0.420860991949119,0.425690070296816,0.471919805160509,0.490845115655985,0.492045619834008,0.483880032410831,0.473745703349109,0.478056180073672,0.601673936626707,0.457769820345949
"Army","Effective Comp.",0.34358438880091,0.445665312521333,0.531302910552116,0.517906734098318,0.631841942062389,0.596615346901509,0.576750225802439,0.557575432923718,0.552950145392029,0.536564164467944,0.528547690439947,0.508993732162365,0.475795817695078,0.438619501808198,0.501275810558302,0.504609389322522,0.501812610011622,0.474989446866543,0.447316316100876,0.509726076126134,0.503915377506561,0.491738638432639,0.520295624642113,0.546700317325433,0.555145531300381,0.511706977948274,0.494645043805729,0.496060916473914,0.507898238808703,0.523013956621768,0.514182143939792,0.390856541328789,0.523554174590604
"Army","Unlabeled",0.292500343991963,0.0139313406646365,0.00682094795959061,0.00113914264991539,0.00192097619943366,0.00368831105819846,0.00472083242079294,0.023862038528051,0.0314396285236866,0.0409485576513808,0.0397188238824299,0.0492681689206086,0.0610675576874978,0.0598978793757694,0.06990817814332,0.0335272881573267,0.0234230345983964,0.00641539529088561,0.0096598646474293,0.0103670358711665,0.0281727896001188,0.0305623404156933,0.0270590314884514,0.0324386907254477,0.0191643984028028,0.0163732168912168,0.0145098405382855,0.0118934636920784,0.00822172878046633,0.00324034002912295,0.00776167598653608,0.0074695220445037,0.0186760050634468
"Navy","Not Effective Comp.",0.416494293613768,0.477847492463491,0.514025896599158,0.520389507547742,0.500630921862004,0.544725782563777,0.525933750854932,0.540765627845843,0.558401021954029,0.53091557506424,0.544558592595609,0.612109589482185,0.545559945728472,0.546622702145688,0.583673295203935,0.571870502797901,0.591915235479583,0.574489056325624,0.565984683886675,0.585952697549752,0.577193833103598,0.620343309032085,0.63948162370624,0.664067608611475,0.630919738565299,0.638618690435549,0.650979403988652,0.689002294725518,0.662706114757845,0.660974831484,0.700337004205769,0.653356733404949,0.650828125128712
"Navy","Effective Comp.",0.42861320401052,0.510853098983024,0.483954803531277,0.478225905643799,0.499047161980827,0.444336116955237,0.472531351295526,0.442460316093881,0.397169414841463,0.416243303742721,0.408271038765432,0.344223680591658,0.382380184299822,0.396830234301846,0.368770253436507,0.410782917026748,0.395154148111295,0.421133667609671,0.426442398770243,0.410270131637875,0.420296285615786,0.378214051137035,0.358917583546453,0.334399697469397,0.364730410687852,0.358747299539684,0.346202874643933,0.308361715748139,0.333303633298258,0.334727135735213,0.29600362925035,0.342270898407914,0.337671967671996
"Navy","Unlabeled",0.154892502375712,0.0112994085534844,0.00201929986956505,0.00138458680845833,0.000321916157168819,0.0109381004809861,0.00153489784954191,0.0167740560602752,0.0444295632045083,0.0528411211930387,0.0471703686389596,0.0436667299261574,0.0720598699717058,0.0565470635524661,0.0475564513595584,0.0173465801753513,0.0129306164091226,0.00437727606470558,0.00757291734308244,0.00377717081237261,0.00250988128061603,0.00144263983088069,0.00160079274730704,0.00153269391912826,0.00434985074684979,0.00263401002476713,0.00281772136741489,0.00263598952634308,0.0039902519438974,0.00429803278078774,0.00365936654388129,0.00437236818713681,0.011499907199292
"Air Force","Not Effective Comp.",0.456363052965375,0.52947286015541,0.494233165603567,0.589397268975356,0.593562056803275,0.586118848923948,0.559419678041925,0.534179917904213,0.490864383277023,0.489345745566026,0.499227660953747,0.499988854164983,0.514733642318294,0.546439208306408,0.524333280635944,0.539323989490105,0.577008035399146,0.586362649344408,0.584400186181775,0.612113399852395,0.622847832346841,0.636792514264375,0.662572897550388,0.647496186624087,0.619394704131961,0.660178265228093,0.652643481946915,0.626135579987734,0.639933409094543,0.634973418851083,0.673227633356087,0.647153328058728,0.62592920190238
"Air Force","Effective Comp.",0.305626789382301,0.391712414811625,0.42554698114639,0.374130935397947,0.378803572527876,0.38901015438153,0.426062922013166,0.440616967660559,0.46640146704074,0.476848079240312,0.465094849661551,0.45560437134656,0.4269485576149,0.367951409393339,0.396879083623897,0.400441131097315,0.374233895148093,0.409928887426137,0.410492168945654,0.384277074693632,0.374308422216498,0.360349100460634,0.333604948123811,0.348693948553964,0.377170567532314,0.33658038481011,0.34472155810391,0.367511007053561,0.356095991942171,0.361518661783277,0.321229311220493,0.347534770991695,0.360125722109486
"Air Force","Unlabeled",0.238010157652325,0.078814725032965,0.0802198532500437,0.0364717956266968,0.0276343706688491,0.0248709966945215,0.0145173999449088,0.0252031144352275,0.0427341496822375,0.033806175193662,0.0356774893847018,0.0444067744884571,0.0583178000668059,0.0856093823002528,0.0787876357401594,0.0602348794125802,0.0487580694527602,0.00370846322945464,0.00510764487257016,0.00360952545397249,0.00284374543666168,0.00285838527499109,0.00382215432580156,0.00380986482194872,0.00343472833572483,0.00324134996179647,0.00263495994917472,0.00635341295870445,0.00397059896328622,0.00350791936564011,0.00554305542341999,0.00531190094957616,0.0139450759881346
"DLA","Not Effective Comp.",0.0997675377832725,0.196123891938972,0.215673938518594,0.214371309267857,0.179333194958411,0.182473415588243,0.166480902273903,0.147175025541685,0.15716355626027,0.16836065740012,0.161649724042147,0.1604971201384,0.191035555729294,0.205971095212786,0.16129892999478,0.16066273808368,0.142642597773666,0.134541752938049,0.200525614000176,0.213689600739304,0.318697445163092,0.265029256294048,0.227198357773401,0.259430138056578,0.234125651341561,0.249361160272772,0.287458666703538,0.295396778550405,0.331885414764576,0.402866356046395,0.423202664750466,0.312645286562318,0.235918982688136
