"PlatformPortfolio","Fiscal_Year","Action_Obligation","vendor_count","hh_index","top4","top8","top12","top20","top50"
"Aircraft",1988,301670,10,3705.43014292085,0.970814132104455,1,1,1,1
"Aircraft",1989,82837971,48,1486.40913457976,0.694655348671591,0.900986687189148,0.900986687189148,0.988008132415948,1
"Aircraft",1990,30658740148,2565,903.442513456384,0.49849863678886,0.671024060367707,0.671024060367707,0.816950053187524,0.903477282681873
"Aircraft",1991,30121880965,2755,820.436710575625,0.500990724212003,0.663932344687445,0.663932344687445,0.794198399593858,0.885519115067895
"Aircraft",1992,29740031740,2838,752.862956884429,0.480741260496561,0.700341610655456,0.700341610655456,0.834040515108663,0.906283747871158
"Aircraft",1993,29152263421,2625,909.637387853962,0.539491247004298,0.673929436366001,0.673929436366001,0.816397261677219,0.902017749280079
"Aircraft",1994,30179401766,2239,1233.14773333035,0.607819947384955,0.728969237506613,0.728969237506613,0.845161252021404,0.915942113802433
"Aircraft",1995,26340609056,2308,1333.6316906005,0.607368216689071,0.729758781326272,0.729758781326272,0.84235175979179,0.905995284352266
"Aircraft",1996,28272676910,2594,1577.58177303079,0.652103651403449,0.763141462010525,0.763141462010525,0.859145962969027,0.910590381433988
"Aircraft",1997,24101563481,2632,1089.53627294522,0.56255390656076,0.76872664261997,0.76872664261997,0.853658304496861,0.908874647048879
"Aircraft",1998,25666245468,2595,1443.56497911746,0.623115494920601,0.774897281209014,0.774897281209014,0.849774018817909,0.910023573332941
"Aircraft",1999,27060743376,2642,1516.15918710913,0.636298012128998,0.782713330882851,0.782713330882851,0.852418730896851,0.903945247034746
"Aircraft",2000,35314194154.53,3604,1253.30609962085,0.585083456820713,0.702945782508517,0.702945782508517,0.797017932456207,0.869449351839928
"Aircraft",2001,35907445233.9394,3420,1263.71714121148,0.605852297621289,0.734892548363293,0.734892548363293,0.824332981745181,0.893376874489582
"Aircraft",2002,38786249943.1662,3623,1374.43508122308,0.630582298154396,0.746528746319078,0.746528746319078,0.83581788523086,0.899823856752737
"Aircraft",2003,48710958463.4567,4030,1440.54353077033,0.649985791006787,0.767063886235203,0.767063886235203,0.873391932637639,0.916992237427246
"Aircraft",2004,47796174062.9781,4573,1233.06818961822,0.603617868464592,0.731896818282305,0.731896818282305,0.859979218764355,0.912990589177951
"Aircraft",2005,47274396296.8926,7826,1179.09413639671,0.597805840895283,0.731746258588478,0.731746258588478,0.84784435392221,0.898687835106666
"Aircraft",2006,53973578752.3784,6502,1379.12184448402,0.626923659465095,0.746622174202577,0.746622174202577,0.856900388754465,0.915986508781067
"Aircraft",2007,60393385207.0607,6290,1444.97498579508,0.638387600333255,0.768156531399411,0.768156531399411,0.876273415633457,0.922615273709316
"Aircraft",2008,66665379210.577,6773,1179.49870347445,0.611928112374598,0.755466717707467,0.755466717707467,0.866961679678916,0.923912489388157
"Aircraft",2009,65813783029.775,6406,1166.9483109477,0.605183337950307,0.762400256420686,0.762400256420686,0.866462244112216,0.922479431675775
"Aircraft",2010,63475573783.3386,6195,1066.64890889682,0.587003768254531,0.73764328225963,0.73764328225963,0.85292820644915,0.91525699866931
"Aircraft",2011,70260888228.4295,6055,1176.00969332387,0.610577070436982,0.756397350527108,0.756397350527108,0.865340087422745,0.918855930040626
"Aircraft",2012,78121016480.3626,5891,1503.22670407293,0.650106271313222,0.782714723781438,0.782714723781438,0.876752169755971,0.924352829533626
"Aircraft",2013,73221269435.559,5817,1468.78112217441,0.649760215181931,0.768485174425729,0.768485174425729,0.871174558909813,0.926258784027557
"Aircraft",2014,58183455399.1064,5762,1219.51829439642,0.612033059753804,0.755162211064834,0.755162211064834,0.863254447192986,0.917697573228293
"Aircraft",2015,61686775894.9316,6610,1274.96772922863,0.634160541184355,0.768776316206358,0.768776316206358,0.870946380378483,0.922603641637812
"Aircraft",2016,75341118665.0051,6497,1672.27315396614,0.694087814496573,0.798812539163363,0.798812539163363,0.887330110686875,0.930440019403368
"Aircraft",2017,85821068252.3004,6114,2123.2738171539,0.703798704205264,0.809006124555843,0.809006124555843,0.888222038221418,0.933762637439655
"Aircraft",2018,83332445919.1652,5781,1486.57584249917,0.645552316747694,0.768776918694807,0.768776918694807,0.862500144113674,0.920438840985679
"Aircraft",2019,89944172444.3423,5503,1395.67119222554,0.65352429327019,0.766011272368905,0.766011272368905,0.865135269456911,0.916668216648621
"Aircraft",2020,104976368972.402,5087,2579.72646983125,0.723184495005453,0.818461979442845,0.818461979442845,0.900817660429383,0.939927289305945
"Aircraft",2021,74417852457.5568,5723,1456.27087004555,0.629095965676397,0.756634976107868,0.756634976107868,0.856865701264879,0.905175663182927
"Electronics, Comms, & Sensors",1987,-171000,1,0,0,0,0,0,0
"Electronics, Comms, & Sensors",1988,2060000,9,2523.20586586865,0.921541950113379,1,1,1,1
"Electronics, Comms, & Sensors",1989,130498975,170,526.742353129112,0.382780272232691,0.582299848311955,0.582299848311955,0.779793653802961,0.923548058112505
"Electronics, Comms, & Sensors",1990,19981551894,4867,212.877960700482,0.226850892420038,0.333093436180737,0.333093436180737,0.511767797454745,0.691360894662423
"Electronics, Comms, & Sensors",1991,19674439023,5239,170.868292928002,0.191126873990757,0.29513769645568,0.29513769645568,0.485426229706797,0.673193855775334
"Electronics, Comms, & Sensors",1992,19947757025,5918,166.616102124407,0.183044266747498,0.290230826750599,0.290230826750599,0.481476478405439,0.661493202486171
"Electronics, Comms, & Sensors",1993,18965304703,5694,162.206005630878,0.166634466235432,0.288713474556286,0.288713474556286,0.502763878795941,0.676985723333135
"Electronics, Comms, & Sensors",1994,17971243246,5118,147.536864752326,0.168026893227991,0.272459607813424,0.272459607813424,0.465657967203209,0.63800012750065
"Electronics, Comms, & Sensors",1995,19118946831,5758,156.715303446386,0.190132312952708,0.292749591964808,0.292749591964808,0.450171216298574,0.617622401894128
"Electronics, Comms, & Sensors",1996,18678213770,6612,164.584409087051,0.194918748089966,0.303611237271693,0.303611237271693,0.461649179995355,0.620195611950378
"Electronics, Comms, & Sensors",1997,19180367251,6628,292.702468179227,0.29551016382858,0.422449521774268,0.422449521774268,0.552619490329816,0.690145026245189
"Electronics, Comms, & Sensors",1998,18260047176,6243,297.429080719686,0.302930039285451,0.398572796911596,0.398572796911596,0.533773040154383,0.668381720416119
"Electronics, Comms, & Sensors",1999,19958749915,6351,258.849018887002,0.277314231163265,0.367775051775694,0.367775051775694,0.509588697943199,0.659430499291345
"Electronics, Comms, & Sensors",2000,20721787433.8069,6510,296.211405156673,0.294959692494056,0.375995407397185,0.375995407397185,0.529837561462665,0.668761334412694
"Electronics, Comms, & Sensors",2001,22401349620.0158,6911,286.048496579136,0.296015115049126,0.38068487667402,0.38068487667402,0.538664499151104,0.680815966129528
"Electronics, Comms, & Sensors",2002,25858697960.8764,9321,293.002686304937,0.298745800779123,0.389467102470505,0.389467102470505,0.547070076256627,0.67743293628233
"Electronics, Comms, & Sensors",2003,31714128716.5554,11505,271.751958160896,0.279845465251594,0.393726848067277,0.393726848067277,0.55635962093137,0.68170861534605
"Electronics, Comms, & Sensors",2004,37156454367.588,13952,270.245823903727,0.26880836173883,0.407380656578625,0.407380656578625,0.568591029984278,0.692133259197357
"Electronics, Comms, & Sensors",2005,41999266548.4242,18191,268.845459886724,0.271621636635047,0.405530616570222,0.405530616570222,0.569743880717762,0.700839548048453
"Electronics, Comms, & Sensors",2006,44996832803.7504,18044,255.520520355043,0.252162264668178,0.395201597845421,0.395201597845421,0.580238644810809,0.702545101445695
"Electronics, Comms, & Sensors",2007,52417390856.8278,18376,275.410429084434,0.273731918870521,0.409207638638543,0.409207638638543,0.588279487227504,0.715083841256451
"Electronics, Comms, & Sensors",2008,56909098542.9826,18408,256.112022977471,0.252906496284787,0.389015530542331,0.389015530542331,0.573068729503881,0.708853828547627
"Electronics, Comms, & Sensors",2009,55244316111.6502,18053,229.490488912045,0.233435563440216,0.36580038015774,0.36580038015774,0.558610060549124,0.711193463463774
"Electronics, Comms, & Sensors",2010,56119214698.6032,17826,251.293397807216,0.253432760163474,0.377463406092195,0.377463406092195,0.560853021926198,0.699859177263311
"Electronics, Comms, & Sensors",2011,52338412840.9606,16906,240.554916690461,0.250940514201403,0.367535020363495,0.367535020363495,0.546593249241929,0.690297040328795
"Electronics, Comms, & Sensors",2012,49474233097.8886,15811,228.572297406314,0.24441292175149,0.370166063594663,0.370166063594663,0.52417029739145,0.654575010107108
"Electronics, Comms, & Sensors",2013,40996644469.3473,14313,230.664088371428,0.249520859740542,0.379990965318003,0.379990965318003,0.524163067202884,0.648687562987828
"Electronics, Comms, & Sensors",2014,40722853160.6836,14035,210.07558963654,0.240961467591942,0.351447161219904,0.351447161219904,0.490009927663671,0.621056824112906
"Electronics, Comms, & Sensors",2015,39457540152.1048,14423,209.511327644095,0.240121902766442,0.342596288184097,0.342596288184097,0.475177585531407,0.608879904871667
"Electronics, Comms, & Sensors",2016,43175813492.4298,13694,190.48740692079,0.229513366003573,0.331680329702025,0.331680329702025,0.468446252360699,0.608474050600252
"Electronics, Comms, & Sensors",2017,45587204432.5684,13081,212.066047500978,0.240185429428228,0.349749273041851,0.349749273041851,0.489394088771465,0.617536349268829
"Electronics, Comms, & Sensors",2018,50913681694.9557,12381,174.598421780665,0.21382043514688,0.31022738028806,0.31022738028806,0.454588244853005,0.599093372904792
"Electronics, Comms, & Sensors",2019,54860039800.2252,11729,189.567462966228,0.223829565612253,0.321892833393169,0.321892833393169,0.465314428398748,0.596738489930952
"Electronics, Comms, & Sensors",2020,55041477352.6433,11566,169.171483475165,0.209289618285386,0.310073387418344,0.310073387418344,0.457805127949012,0.594461966953266
"Electronics, Comms, & Sensors",2021,49567111624.4541,11152,154.87785444977,0.188955781872341,0.305351289223636,0.305351289223636,0.43927509946088,0.56971013173356
"Facilities and Construction",1988,670000,5,7119.70222825814,1,1,1,1,1
"Facilities and Construction",1989,419518000,856,233.845204459225,0.242514721738409,0.339229137785993,0.339229137785993,0.507373310110309,0.64044123745542
"Facilities and Construction",1990,12183919305,13235,24.8821216136835,0.0605200058392565,0.0920320041824928,0.0920320041824928,0.159334923388971,0.25110199910717
"Facilities and Construction",1991,18493514868,15228,22.1597743440183,0.0569897028695208,0.0892713927254758,0.0892713927254758,0.155661183692194,0.253299186916434
"Facilities and Construction",1992,17658228389,16815,18.9967179316059,0.051548052442666,0.0784120812339772,0.0784120812339772,0.140393240400793,0.23369206410177
"Facilities and Construction",1993,17180949094,15805,14.9278207916399,0.0348678388879451,0.0594168471985688,0.0594168471985688,0.118417909439031,0.215264307879286
"Facilities and Construction",1994,20333048736,13942,19.0843904232714,0.0460095608767499,0.0772701581886056,0.0772701581886056,0.139546803562311,0.237619717574121
"Facilities and Construction",1995,20139685026,14563,19.3919037552651,0.0448652653435779,0.0770539662409203,0.0770539662409203,0.148232001145402,0.246138517630242
"Facilities and Construction",1996,20283799348,15538,18.9012879051094,0.048047346516538,0.0822205071973725,0.0822205071973725,0.14863822146725,0.22737447733997
"Facilities and Construction",1997,20230217272,14892,20.486402970567,0.0490064111210105,0.0836078032444762,0.0836078032444762,0.147017001653538,0.242437320004631
"Facilities and Construction",1998,19566340131,13653,21.8733499740127,0.0521581668706083,0.086036850101294,0.086036850101294,0.155825484166943,0.256170221507663
"Facilities and Construction",1999,20606609810,13533,23.1356433981061,0.0497533046894346,0.0874657644116062,0.0874657644116062,0.162534813308719,0.270971214029076
"Facilities and Construction",2000,20786916910.0744,14582,24.7790900535374,0.0583092338143179,0.0914570874152325,0.0914570874152325,0.161693876669391,0.267379274410033
"Facilities and Construction",2001,23107328569.2593,15404,25.7354188143637,0.0565028204368338,0.0936813138461306,0.0936813138461306,0.173200037186632,0.284844428154846
"Facilities and Construction",2002,26027970587.2005,20786,23.4475188614154,0.0518294143437401,0.0874393166447665,0.0874393166447665,0.162770174128394,0.272834397001314
"Facilities and Construction",2003,34357274180.2863,26101,61.2376148256202,0.108985976928722,0.153656596029886,0.153656596029886,0.218454668031551,0.314531784918974
"Facilities and Construction",2004,35573581375.1197,30739,50.0883893320904,0.0985735513650887,0.146937265468669,0.146937265468669,0.231779548339209,0.343829276867265
"Facilities and Construction",2005,39371547693.261,36165,30.9756901013433,0.0630713131646957,0.104804954572507,0.104804954572507,0.189444675135763,0.30475608323381
"Facilities and Construction",2006,45477965274.852,36176,35.82305847925,0.0739727660200702,0.117577532941412,0.117577532941412,0.211271765182435,0.326502665234572
"Facilities and Construction",2007,46054961669.8549,36793,28.542848778116,0.0617562186722452,0.103951440237661,0.103951440237661,0.17404234698068,0.280117713014687
"Facilities and Construction",2008,57031788707.8795,36460,34.6993427633525,0.0792630658391144,0.119525937258534,0.119525937258534,0.194667992402399,0.312396937998779
"Facilities and Construction",2009,65968131475.3321,36866,42.040055135257,0.0891464031381912,0.132817713237186,0.132817713237186,0.211621601250125,0.325489333091817
"Facilities and Construction",2010,61060432805.8836,36105,32.131461754068,0.0707225631951126,0.103872296288707,0.103872296288707,0.17719637623817,0.281698997062531
"Facilities and Construction",2011,54244590719.0723,35082,32.9884865970173,0.0773825633889638,0.113218752989281,0.113218752989281,0.188326977594817,0.293739000113634
"Facilities and Construction",2012,48706616461.8429,32581,29.5335171781487,0.0713511008546502,0.105959702893631,0.105959702893631,0.178005470019504,0.27910921932082
"Facilities and Construction",2013,38970509463.1689,28476,31.9407754012952,0.0745526746174113,0.110849387098357,0.110849387098357,0.182853338155633,0.292102021291706
"Facilities and Construction",2014,42026612914.9209,27700,19.9213343423391,0.0488854236165198,0.0769863962139959,0.0769863962139959,0.137560941783308,0.236572744017118
"Facilities and Construction",2015,37927658496.1633,27389,22.4428541626125,0.0495272681331562,0.0827302153775415,0.0827302153775415,0.156388387773685,0.261370576362845
"Facilities and Construction",2016,38270469653.864,26239,21.1355686213594,0.0495852994911085,0.0816585375631201,0.0816585375631201,0.148937454118083,0.253218121109456
"Facilities and Construction",2017,38242286909.0666,25113,23.1164977756595,0.0506326928094772,0.0836724491787972,0.0836724491787972,0.157113797730226,0.264446164868191
"Facilities and Construction",2018,46663582182.3118,23785,29.4821043648169,0.0651393512532414,0.106517083860614,0.106517083860614,0.18720459910016,0.299851653845699
"Facilities and Construction",2019,51781898199.017,21960,43.8690146452567,0.0933636905195756,0.129736371467342,0.129736371467342,0.206705151476987,0.324030968597463
"Facilities and Construction",2020,59739013681.0701,20310,48.8250829910218,0.0986875485555907,0.153915248340277,0.153915248340277,0.237615990343602,0.342011930187423
"Facilities and Construction",2021,50855813878.7238,20450,34.9980385458583,0.0789488090081872,0.120831412906381,0.120831412906381,0.190196937446184,0.289974364066857
"Land Vehicles",1989,68494000,19,5182.15765239105,0.985171468564097,0.993278315642132,0.993278315642132,1,1
"Land Vehicles",1990,4275032000,1386,748.572509769127,0.465875934213134,0.633166321906199,0.633166321906199,0.769011806483515,0.86267174649729
"Land Vehicles",1991,6503975889,1544,1040.35483442427,0.564337070637655,0.700655891040681,0.700655891040681,0.799874675647599,0.877887442139679
"Land Vehicles",1992,4166812450,1763,611.54334017191,0.424998424958086,0.58616252474113,0.58616252474113,0.759776438724837,0.838945105748429
"Land Vehicles",1993,4396364530,1483,1108.40195160099,0.591864304655681,0.750880544117227,0.750880544117227,0.832477505464664,0.89649241949313
"Land Vehicles",1994,3619043411,1258,1433.74202628846,0.632061771706085,0.702559461874602,0.702559461874602,0.814074540035306,0.896903316656292
"Land Vehicles",1995,3098454659,1249,678.447917949391,0.449093760630563,0.586135139685829,0.586135139685829,0.74960073002095,0.856392840333184
"Land Vehicles",1996,3678250068,1557,668.533447829576,0.443045966714465,0.596552163975262,0.596552163975262,0.770704567707444,0.869245217377816
"Land Vehicles",1997,3652647546,1502,726.395962137166,0.474131101374805,0.617310112503851,0.617310112503851,0.760267604837633,0.858683143617211
"Land Vehicles",1998,2804250415,1402,905.214263453378,0.516315757595593,0.652447751941843,0.652447751941843,0.788923299032076,0.858866759226499
"Land Vehicles",1999,3507393596,1559,874.543823169301,0.525035276116115,0.672062425771505,0.672062425771505,0.80645782161039,0.869749512003867
"Land Vehicles",2000,3396266974.419,1427,1015.19381653125,0.568726976101278,0.708188183621373,0.708188183621373,0.819063564537347,0.87697300737445
"Land Vehicles",2001,3297806236.2578,1545,852.822282953523,0.536415766794075,0.655510135935412,0.655510135935412,0.77786900696798,0.857012334872964
"Land Vehicles",2002,4784757839.3472,2324,986.657140675736,0.542893064381206,0.686695338727978,0.686695338727978,0.789165655464203,0.852240635394641
"Land Vehicles",2003,9639949222.434,3610,1992.91408177687,0.648624483420002,0.744333790787693,0.744333790787693,0.815787574263362,0.872573388261113
"Land Vehicles",2004,8544950149.9358,4497,603.24686944068,0.440238516409507,0.579254904616635,0.579254904616635,0.681272148673535,0.788335952532412
"Land Vehicles",2005,15283465395.794,6185,697.567946996074,0.465724987741914,0.621314843627362,0.621314843627362,0.734997413847043,0.848093654004767
"Land Vehicles",2006,16129003914.2991,5807,809.188162828753,0.514284206484461,0.674409613417117,0.674409613417117,0.789262918401766,0.881803639312448
"Land Vehicles",2007,28195871301.9019,5975,913.561463578785,0.5447784228937,0.735859378883394,0.735859378883394,0.852988454467419,0.913042892833223
"Land Vehicles",2008,39717640297.2569,5871,1260.70506970475,0.633809406450717,0.79682800455192,0.79682800455192,0.878281231118629,0.934693716513255
"Land Vehicles",2009,28829201124.1596,6238,969.476674561685,0.542539569768089,0.720827874279487,0.720827874279487,0.846925574621418,0.91872159172124
"Land Vehicles",2010,25331773619.3051,5473,1160.77243403182,0.562266260866313,0.755795881774569,0.755795881774569,0.872405990214822,0.928038115273609
"Land Vehicles",2011,19570495480.0868,5199,1058.75935577622,0.56706267429917,0.717583147188384,0.717583147188384,0.845344275859739,0.910952828173026
"Land Vehicles",2012,10828888978.4807,4586,1120.80286417139,0.62754106208194,0.730984624433461,0.730984624433461,0.829622590507486,0.888875329718371
"Land Vehicles",2013,7427967569.5787,4234,1251.8708828908,0.615341794291955,0.70331082348423,0.70331082348423,0.800088370809951,0.86162240853962
"Land Vehicles",2014,5825203135.1328,4302,1001.76099914527,0.527799882142681,0.635041043976155,0.635041043976155,0.754369089670974,0.83513393440597
"Land Vehicles",2015,7498015761.3031,4478,791.102227853239,0.520169010634772,0.678555390564151,0.678555390564151,0.770959112970875,0.846490981552228
"Land Vehicles",2016,7352597731.5422,4427,922.811550844922,0.57992633591661,0.671188876901461,0.671188876901461,0.781367056149018,0.857711657818929
"Land Vehicles",2017,8253304453.7592,4273,923.088706816676,0.550840849506633,0.653935121277172,0.653935121277172,0.758889702450093,0.856699212854825
"Land Vehicles",2018,12689120647.9156,4008,935.326053412555,0.536970453482495,0.704441243199935,0.704441243199935,0.814257962048349,0.873827949763908
"Land Vehicles",2019,13047554456.063,3721,969.21027867356,0.561193501721214,0.699588618280094,0.699588618280094,0.799269480809524,0.871369407121937
