"PlatformPortfolio","multiyearcontract","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Aircraft","0",54349376925.5392,54015525079.7813,56604514265.5278,67119109973.4961,61799373678.1188,54933714974.0076,61905453679.5631,70527999764.1512,70854393122.2184,74384632463.3871,69875434598.1795,74125039677.8413,75608224643.233,68980570317.6991,54515532244.2299,56947085675.1411,70368202238.5849,78755591584.4228,70558621540.1792,75337908505.7877,92671834367.8772,59468470648.5026
"Electronics,
Comms, & Sensors","0",31589717312.6466,33015894220.0272,37182444859.9367,43516012010.9247,49566157715.5373,55386608573.2262,56554107811.8844,66038366423.5309,69350591599.1205,66188218720.597,62098012968.0619,55350973098.9719,50327927489.3389,40234850117.7138,38636833374.7074,36439491852.3406,38281594212.262,38941544097.7448,42590869633.7829,44610034626.6951,42557434189.8746,36001234035.831
"Facilities &
Construction","0",31867411166.3262,34593761628.3228,38358625510.4023,49270695919.0326,49492756410.2311,52898160829.5791,59193722965.3748,58022584434.8601,69612666544.01,79507620579.3681,66583208809.9178,56948947233.7906,50628363464.4983,40155630997.7034,42306774696.7694,38545897413.8758,38966240267.5672,38188013503.0748,45045689124.9992,50346626729.3991,57010245778.3561,46392056763.7438
"Land Vehicles","0",5016729443.99284,4106709003.1974,6147347659.0213,13297444689.1669,11151798689.57,20159368288.3613,20516910486.6902,35723490432.7405,48475303752.1059,35038278586.6799,29397441563.9778,20883521577.2513,10782545302.6947,7668101814.3888,5418246349.87269,6485682547.71268,6291690825.82285,7008730462.18541,11091500380.0113,11423523106.9126,10518007541.8825,8606560199.9893
"Air & Missile
Defense","0",4613358959.53961,5037716976.4382,6969248564.30138,7216137994.6228,8364193581.98302,8760465260.06217,8814736371.20176,10537118336.9392,10723356093.7047,12842257827.133,12555461694.2412,12362061109.5206,12315186035.8742,11647632606.6275,8809458841.81405,9256739422.15596,9485216814.11822,8049516392.86926,13589006844.9666,14663408457.6316,17492325803.8942,10151448887.4379
"Ordnance &
Missiles","0",12285422472.9706,12727599612.7126,17339032946.8339,18703526610.8441,19050019597.1503,19576165009.3777,18994182543.7621,22274311508.0919,22393967994.1794,21079032286.6881,18465589391.7172,16856250049.1443,16959143067.1976,13830736643.4769,12788959068.506,13363815015.2629,16919480577.4847,17673154137.8795,20755748521.0875,22259441611.9209,22524061679.0335,20206097396.6848
"Other
Products","0",12435607728.7012,14335432156.7658,17666973695.8467,21081675703.7518,25173646838.7234,40803833420.272,44124388584.1903,43388756317.8376,45541314144.1997,40196714796.8106,30490485378.246,29504057308.7834,37241106664.6258,24480352974.1083,21607483330.9585,19914981077.5736,19293169645.7941,21326820739.4982,24195995609.7343,21938150761.3431,22819482126.4171,44725469212.8502
"Other Knowledge
Based","0",19186705258.3006,18714599158.2763,23581468262.7251,26917412942.5237,29165661704.2428,34661899752.3529,37744691722.4367,38556060305.061,41404708656.4714,46834154267.7986,45887587628.5715,43882909185.0893,43089726825.563,35466544940.5757,34183038906.2087,33217078208.5251,32606822974.8476,32756849108.2067,36542211289.4327,38956489627.0975,39480938250.2657,38027739034.1229
"Other
Services","0",10002751394.0484,11111394091.8727,15548071424.75,23074188637.5096,28062142247.8163,29951385366.8698,31586722239.4655,31059519440.9345,33641427830.5967,37619763269.9717,36051899477.2777,40993507548.8003,37346820040.8976,33494025589.0013,27079422083.8573,24046828853.9766,24563177606.3652,26290527865.6015,27636081865.5013,28486173936.1823,27461183581.6021,26458536236.2394
"Ships &
Submarines","0",12828771673.9381,17965586309.1677,18509975634.4338,17717802211.1439,20487585907.6484,18707066638.0386,21814407921.4486,21746464053.6718,23579786258.8497,22765454667.7468,16988314805.2567,27960628860.9207,22681539984.9813,20040027212.759,21091900572.6396,20449670658.7301,23144339291.6013,25767015531.9039,28984833023.5102,29621706464.3877,35750521636.4298,30356730194.949
"Space Systems","0",4892697980.5339,6215651763.86545,6604956345.74122,7462206079.6115,8545141882.3178,8614153727.55379,10277272495.2158,10228369566.0828,11519637624.1741,12505431465.06,10615469169.3439,11483054627.0203,10085243854.9069,8516409081.5864,8708518664.51303,6571422471.50988,6573059318.42896,6472427637.45869,6260704517.21011,7313870624.7958,7275067040.03487,8804096429.0314
,"0",45218851.2047811,14453327.8690021,123017122.788094,108410742.361737,9860742.7177792,5131471.35927154,143070269.499573,22889330.1503818,572556.305560812,1210473.45305617,-283650.649517961,-122996.825162457,-6239.09079263184,-103921.270046029,,,3967853.75360015,-267.049999901191,,487885.007898111,0,376316
"Aircraft","1",100674403.105772,71763984.0836732,930121615.935362,3456297975.72301,4922987015.34039,8863279157.06993,8455108763.76089,6183550607.79969,10924936760.8682,5899890541.18331,4759258720.80474,5083828645.24465,8811985979.78599,7595878299.30135,4320106749.59182,4374686379.47503,5582262747.39923,5549681400.49812,6306146999.21136,8280210267.03835,6737770421.90381,5740443292.742
"Electronics,
Comms, & Sensors","1",107137059.829148,215197299.044959,578837811.495936,780629038.990018,1848289419.90072,1288157148.40036,1999296527.35033,320417762.628904,286695807.298772,507533078.794405,500727763.720719,797375799.793051,787092588.279074,1059700649.46854,896816493.109847,878917884.558388,1322835178.18825,1905950021.28514,2128744741.19946,2117163831.75319,1692221656.59086,1944532134.4049
"Facilities &
Construction","1",112297146.509421,80330787.2466145,70661323.7263858,85654609.3500255,208969731.362144,256808234.969518,261489386.597019,594222458.003921,624275453.441093,619316978.931591,1438181308.58004,1665230003.21045,1472251787.8027,1453598161.46821,1747804006.43035,1379307281.56826,1070134552.19543,1110570619.72832,1195855825.67205,1288941298.09914,1720463601.64227,1939697139.5461
"Land Vehicles","1",204195064.011297,831420253.378561,907666640.214406,516771594.557468,766407669.245398,465964058.237272,400387697.297277,-14327079.1217222,134717758.839085,195126916.98925,224222709.192387,334254529.944586,309923899.972978,113206502.008716,292909701.851306,1078115542.47871,1205695102.82458,1329693087.9091,1389462040.77273,1133816513.9967,703836278.50168,385455552.8706
"Ordnance &
Missiles","1",1060096604.47586,930577027.304582,891985160.358535,714767752.987149,616891896.925071,451006379.647305,595087303.597497,486656897.929066,1132636116.61844,738862029.529832,1199931629.50885,808383688.856003,589801745.761567,701537449.654274,925021003.827667,1016780250.07447,722630913.481485,1092577890.09099,1466262344.18703,1110631366.46033,1239382351.57703,1260193528.4743
