"SubCustomer.platform","AnyCommercialText","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Air Force","Not Classified
as Commercial",,,,,,,,,,,,,,34167200909,35317586631.5313,39169272935.4638,45359458089.2514,43011459440.1706,45543090819.3926,54171446579.2422,59791674722.1642,54337607271.2889,58094768802.3442,55950303069.4301,56996007969.6549,64296835173.7534,48953014204.9776,49792530323.1,47191180088.308,58311052464.4936,54110186433.0226,63624187477.6799,67141095969.2698,67244974802.9227,67113656039.9115
"Air Force","Non-Development
or Commercial Similar",,,,,,,,,,,,,,0,0,96463622,152546003,395301215.2901,133173392.125,27481406,27933613.108,46086032.2767,37931357.2076,46986030.5986,227243886.9732,235708812.7472,82389110.695,24938242.39,18097153.0054,10529618.8776,914700.1268,443717.6308,35946.4902,3186072.4003,25084377.6344
"Air Force","Any Commercial
Classification",,,,,,,,,,,,,,3791701534.9792,5334824060.2033,8125511212.671,10057361714.7362,11651116289.3035,9912137777.0599,8981069810.6265,10061459234.787,9265880216.355,9677599650.2263,8908396644.4646,8248211041.3128,6960800411.8039,6027087360.5185,5990987135.5482,5751628771.2103,6766531351.8695,6899287061.079,7717907944.8427,8705134676.1071,10561217038.0298,11913353269.4806
"Air Force",,,,,41032316000,43625084000,38602723036,39452449414,43554730825,37076749369,39081089944,34943056076,33653688998,35246060466,,,10763955,,,,,,,0,,,,,,,,,,204072.7031,1270102.8433,
"Army","Not Classified
as Commercial",,,,,,,,,,,,,,33175477467.8834,35857150102.2623,38770283336.2149,52654004301.26,58868305840.6417,80961794379.6572,82153000264.1593,90611098641.3029,117710606148.06,121763705663.271,117601584919.855,104810893921.307,91960941622.0607,73684607240.5115,62842732660.935,59572352637.3929,61522357113.7479,65140682695.4036,77424173353.319,79599111795.4628,82312667310.0161,65154048837.8742
"Army","Non-Development
or Commercial Similar",,,,,,,,,,,,,,1319748,-326562,66635480,92097092.4297,321929367,560240520.2422,357963395.2813,625625065.4439,736822337.4906,541034178.4215,142683653.7002,212299272.0439,267919169.5998,227886363.3714,74259354.6449,44031086.6887,54646283.963,20866051.5345,105175015.7143,101682448.5087,-2045810.6158,145468.9089
"Army","Any Commercial
Classification",,,,,,,,,,,,,,3655689612.8933,4698618641.2773,7340178114.419,11460446380.6472,16853684418.8959,14106486365.9567,19172050938.5592,27125565794.5097,34636934095.8379,24881872885.5296,23433819538.7999,20487733706.6731,16749418999.6892,13212081084.9988,12526218879.7042,13104355730.1829,12790542600.7946,13445691331.1892,14018411528.9035,15399297769.0027,18237997471.0102,44714622908.1008
"Army",,-171000,-1000,322582000,22813033000,34893842000,31113808998,30657778464,20628301908,29493441926,31662201213,31185929950,31088689272,33772526734,,723958.7002,33600,43078.51,0,,,,,-100,-16520.32,-1.11,,0,,35878.5,32130,,12882973.8295,42904827.7756,36202070.6077,20626172.4725
"DLA","Not Classified
as Commercial",,,,,,,,,,,,,,3999495821.298,4304741819.7583,4848977292.8973,6226049946.7879,5822521845.3741,22376817816.2776,22896024031.1571,10891674322.7546,8607838654.5507,11165533030.1558,13163928252.7475,13183717740.6792,13608508094.8106,11442316638.4126,12077892266.498,13745310050.7402,16438127773.8722,18274016167.9503,22529039230.1496,22516007192.0153,19496394212.3487,16150162965.1004
"DLA","Non-Development
or Commercial Similar",,,,,,,,,,,,,,24935010,,56160,79128,69719,13605860.5,24234661,49735348.04,45876418.627,21471821.8642,22838707.3105,52176061.0384,23133492.8503,125045017.83,15332494.56,26228299.3504,10327549.8218,8514832.6742,24969463.4404,-2042510.3701,11489085.2578,64812798.2242
"DLA","Any Commercial
Classification",,,,,,,,,,,,,,5556183332.3198,7121321610.0318,9742262575,11452863617.5215,13797022854.0576,5542006466.0152,9692744862.6788,19685896918.1368,27070517056.1751,26814517459.5718,21761416153.9426,22920784582.2209,29558367641.924,22202238959.1893,20189851608.6169,17089318581.3999,13793171591.8253,17054435924.3491,22920273703.1981,21679390981.645,22332748770.4886,22915089835.44
"DLA",,,,,9188590000,11683472000,6901945039,7925523004,6684428944,6635930451,7225251729,7958666470,7294689216,7746287061,,,,,,,,,,,,,,,,,,,21494,-737745.8633,9778617.0614,16067326.1762
"MDA","Not Classified
as Commercial",,,,,,,,,,,,,,1372578894,1669844020,2458852040.8281,2619635220.3438,3320411218.0001,3762610084.1563,3400345638.4842,4792855606.3368,5645931802.6015,5478212222.6909,5236754362.5944,5317961275.1458,6850619285.6596,7685922383.4316,6035561981.5689,4672877628.9347,6563960743.3524,5378976320.931,8243243649.3469,8735712716.3095,12246212884.7826,8738606041.7127
"MDA","Non-Development
or Commercial Similar",,,,,,,,,,,,,,,,,,,,,,,51312235.1602,5e+05,,,,,,,,,,,
"MDA","Any Commercial
Classification",,,,,,,,,,,,,,1301022,3166882,27112830,51859884.75,62511731.5859,79136218,92281485,136173976.3834,114331068.4676,143898292.6867,119697404.4413,64185257.2336,26383148.1636,17086448.5319,15285505.31,15622163.493,25120862.6686,34287538.6268,50057987.0879,77026977.9735,80498227.0404,78259983.5549
"MDA",,,,,,,,,343747860,251594273,300305090,388928264,552081489,925862742,,,,,,,,,,,,,,,,,,,,,,
"Navy","Not Classified
as Commercial",,,,,,,,,,,,,,38162302273.2196,39444172601.1989,42478781077.7106,50216567353.1779,53027330811.1386,59454282244.2754,67633826424.0818,76007174728.1522,87479539528.4723,86521425688.8614,80241955843.6093,95943891257.5294,87946941474.5244,87736562134.6864,78119497069.6506,78439781863.5465,86578215001.1936,102877890421.018,100960315442.081,113891348899.192,141559340606.097,103164807153.796
"Navy","Non-Development
or Commercial Similar",,,,,,,,,,,,,,,,49477662,529819752,287410527.25,237074895.75,96466876.4045,2555158.2851,11375993.4136,2368580.4841,41044379.4955,398019612.9663,44811839.4983,38029066.2519,39009352.5426,26633111.401,30193047.4454,13561319.8376,26729499.4712,27810959.0586,12316106.0626,13623111.6488
"Navy","Any Commercial
Classification",,,,,,,,,,,,,,2314272705.7397,2766885399.6423,5242877550.0352,6182957917.3844,7504029925.7055,5920564731.7887,7228908886.7424,9774179413.5926,8936092980.7422,9228708255.7466,7814589965.1818,7706556669.6649,6620213799.5622,6223635414.1589,5969658968.8887,6417311433.197,6365383890.7008,6571762902.5951,7218043480.4063,8075766128.9158,8378532723.8871,8456416398.5305
"Navy",,,7351670,1227923946,43985137405,41939949844,40644252613,37382740962,40131281740,38631559907,35472291538,36315651254,37912327660,37471174500,0,0,23064198.34,11111831.91,76558,614416.0625,14326.16,4000,484171.875,1555865.8,-7935905.9399,417165.57,317883.2002,158791,0,1435443.875,764297.23,2911392,41700493.7109,1869421.0104,2119632.5313,21130031
"Other DoD","Not Classified
as Commercial",,,,,,,,,,,,,,5124083333.953,6218322326.2965,8195313121.302,10642946317.7207,10191918690.9676,12835457955.9091,13904714008.224,13410002158.1974,17663046797.3238,20613711339.8353,20111499290.916,22832173975.7942,22613294626.3291,20528300800.805,21149436649.4666,19956469040.6976,20593568342.9157,21553036860.4674,23182483024.9806,25715299410.7155,26387656960.7812,25598472724.4814
"Other DoD","Non-Development
or Commercial Similar",,,,,,,,,,,,,,5400,4324,17944654,17306067,103595757,9801914,10067979.5,16607956,21895246.038,10992757.2612,134115500.0419,175932802.7689,149958888.5765,111012147.0852,124308597.2451,3462144.6209,-617116.0118,-663050.9494,-5363995.298,-108740.5397,5306681.2383,3935722
"Other DoD","Any Commercial
Classification",,,,,,,,,,,,,,831939441.1014,1277330404.0587,3132701188.8727,3899093319.6633,4529408969.4703,4270364442.1345,5382374404.9633,5130589455.3758,5627845482.9048,6480376173.4024,7679878762.3184,8987709406.696,9722256290.8338,8283679176.2258,8297418935.8593,8108360660.08,8507878794.4719,9236031500.4822,10859554990.3557,12148096656.0525,12829192061.3659,12655583447.8306
"Other DoD",,,302000,86178000,3331053000,4011846000,6143930864,5954890298,5819411448,4502738942,4707639584,5189919865,6464405532,7023124985,,0,,0,,,,,,236756.7578,-171212.1797,,,,-558047.03,,,,1680331.5118,587310.5104,876873.4509,632924.625
