"Commercial","SWpsc","TopAgencyText","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Commercial","Annual Software Maint.","DEFENSE HEALTH
AGENCY (DHA)",,,,,,,,,,,,,0.00604049806415929,0.0177574081422951,0.0225016670729832,0.0613025695189321,0.119226188507704,0.144477258195286,0.1465914353746
"Commercial","Annual Software Maint.","DEFENSE INFORMATION
SYSTEMS AGENCY
(DISA)",,,,,,,,,,,0.000538415249741647,0.00220339996617432,0.110088859037611,0.120097057483279,0.0437963432587981,0.0659467045012763,0.10148633568884,0.478499830664932,0.9942658118788
"Commercial","Annual Software Maint.","DEFENSE LOGISTICS
AGENCY",,,,,,,,,,,0.000196440284533241,0.00035488123802007,0,6.64999551912568e-05,0.00235551741840823,0.00116670133354605,0.0117644661873829,0.0118242284955617,0.0033096291652
"Commercial","Annual Software Maint.","DEPT OF THE AIR
FORCE",,,,,,,,,,,0.0140621352205764,0.0145998951307926,0.0212344634892699,0.0178932769104918,0.0122575428433135,0.0130611035147841,0.0130961152425567,0.012252482446281,0.0291274716045
"Commercial","Annual Software Maint.","DEPT OF THE ARMY",,,,,,,,,,,0.0222121989063038,0.0753554979145338,0.0964840520096239,0.100785439440656,0.0877300930630211,0.0588380777395235,0.0415656561679159,0.0393219284694419,0.0540273769163
"Commercial","Annual Software Maint.","DEPT OF THE NAVY",,,,,,,,,,,0.011472413824779,0.0276845731676626,0.0361520778905973,0.0950983895271038,0.135349911514456,0.07745141952776,0.0937909542590048,0.0838982507653301,0.0928614104244
"Commercial","Annual Software Maint.","Other Labeled
Agency",,,,,,,,,,,0.00487155147031806,0.00895574567369489,0.0124153794879425,0.020144777064153,0.024899835506876,0.0209525462365454,0.032936328430356,0.0321910967283951,0.0433266195121
"Commercial","Annual Software Maint.","U.S. SPECIAL
OPERATIONS COMMAND
(USSOCOM)",,,,,,,,,,,0.00248210981972672,0.00030840793776074,9.9288517699115e-05,0.00525594937726776,0.00130580364807796,2.31567751542225e-05,4.42312722256923e-05,2.29665340271401e-05,1.250954e-05
"Commercial","Other ADP Services","DEFENSE INFORMATION
SYSTEMS AGENCY
(DISA)",0.000679838618346546,0.00103701654386209,0.00134027966331795,0.000432237154150198,0.00448772281348142,0.0016270118290046,0.000951743310970413,0.00113023972099181,0.000498104802124358,0.000589842282906283,0.00116618593684694,0.00107344472883076,0.000929789092920354,-5.86902754098361e-06,5.71552787222523e-05,5.36222091044459e-06,0,5.14392419140904e-06,5.0415601e-06
"Commercial","Other ADP Services","DEFENSE LOGISTICS
AGENCY",9.2163080407701e-05,,0.000104871029052403,9.98392621870883e-05,0.000114695518958254,,,,,0.000708719963963964,,4.99464201150073e-05,,,,5.19474579876622e-07,,,
"Commercial","Other ADP Services","DEPT OF THE AIR
FORCE",0.00282576160815402,0.0139623870429584,0.00118046158023351,0.000317928853754941,5.53644835950466e-05,7.09259346340251e-05,0.000218806721051991,0.00028396575794415,0.000402969173171023,0.000467264489411489,0.000547769125043059,0.000478302311421806,3.1421482300885e-05,0.000141155047213115,0.000385034418191662,0.000132447570410551,0.000121540596502186,0.000184963339353127,0.0003545472111
"Commercial","Other ADP Services","DEPT OF THE ARMY",0.00308400622876557,0.0017209578757125,0.00144288216128156,0.0195908777865613,0.000880956968977403,0.0089307526096682,0.00231297199025934,0.00270936833943187,0.00827454075927915,0.00335317453235053,0.0020005387664485,0.00111748468823994,0.00187017036504425,0.00174915507027322,0.00461930179382783,0.0103632344834078,0.00825343881261711,0.00783156479124579,0.0081620446044
