"TopPStext","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"AMMUNITION, THROUGH
30 MM",27737000,251363000,227797504,175747620,116891433,134657158,115779194,127524193,149208012,153935988,196263432,331896930,314882702,465299869.5801,454129362,991827979.5938,895250637.3071,1059113946.3024,1338782226.9272,1170973745.6478,1218003384.7141,1175956748.3221,977972546.655,749460986.96,619445316.9008,664351566.2657,599686877.799,738326545.0207,882531556.9003,759444011.4204,815456262.8909,666494945.4918
"BOMBS",58070000,500260000,408183626,764577915,312060875,141887497,148101236,107383982,155526320,124069602,294336329,325601759,1091903778.5625,1315460307,1216249000,1073382273.7031,606857786.625,874930949.3687,598526269.3017,436463504.1961,742903995.2851,881349462.015,1101121190.405,998866181.7738,679548443.9419,615328806.632,2065165885.9818,1684985515.7993,2778066825.824,2503793597.12,1491611854.0351,1814080239.398
"GUIDED MISSILE
COMPONENTS",761177000,986338628,1066650126,797516318,777514837,869085343,686973100,676808862,1168209800,733787443,426574122,868127119,475893252.2734,1052639424.3008,1211906518,1574394570,1397261024,1136552814.5759,1593979967.0376,385184322.5228,1132588901.9935,1112599999.143,1323645201.0231,1285577356.4951,1285984619.4177,1012341914.1274,274970114.3947,941041565.9813,1541085053.8325,2996841293.3364,653427618.142,1577088381.6556
"GUIDED MISSILE
SYSTEMS, COMPLETE",2145325000,1298411000,1457108052,949102710,190024278,116130801,90916346,83425672,208164228,1000282424,281042451,280313033,349003773,175162355,220115450,154357328,421934999,217812568.238,462674349.0078,172576262.1468,349136748.789,317466476.7275,334543306.6851,173190059.94,555392329.67,197515638.7,995739376.4862,758382508.5989,556059823.4909,1540326663.4515,2399964726.0606,1749753901.7881
"GUIDED MISSILES",2113390000,3225063051,1856078184,2090114669,2073837598,1562537441,1767494658,1774816601,981730883,943985499,1688526036,1263705774,2022780037,2020133689.25,2347909116,1956281772,2523356070.5,2734511091.5447,3552881537.6913,3679479954.7801,2982444224.8423,1954481902.9324,3268020374.961,3321138099.29,2485286480.3,3824839258.9675,3527944963.4114,4469684980.8479,6243660445.522,8892875783.7217,13236191837.134,7325283418.136
"GUNS, THROUGH 30 MM",221460000,312192000,244210605,313240524,117257955,259362488,181512847,163879946,168861271,139352981,154753059,181609024,201928310,375036963,786524884.1016,871209052.5195,673142048.9876,1188530239.3364,1273157875.3803,1240650425.5328,602685403.8439,440939963.5552,379841357.4655,377514729.4265,274118472.8718,274929691.6488,336064991.5274,369054948.1073,338216731.4194,591322850.0247,320307310.6797,299630724.802
"LAUNCHERS, GUIDED
MISSILE",752742000,431901836,673609158,375463895,313165784,531432965,304340453,176591558,441244664,295892205,252409387,178726570,319430388,246769150,380395970,214900911,300244550,360058032.1441,482222564.932,363328360.7828,440736920.2797,467786807.683,230869266.4039,168776885.69,137491495.6063,498387206.9743,196826945.5101,189426568.3623,159252187.1609,271349725.4267,536368595.3712,657393238.719
"MISCELLANEOUS
WEAPONS",38993000,330148000,487785517,72878152,101919043,128995373,208893291,301940158,318744906,219517540,259607187,254573120,282728244,267883176,383238485,560448213,506559090.7824,465036778.4925,803996648.4887,749001163.6138,485881702.4526,476782357.7626,596304727.5618,584797302.1844,464059311.9794,522000232.8912,630727438.5396,454772220.5762,902568399.0148,667074493.6386,577112448.1831,438957475.5153
"Other Labeled PSC",6482720000,9571018260,8267153939,7462531912,5467290247,5447186672,6292867627,5891635694,5969208999,6801318282,6003820302.275,5836888632.3983,7202831617.5234,7304313902.919,6320744264.0586,6594809070.3613,6681500186.6244,7890237394.7873,8302341932.5339,9152754355.4502,8102825360.5508,8052824649.6198,6811561850.0445,5010615580.2849,5507365167.8844,5302234484.8388,7500281596.8227,8009127672.5144,7874339721.0558,7772627927.3034,8012152595.8442,8109324909.768
"R&D- DEFENSE
SYSTEM:
MISSILE/SPACE
SYSTEMS (ADVANCED
DEVELOPMENT)",316295000,991165000,1317495068,1310344246,1464439623,1042147947,907612030,962178301,974377480,658295924,370116464,349514375,308463209,270955577,8226097,18702439,26104513.4317,15314244.3121,53867208.7329,8558398.4204,27726375.3718,20810551.706,49024748.1797,42324925,124268211.62,57326033,21267641,1615723,16372463.7695,289466303,18247382.3203,101254136.0781
"TECH REP
SVCS/GUIDED
MISSILES",217524000,200301000,152497156,290591782,271006248,191721640,190432818,91045503,330923396,402539352,799363249,679948053,902374489,1092682817,804869308,839614997,1007043553,1999185507.4686,743744442.5049,555582840.6872,587964685.0985,519555769.8436,607029608.5702,327797492.78,445116166.26,284952518.2789,333011296.3129,435756434.7345,414103293.3136,426916135.5471,392707930.1496,493374598.5554
"Unlabeled",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,
