"StartFY","Action.Obligation","UnmodifiedContractBaseAndAllOptionsValue","ChangeOrderBaseAndAllOptionsValue","UnmodifiedNumberOfOffersReceived","Term","SumOfisChangeOrder","UnmodifiedDays","Dur","Ceil","CBre","NChg","StartFY.1"
1991,1621434168,0,0,NA,"Unterminated",7,NA,NA,"0 - <15k","None","[   3,3316]",1991
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2008,0,72549457920,0,253,"Unterminated",0,307,"[~7 months-~1 year]","75m+","None","   0",2008
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2013,0,7e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2013
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2007,0,72549457920,0,NA,"Unterminated",0,-39221.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2007,0,72549457920,0,NA,"Unterminated",0,-39221.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2014,0,2.16e+09,0,NA,"Unterminated",0,-41890.9583333333,"[0 months,~2 months)","75m+","None","   0",2014
2014,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2014
2008,0,72549457920,0,253,"Unterminated",0,307,"[~7 months-~1 year]","75m+","None","   0",2008
2006,0,72549457920,0,NA,"Unterminated",0,-38865.9583333333,"[0 months,~2 months)","75m+","None","   0",2006
2005,0,1e+10,0,3,"Unterminated",0,-38257.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2016,0,3.96e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2016
2011,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2011
2010,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2010
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2005,0,72549457920,0,NA,"Unterminated",0,-38499.9583333333,"[0 months,~2 months)","75m+","None","   0",2005
2007,0,72549457920,0,NA,"Unterminated",0,-39221.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2015,0,5.28e+09,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2015
2007,0,72549457920,0,NA,"Unterminated",0,-39221.9583333333,"[0 months,~2 months)","75m+","None","   0",2007
2006,6218906,12660901888,10838456,NA,"Terminated",19,538,"(~1 year,~2 years]","75m+","Ceiling Breach","[   3,3316]",2006
2012,0,72549457920,0,NA,"Unterminated",0,NA,NA,"75m+","None","   0",2012
2008,0,72549457920,0,253,"Unterminated",0,307,"[~7 months-~1 year]","75m+","None","   0",2008
2000,1309642494.6562,0,0,NA,"Unterminated",0,3740,"(~2 years+]","0 - <15k","None","   0",2000
