"Fiscal_Year","PlatformPortfolioUAV","SubCustomer","TopVendText","Toppos","Action_Obligation_Then_Year","Action_Obligation_OMB23_GDP21"
2021,"Electronics, Comms, & Sensors","Army","All Other",0,6408338219.3051,6408338219.3051
2021,"Electronics, Comms, & Sensors","Army","L3 COMMUNICATIONS^",1,898068100.9767,898068100.9767
2021,"Electronics, Comms, & Sensors","Army","GENERAL DYNAMICS^",2,740550978.4722,740550978.4722
2021,"Electronics, Comms, & Sensors","Army","THE MITRE^",3,571001163.6271,571001163.6271
2021,"Electronics, Comms, & Sensors","Army","TCOM^",4,344068833.0001,344068833.0001
2021,"Electronics, Comms, & Sensors","Army","LEIDOS^",5,283218859.8916,283218859.8916
2021,"Electronics, Comms, & Sensors","Army","NORTHROP GRUMMAN^",6,194578251.3437,194578251.3437
2021,"Electronics, Comms, & Sensors","Army","RAYTHEON^",7,184587734.935,184587734.935
2021,"Electronics, Comms, & Sensors","Army","VECTRUS^",8,161264069.8898,161264069.8898
2021,"Electronics, Comms, & Sensors","Army","LOCKHEED MARTIN^",9,154860011.0401,154860011.0401
2021,"Electronics, Comms, & Sensors","Army","SAIC^",10,150888529.2872,150888529.2872
2021,"Aircraft","Army","All Other",0,1544392332.7793,1544392332.7793
2021,"Aircraft","Army","BOEING^",1,1435731473.8843,1435731473.8843
2021,"Aircraft","Army","LOCKHEED MARTIN^",2,1184794438.7345,1184794438.7345
2021,"Aircraft","Army","GENERAL ELECTRIC^",3,581416499.4533,581416499.4533
2021,"Aircraft","Army","M1 SUPPORT SERVICES^",4,500608344.8398,500608344.8398
2021,"Aircraft","Army","CERBERUS^",5,403509859.1013,403509859.1013
2021,"Aircraft","Army","NORTHROP GRUMMAN^",6,395496643.8556,395496643.8556
2021,"Aircraft","Army","DEFENSE SYSTEMS & SOLUTIONS^",7,276446169.7598,276446169.7598
2021,"Aircraft","Army","TEXTRON^",8,251870698.593,251870698.593
2021,"Aircraft","Army","103175931^",9,216020684.117,216020684.117
2021,"Aircraft","Army","LEIDOS^",10,107472256,107472256
2021,"Facilities and Construction","Army","All Other",0,20986625015.691,20986625015.691
2021,"Facilities and Construction","Army","WALSH - TURNER JV II^",1,840130368,840130368
2021,"Facilities and Construction","Army","BECHTEL^",2,718463230.7735,718463230.7735
2021,"Facilities and Construction","Army","HENSEL PHELPS CONSTRUCTION^",3,640334283.4688,640334283.4688
2021,"Facilities and Construction","Army","GREAT LAKES DREDGE DOCK^",4,505046110.9495,505046110.9495
2021,"Facilities and Construction","Army","VECTRUS^",5,306971149.9098,306971149.9098
2021,"Facilities and Construction","Army","WALSH GROUP^",6,276330755.354,276330755.354
2021,"Facilities and Construction","Army","KIEWIT^",7,268440850.8955,268440850.8955
2021,"Facilities and Construction","Army","Foreign Contractor^",8,262371046.9302,262371046.9302
2021,"Facilities and Construction","Army","J & J WORLDWIDE SERVICES^",9,225955231.7507,225955231.7507
2021,"Facilities and Construction","Army","LANE INDUSTRIES^",10,219042670.5469,219042670.5469
2021,"Missile Defense","Army","All Other",0,40224179.9545,40224179.9545
2021,"Missile Defense","Army","LOCKHEED MARTIN^",1,1403109407.9398,1403109407.9398
2021,"Missile Defense","Army","RAYTHEON^",2,622194924.539,622194924.539
2021,"Missile Defense","Army","INTREPID^",3,145420058.0803,145420058.0803
2021,"Missile Defense","Army","RADIANCE TECHNOLOGIES^",4,65471339.1943,65471339.1943
2021,"Missile Defense","Army","RANGE GENERATION NEXT^",5,63871126.3281,63871126.3281
2021,"Missile Defense","Army","AC FIRST [Joint Venture - AECOM & CACI]^",6,38059699.315,38059699.315
2021,"Missile Defense","Army","078370393^",7,13635546.9836,13635546.9836
2021,"Missile Defense","Army","AP Moller MAERSK^",8,11854792.3906,11854792.3906
2021,"Missile Defense","Army","BLACK & VEATCH HOLDING^",9,11610966.5897,11610966.5897
2021,"Missile Defense","Army","809068661^",10,8896227.6857,8896227.6857
2021,"Ordnance and Missiles","Army","All Other",0,1396324058.6636,1396324058.6636
2021,"Ordnance and Missiles","Army","LOCKHEED MARTIN^",1,3250871474.3867,3250871474.3867
2021,"Ordnance and Missiles","Army","GENERAL DYNAMICS^",2,789211673.7283,789211673.7283
2021,"Ordnance and Missiles","Army","NORTHROP GRUMMAN^",3,751316266.4571,751316266.4571
2021,"Ordnance and Missiles","Army","BAE SYSTEMS^",4,567349639.303,567349639.303
2021,"Ordnance and Missiles","Army","RAYTHEON^",5,473764349.6493,473764349.6493
2021,"Ordnance and Missiles","Army","OLIN^",6,333531926.9964,333531926.9964
2021,"Ordnance and Missiles","Army","AMTEC^",7,246986502.2402,246986502.2402
2021,"Ordnance and Missiles","Army","JAVELIN [LOCKHEED MARTIN/TEXAS INSTRUMENTS/RAYTHEON]^",8,179031263.3594,179031263.3594
