"","EntitySmall","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Unlabeled",49,41,55,57,72,67,75,71,73,73,72,157,120,157,142,276,224,1597,1968,1742,1568
"2","Other Than Small",7957,7955,9153,10329,12449,15297,13138,12915,13355,13984,14167,14689,13558,12248,11486,11149,10844,9317,8844,8774,7807
"3","Sometimes Small Vendor",3686,3907,4954,6137,8573,11194,11800,13763,13849,13320,13031,11809,11262,10436,9690,10066,9789,9160,8112,7433,6766
"4","Always Small Vendor",19028,20648,29859,39224,45904,54727,52928,53052,51986,51612,50372,48383,45069,40693,40013,39182,37888,36538,33373,32965,30067
