"PlatformPortfolioUAV","Fiscal_Year","Action_Obligation_Then_Year","Action_Obligation_OMB23_GDP21","vendor_count","hh_index","big5","top4","top8","top12","top20","top50"
"Aircraft",1988,301670,634765.102656122,10,3705.43014292085,0,0.970814132104455,1,1,1,1
"Aircraft",1989,82783971,167540024.80461,47,1488.2509465544,0,0.695086489282225,0.901545888167347,0.901545888167347,0.988621343600942,1
"Aircraft",1990,30541781148,60074861989.1518,2545,908.75234514508,0,0.499905398074394,0.673090254377497,0.673090254377497,0.819416411548822,0.904664722843599
"Aircraft",1991,30055931399,56585665807.5143,2747,822.219457108511,0,0.501844616358367,0.664450389521729,0.664450389521729,0.794929716926438,0.885546209028829
"Aircraft",1992,29681939852,53711062381.1987,2828,755.258072885015,0,0.481570773524181,0.701532185889369,0.701532185889369,0.835188253384648,0.907344797156976
"Aircraft",1993,28932310417,50849393727.8406,2620,923.091693469793,0,0.543733164219353,0.678496714814356,0.678496714814356,0.821294873543054,0.901988539721779
"Aircraft",1994,29877502403,51600099043.5131,2230,1257.5768781081,0,0.613954812170967,0.73632231996889,0.73632231996889,0.8528410950319,0.916735119886157
"Aircraft",1995,26249805358,44025294116.0932,2302,1341.6560297633,0,0.609342293723501,0.731780566246233,0.731780566246233,0.843206587505953,0.906152242235253
"Aircraft",1996,28211291597,46339673492.0085,2586,1583.24352123026,0,0.65254817582287,0.763827274625493,0.763827274625493,0.860039129453267,0.911570544703038
"Aircraft",1997,24000564803,38616143395.2153,2628,1095.41414443304,0,0.563462849070474,0.770490618465339,0.770490618465339,0.855779443292614,0.910429888119688
"Aircraft",1998,25436805376,40587881395.3897,2587,1467.79692230161,0,0.628706965386527,0.780370291554369,0.780370291554369,0.854020718679988,0.911335341184022
"Aircraft",1999,26941152660,42477903601.7522,2639,1528.57366303659,0,0.639117452234716,0.785055456192261,0.785055456192261,0.855069721229629,0.904589955402203
"Aircraft",2000,35183083341.53,54085330590.4697,3601,1261.95181758186,0.586488634090374,0.586809010231232,0.705032962861833,0.705032962861833,0.798889733688701,0.870140396566129
"Aircraft",2001,35786999106.9394,53587738178.4467,3418,1271.63268348194,0.60497645738902,0.607653741215108,0.736814570554319,0.736814570554319,0.826269808472854,0.893849441609258
"Aircraft",2002,38620451237.1662,56944958317.5387,3621,1384.83437434048,0.617589975646118,0.632253111944689,0.748710714544428,0.748710714544428,0.838383089610138,0.900464749180899
"Aircraft",2003,48327675769.4567,69243299367.3148,4026,1459.29922851839,0.63066737822531,0.655024774892413,0.769943579814756,0.769943579814756,0.874186404779056,0.916693228712512
"Aircraft",2004,47451922676.1343,66230915064.8031,4566,1247.75663138155,0.601380402550242,0.606850908325535,0.736044980138887,0.736044980138887,0.86001680670574,0.912816758062397
"Aircraft",2005,46442847333.0489,62672349724.6996,7816,1205.40114742532,0.55917623976386,0.602431207100479,0.731559189838624,0.731559189838624,0.845998624640197,0.897711492803543
"Aircraft",2006,53174049825.2778,69318850486.1621,6496,1414.78145345182,0.610011914092773,0.632770298513518,0.749176856721381,0.749176856721381,0.858192136105012,0.916005826303228
