"PlaceIsForeign","IsFMS","PlaceOfManufacture_Sum","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"International","Includes FMS","Manufactured in U.S.",93407702.0868349,82895237.1641618,33652380.486455,52170988.6821039,97787619.8632099,117606679.877906,41618032.1405128,328098839.302719,215222811.329912,213656278.489992,111439439.3952,41923031.9396489,159818924.558582
"International","Includes FMS","Manufactured Outside U.S.",638173926.502285,1245853422.66913,290622042.408929,653949837.134811,273065228.884068,843618119.42082,221866064.700484,322198779.924328,246355298.826154,193808406.015805,89663841.5587,163755629.940723,14307509.3982216
"International","Includes FMS","Performed/Manufactured Outside U.S.",-21055431.6501602,-137803.815106173,-25488918.0326119,56074.8075488776,-385301.480607522,-364362.093047154,,,72830.2903679883,-809.696645504524,,,
"International","Includes FMS","Not Manufactured End Product",1697274497.70011,2181588086.18701,2533474497.72559,3078747450.46637,2410418463.48796,2367888537.35527,3345879806.80477,2900748464.28572,2434569033.25418,1350045491.10688,1446124685.1177,1403697345.07789,169813366.492347
"International","Includes FMS","Unlabeled",-598689.32232327,-428458.47882553,-484586.817057983,0,,,,,-806088.979985059,-347560.77204087,,,
"International","No FMS","Manufactured in U.S.",756555165.515239,479038380.201156,396429713.930351,579921454.611709,378889425.322906,450803487.41169,453057436.753499,336041526.112564,427516986.341825,352844359.148656,422423787.4768,434605688.603567,22770372.8994063
"International","No FMS","In U.S. but Foreign Services or Content",-2014.87999961556,,,,,,,,,,,,
"International","No FMS","Manufactured Outside U.S.",13962033745.3486,14557512563.3619,7107332689.95021,5286786334.26627,4568640910.64929,4544699940.19301,5288119606.7144,5173780356.39467,4399943343.21398,4968484176.64346,7730167536.1693,7072416245.80963,1156513937.19742
"International","No FMS","Performed/Manufactured Outside U.S.",220505969.55814,243093970.767785,141880965.892806,143969564.852801,23788509.0769954,45137148.7550212,28645321.1886387,-4253669.46373168,-1648443.78493307,-274466.766806733,54380951.2163,4863815.26253459,
"International","No FMS","Not Manufactured End Product",38462313129.237,30778978206.2732,18234293577.8615,15515195602.5929,15309010953.2724,15886858467.8477,16271140076.4437,17281547294.6655,16308011342.6967,13862071352.7338,14096582712.7088,16393185210.4576,2297941481.75311
"International","No FMS","Unlabeled",-13127271.209759,-8833978.27948528,719206.211527581,4753393.17467604,629288.873765446,-2693030.50915637,-97293.79022167,-221073310.791371,1030654.26877379,402390.030571531,,,
"Domestic","Includes FMS","Manufactured in U.S.",23673904611.5869,18089662387.6238,12922449223.6872,20380735368.5103,31355708471.8015,26814906952.9204,30461893572.3268,33361895391.3998,45600640645.815,18211340043.2724,29022174994.4661,49575965591.8207,3367199073.73635
"Domestic","Includes FMS","In U.S. but Foreign Services or Content",8666961.67477611,9450874.98218068,9880521.26770261,-1756212.08300354,-487060.396284985,-7450285.42668547,-4055.04146338316,-270.653182188886,0,-133660.949365537,0,0,
"Domestic","Includes FMS","Manufactured Outside U.S.",485483236.175358,160007377.345574,180861250.352298,186732652.933067,512797789.872588,593582049.930194,80126081.9438728,223639765.888245,71056300.3484172,128750227.648763,587318121.1394,2075336276.00204,1260551.08255736
"Domestic","Includes FMS","Performed/Manufactured Outside U.S.",80195320.6033987,22482495.6465326,191218.275087776,9385677.2123664,-603408.387883015,,,,,0,,0,
"Domestic","Includes FMS","Not Manufactured End Product",8229022085.14073,3072748136.40549,3213706000.86465,4682368449.13135,5466458424.59448,5548524648.37148,5603128916.8859,5849236112.86849,6806997717.62076,6404889618.50733,7470638021.5969,9492638818.26063,1184187914.37481
"Domestic","Includes FMS","Unlabeled",81731599.8411902,14390289.380771,27021623.2483765,-9400526.1352764,-41289262.0550055,-6415425.76491244,-1233004.57324478,-9137096.3867201,-265456.424399193,-1038088.33112367,-16347.2095,-197757.765368821,0
