"PlatformPortfolio","entrant_2018T","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aircraft","Unlabeled",787,731,727,642,663,641,623,623,600,237,217,195,163
"Aircraft","Pre-established Vendor",5043,4712,4614,4445,4411,4401,4383,4744,4643,4565,4324,4317,3918
"Aircraft","New Entrant",397,408,353,286,259,224,221,305,261,241,187,178,169
"Ships &
Submarines","Unlabeled",598,598,615,559,581,527,553,493,511,220,208,166,132
"Ships &
Submarines","Pre-established Vendor",4049,3792,3872,3995,3960,3864,4028,4250,4213,4032,3754,3580,3339
"Ships &
Submarines","New Entrant",351,365,314,270,215,265,238,264,267,196,163,157,141
"Land Vehicles","Unlabeled",468,518,459,396,366,362,366,328,331,150,125,115,102
"Land Vehicles","Pre-established Vendor",4104,4345,3841,3681,3326,3085,3142,3169,3153,3120,2981,2935,2656
"Land Vehicles","New Entrant",606,626,504,414,297,265,278,329,299,261,235,193,170
"Space Systems","Unlabeled",139,148,152,141,139,136,155,128,124,24,26,14,10
"Space Systems","Pre-established Vendor",432,422,501,493,510,499,475,435,422,425,397,375,288
"Space Systems","New Entrant",20,19,14,20,27,15,25,13,17,24,14,38,7
"Air & Missile
Defense","Unlabeled",132,134,136,128,116,106,107,105,103,29,23,18,11
"Air & Missile
Defense","Pre-established Vendor",499,493,463,483,432,420,391,367,435,399,377,466,449
"Air & Missile
Defense","New Entrant",18,23,12,17,9,13,12,10,11,8,11,8,7
"Ordnance &
Missiles","Unlabeled",423,435,417,376,391,357,345,313,312,91,82,76,74
"Ordnance &
Missiles","Pre-established Vendor",2422,2325,2290,2161,2021,1908,1751,1876,1886,1781,1873,2058,1751
"Ordnance &
Missiles","New Entrant",163,148,141,126,104,66,99,81,106,76,83,86,75
"Electronics,
Comms, & Sensors","Unlabeled",1738,1717,1711,1553,1536,1456,1416,1326,1284,568,489,395,353
"Electronics,
Comms, & Sensors","Pre-established Vendor",12802,12640,12631,12128,11649,10634,10479,10613,10133,9938,9476,9274,8965
"Electronics,
Comms, & Sensors","New Entrant",1834,1659,1647,1262,1027,806,857,853,747,688,668,692,1003
"Facilities &
Construction","Unlabeled",1918,1955,2009,1828,1835,1679,1703,1557,1532,717,591,549,467
"Facilities &
Construction","Pre-established Vendor",24535,25008,24961,24723,23961,21450,20901,20444,19834,19375,18224,17622,16492
"Facilities &
Construction","New Entrant",4432,4571,4055,3530,2743,2081,2121,2023,2085,1916,1754,1637,1486
"Other Products","Unlabeled",1210,1168,1155,1041,1018,928,923,881,886,463,366,339,258
"Other Products","Pre-established Vendor",9914,9307,9001,8885,8563,7734,7653,8045,7649,7408,6866,6398,5817
"Other Products","New Entrant",1497,1381,1095,964,812,635,645,689,672,595,498,412,447
"Other Services","Unlabeled",704,734,736,685,676,617,625,577,567,234,198,187,136
"Other Services","Pre-established Vendor",6418,6677,6632,6592,6371,5850,5532,5465,5528,5663,5231,5271,4459
"Other Services","New Entrant",1444,1372,1250,995,915,712,787,645,688,690,493,538,409
"Other Knowledge
Based","Unlabeled",1286,1314,1348,1244,1204,1165,1173,1082,1078,356,301,256,199
"Other Knowledge
Based","Pre-established Vendor",9886,10087,10374,10221,9645,10179,10009,9612,9527,9553,8805,9737,7763
"Other Knowledge
Based","New Entrant",1672,1496,1582,1292,1089,777,956,872,875,911,712,1054,576
