"SubCustomer","PlatformPortfolio","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Air Force","Other Knowledge Based",195000,1897530,3903539,4636181,4993631,7467644,16224750,50559199.38,164969448.87,253427923.12,543707916.33
"Air Force","Other Products",,,,,,,,,53094,2894500,5506457
"Air Force","Facilities & Construction",,,,,,,,38076,,,
"Air Force","Electronics, Comms, & Sensors",,,,,,,,134743760,334894429.41,232508786.97,81536368.53
"Air Force","Ordnance & Missiles",,,,,,,,6e+05,1920643,16369994.1,4531625.32
"Air Force","Space Systems",,,,,,,,55687960,1077701993.96,704788923.05,832375044.44
"Air Force","Land Vehicles",,,,,,242570139,171468448,278151321,0,23884425,14300000
"Air Force","Ships & Submarines",,,,,,,,,,,74985629
"Air Force","Aircraft",,,,,,,,6354028,56686911,102332246.61,69941663.38
