"PlaceIsForeign","IsFMS","PlaceOfManufacture_Sum","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"International","Includes FMS","Manufactured in U.S.",97213414.1850187,86285796.5920752,35066758.9591381,54423310.0313765,102038790.575797,121953390.915697,41793805.1115837,343488993.789723,225379966.527265,223565777.82722,116537414.264884,43953767.2149,167058645.37122
"International","Includes FMS","Manufactured Outside U.S.",664175061.083001,1296810995.29376,302836618.45165,682182102.168296,284936331.844562,881135946.566308,232023248.080069,337312179.926284,257981710.489515,202797349.774146,93765656.9794015,171687888.6266,7122382.90393608
"International","Includes FMS","Performed/Manufactured Outside U.S.",-21913293.5734629,-143440.23090634,-26560193.717606,58495.6642239979,-402051.886969456,-380566.195010607,,,76267.4193496461,-847.250835012506,,,
"International","Includes FMS","Not Manufactured End Product",1766426590.5739,2270818834.61706,2639954091.11177,3211662865.46755,2515207805.85453,2473194517.39428,3499056520.9167,3034795007.09886,2547359465.29947,1410499249.54307,1508235461.22216,1471614664.9169,177505830.742462
"International","Includes FMS","Unlabeled",-623081.73479158,-445983.176076524,-504953.55344588,0,,,,,-844131.280529276,-363680.837711428,,,
"International","No FMS","Manufactured in U.S.",787379509.568454,498631883.421453,413091288.689994,604957772.805373,395361077.158739,470851856.369088,473263352.516841,351804248.74795,447693083.628846,369209480.585012,441591375.292803,455657818.2287,23801859.8966231
"International","No FMS","In U.S. but Foreign Services or Content",-2096.97230056733,,,,,,,,,,,,
"International","No FMS","Manufactured Outside U.S.",14530889198.9442,15152940155.5518,7406047319.03592,5515027010.36821,4767255750.26649,4746814217.80162,5529780469.2606,5416464809.71784,4607592835.01472,5198925289.83446,8082164858.0953,7378316476.4419,1208903465.18579
"International","No FMS","Performed/Manufactured Outside U.S.",229490049.214538,253036937.126918,147844091.857195,150185006.28404,24822678.9772925,47144511.6907458,29956723.9967828,-4453196.62549368,-1726239.9035425,-287196.691071,56868694.5520058,5099416.5721,
"International","No FMS","Not Manufactured End Product",40028728710.6611,32037441428.8838,19000664096.9246,16185016266.8474,15974547338.0854,16591512030.7618,17015047381.4405,18092174004.6063,17077634739.843,14505002081.7223,14741453368.9848,17187264692.3168,2402037131.3617
"International","No FMS","Unlabeled",-13662115.9146708,-9195303.36119262,749433.784385734,4958606.24805761,656646.267611934,-2812796.37337159,-101747.96788201,-231443211.56049,1079294.630351,421053.108340354,,,
"Domestic","Includes FMS","Manufactured in U.S.",24638541502.1808,18735441993.7788,13276751354.7474,19033727950.8589,26500592355.7293,20853943954.2432,28072305258.1435,30459162280.0532,42642849168.8276,22246482278.1547,18277911918.053,23285111857.6113,2979770099.96878
"Domestic","Includes FMS","In U.S. but Foreign Services or Content",9020079.88840616,9837432.2123555,10295790.4515736,-1832031.11707441,-508234.619513284,-7781618.42486104,-4240.68409336808,-283.348729345159,0,-139860.219981463,0,0,
"Domestic","Includes FMS","Manufactured Outside U.S.",505263290.540258,166551957.472903,188462681.672849,194794258.653637,535090907.844322,619980141.949881,83794309.9303847,234130051.540496,74409708.2233949,134721736.207137,614185925.198072,2175864753.7551,1317653.44345104
"Domestic","Includes FMS","Performed/Manufactured Outside U.S.",83462720.3468841,23402068.8353566,199255.002592881,9790874.84608588,-629640.666262281,,,,,0,,0,
"Domestic","Includes FMS","Not Manufactured End Product",8556126495.04476,3188500400.81619,3248567167.13373,4714222993.16701,5573798014.06013,5718432478.24572,5612111564.85507,6093824845.8144,7088534934.3875,6318864549.52207,6306876778.94704,7458625591.5089,1255116476.17857
"Domestic","Includes FMS","Unlabeled",85061592.2440691,14978877.2538445,28157317.1180818,-9806364.82539387,-43084251.0509347,-6668994.94753124,-1289452.38366239,-9565690.78605755,-277984.288356066,-1086235.45650635,-17095.0386677771,-207337.0742,0
