"SubCustomer.OTA","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Air Force",195000,1897530,3903539,4636181,4993631,250037783,187693198,526134344.38,1635461728.3,1432698356.12,1971041069.12,2072824581.11
"Army",265546547.95,417275713.03,305798391.22,467083660.6,623306976.79,902166349.31,1543504234.55,2947049116.68,4946705602.07,13253348989.6,10550041410.1,6026337389.35
"DARPA",61502552,38758780,22014936,40849581,62907051,214782354.78,379711068.32,377879847.47,421907550.86,354104917.18,347468914.34,312343199.61
"DISA",NA,NA,NA,NA,NA,NA,NA,NA,11787736.15,38032189.82,43727334.67,84519055.54
"DLA",NA,NA,NA,NA,NA,NA,NA,NA,6e+05,1096960,607537.57,244088.96
"MDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,79948980,164193402,239101539
"Navy",NA,NA,1087637,2694831,2316363,4928841,50000,31955707.71,167767241.67,631276825.1,979379139.37,1451720368.33
"Other DoD",65790468.88,16073573.33,7755269.51,8294831,1359295.89,61241002.21,2629821,70515217.94,232155798.74,527178274.76,588638274.2,713472153.8
