"EntityID","fiscal_year","EntityText","EntityCategory","EntitySizeCode","EntitySizeText","UnknownCompany","IsEntityAbove2018constant10ThousandThreshold","AnyEntityUSplaceOfPerformance","AnyEntityForeignPlaceOfPerformance","Action_Obligation_Then_Year","ObligatedAmountIsSmall","MajorityNotSmall","ObligatedAmount_OMB20_GDP20","NumberOfActions","first_year_2018T","last_year_2018T","active_2007_to_2016","first_year","first_graduate"
"92614",2007,"003365731","PDuns-1","N","Sometimes Small Vendor",NA,1,1,0,44729.18,43622.08,0,55584.9136324096,7,2007,2020,4,2004,NA
"421739",2007,"618806517","PDuns-1","S","Always Small Vendor",NA,1,1,0,33651.9898,33651.9898,0,41819.2988691438,10,2007,2018,9,2006,NA
"597102",2007,"824943455","PDuns-1","S","Always Small Vendor",NA,1,1,0,11821,11821,0,14689.9465639369,2,2007,2020,10,2007,NA
"345567",2007,"142892145","PDuns-1","S","Always Small Vendor",NA,1,1,0,590000,590000,0,733192.494097179,1,2007,2020,10,2007,NA
"503479",2007,"790954346","PDuns-1","S","Always Small Vendor",NA,1,1,1,1396455,1396455,0,1735373.43109233,6,2007,2020,10,2007,NA
"348442",2007,"195237313","PDuns-1","S","Always Small Vendor",NA,1,1,0,9000,9000,0,11184.2922828383,3,2007,2010,2,2007,NA
"538286",2007,"616668968","PDuns-1","S","Always Small Vendor",NA,1,1,0,668866,668866,0,831199.204672549,13,2007,2019,10,2004,NA
"183588",2007,"100663558","PDuns-1","M","Medium Vendor",NA,1,1,0,20900,NA,NA,25972.4120790357,2,2007,2013,5,2005,NA
"403552",2007,"556578300","PDuns-1","S","Always Small Vendor",NA,1,1,0,13100,13100,0,16279.3587672425,3,2007,2012,3,2007,NA
"278669",2007,"118249106","PDuns-1","S","Always Small Vendor",NA,1,1,0,1368.36,1368.36,0,1700.45979868274,16,2007,2008,2,2002,NA
"235683",2007,"113643519","PDuns-1","S","Always Small Vendor",NA,1,1,0,600,600,0,745.619485522555,1,2007,2020,9,2007,NA
"414986",2007,"557394637","PDuns-1","S","Always Small Vendor",NA,1,1,0,18966.2695,18966.2695,0,23569.3668447869,1,2007,2007,1,2007,NA
"623887",2007,"960916146","PDuns-1","N","Sometimes Small Vendor",NA,1,1,0,15422,5760,1,19164.9061762147,3,2007,2011,5,2007,2007
"377506",2007,"183506765","PDuns-1","M","Medium Vendor",NA,1,1,0,2800,NA,NA,3479.55759910526,1,2007,2009,3,2005,NA
"102345",2007,"045050486","PDuns-1","S","Always Small Vendor",NA,1,1,0,26771,26771,0,33268.2987448739,1,2007,2008,2,2007,NA
