"PlaceIsForeign","IsFMS","PlaceOfManufacture_Sum","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"International","Includes FMS","Manufactured in U.S.",85169715.0713055,75579056.162476,30684249.8340708,47536445.5559563,89012225.989713,107028593.463518,37940802.5438268,298900016.018366,194731097.5109
"International","Includes FMS","Manufactured Outside U.S.",581890896.273281,1135896693.50547,264989258.639602,595857038.836393,248560542.708392,767739220.558604,202471838.583177,293525026.437608,222899410.2512
"International","Includes FMS","Performed/Manufactured Outside U.S.",-19198471.5851418,-125641.504115458,-23240802.5110619,51093.4736612021,-350724.790254467,-331589.688364178,NA,NA,65896
"International","Includes FMS","Not Manufactured End Product",1547585286.19543,1989045138.53783,2310022747.6552,2805250854.09847,2194109165.37185,2154909737.22431,3057252374.406,2642599298.07397,2201600059.9888
"International","Includes FMS","Unlabeled",-545888.59226088,-390643.522381328,-441846.39380531,0,NA,NA,NA,NA,-729339.9375
"International","No FMS","Manufactured in U.S.",689831635.326559,436759334.791521,361464722.793805,528405999.65377,344888148.409096,410256145.622102,413244367.729232,306135851.474952,385948481.856
"International","No FMS","In U.S. but Foreign Services or Content",-1837.17992880928,NA,NA,NA,NA,NA,NA,NA,NA
"International","No FMS","Manufactured Outside U.S.",12730608470.4699,13272682312.8272,6480467912.22002,4817124019.24885,4158523180.01559,4135855747.33152,4837671028.22757,4713342024.90328,4112229227.5857
"International","No FMS","Performed/Manufactured Outside U.S.",201058694.082099,221638944.503326,129367103.938053,131180212.493989,21653744.6036816,41077305.7212295,26114316.77868,-3875118.46597286,-1491492.7718
"International","No FMS","Not Manufactured End Product",35070168415.8116,28062477961.3869,16626033926.9638,13793144147.7655,13935190820.2478,14457921251.8622,15061831131.1823,15743593528.6311,14681013262.7306
"International","No FMS","Unlabeled",-11969526.3197841,-8054307.62205435,655772.422566372,4331131.56491803,572816.922252301,-2450806.94267177,1001279.86008745,-201399115.818896,932524
"Domestic","Includes FMS","Manufactured in U.S.",21586011274.7416,16493102092.7887,11782692775.8441,18570238780.3871,28541869493.8768,24403050728.119,27874222417.7637,30392873078.8464,41253976959.8213
"Domestic","Includes FMS","In U.S. but Foreign Services or Content",7902588.75749225,8616758.15762769,9009062.02433628,-1600201.2263388,-443351.93069843,-6780172.44384174,-3696.75161357485,-246.566676869707,0
"Domestic","Includes FMS","Manufactured Outside U.S.",442666589.298082,145885420.833803,164909338.088164,170144496.278579,466779668.254683,540192546.674856,73741280.2217364,203737171.848587,64246079.8833
"Domestic","Includes FMS","Performed/Manufactured Outside U.S.",73122584.6825123,20498231.9765475,174352.876106195,8551912.56830601,-549258.933405522,NA,NA,NA,NA
"Domestic","Includes FMS","Not Manufactured End Product",7503272756.409,2801553043.56782,2930258020.33451,4266416230.12623,4975902198.39718,5049464788.3043,4913324651.83417,5328689280.17906,6346712672.2939
"Domestic","Includes FMS","Unlabeled",74523373.5043059,13120228.9360695,24638323.5506637,-8565442.40612022,-37583992.024039,-5838392.82599447,-1124060.4286904,-8323949.76512601,-240181.8866
