,NAICS_Code, Action.Obligation , Obligation.2016 , minyear ,maxyear,2007 to 2012,1997 to 2002,,2007 NAICS U.S. Matched to 2012 NAICS U.S. (Full Concordance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,233,"678,096,305","780,720,141"," 2,007 ",2012,,,,(Note:  2012 NAICS codes in bold indicate pieces of the 2012 industry came from more than one 2007 NAICS industry; 2007 NAICS codes in italics indicate the 2007 industry split to two or more 2012 NAICS industries.),,,,,,,,,,,,,,,,,,,,,,,,,,NAICS97,1997 NAICS Title,NAICS02,2002 NAICS Title,EXPLANATION OF PARTS
2,234,"71,956,446","81,605,853"," 2,007 ",2012,,,3Sector,2007 NAICS Code,"2007 NAICS Title
(and specific piece of the 2007 industry that is contained in the 2012 industry)",2012 NAICS Code,2012 NAICS Title,,,,,482111,Line-Haul Railroads,482111,Line-Haul Railroads,,,,,,2002 NAICS U.S. Matched to 2007 NAICS U.S. (Full Concordance),,,,,,,,111,111110,Soybean Farming,111110,Soybean Farming,
3,235,"63,397,980","72,261,628"," 2,007 ",2012,,,111,111110,Soybean Farming,111110,Soybean Farming,,,,,482112,Short Line Railroads,482112,Short Line Railroads,,,,,,(Note:  2007 NAICS codes in bold indicate pieces of the 2007 industry came from more than one 2002 NAICS industry; 2002 NAICS codes in italics indicate the 2002 industry split to two or more 2007 NAICS industries.),,,,,,,,111,111120,Oilseed (except Soybean) Farming,111120,Oilseed (except Soybean) Farming,
4,421,"47,930,688","55,046,924"," 2,007 ",2012,,,111,111120,Oilseed (except Soybean) Farming,111120,Oilseed (except Soybean) Farming,,,,,491110,Postal Service,491110,Postal Service,,,,,,2002 NAICS Code,"2002 NAICS Title
(and specific piece of the 2002 industry that is contained in the 2007 industry) ",2007 NAICS Code,2007 NAICS Title,,,,,111,111130,Dry Pea and Bean Farming,111130,Dry Pea and Bean Farming,
5,422,"57,492,362","65,775,195"," 2,007 ",2012,,,111,111130,Dry Pea and Bean Farming,111130,Dry Pea and Bean Farming,,,,,525110,Pension Funds,525110,Pension Funds,,,,,111,111110,Soybean Farming,111110,Soybean Farming,,,,,111,111140,Wheat Farming,111140,Wheat Farming,
6,482,"2,740,620","3,124,323"," 2,007 ",2012,TRUE,,111,111140,Wheat Farming,111140,Wheat Farming,,,,,525120,Health and Welfare Funds,525120,Health and Welfare Funds,,,,,111,111120,Oilseed (except Soybean) Farming,111120,Oilseed (except Soybean) Farming,,,,,111,111150,Corn Farming,111150,Corn Farming,
7,491,"67,787,932","72,380,283"," 2,007 ",2012,TRUE,,111,111150,Corn Farming,111150,Corn Farming,,,,,525190,Other Insurance Funds,525190,Other Insurance Funds,,,,,111,111130,Dry Pea and Bean Farming,111130,Dry Pea and Bean Farming,,,,,111,111160,Rice Farming,111160,Rice Farming,
8,513,"512,078,534","574,024,967"," 2,007 ",2012,,,111,111160,Rice Farming,111160,Rice Farming,,,,,525910,Open-End Investment Funds,525910,Open-End Investment Funds,,,,,111,111140,Wheat Farming,111140,Wheat Farming,,,,,111,111191,Oilseed and Grain Combination Farming,111191,Oilseed and Grain Combination Farming,
9,514,"348,610,145","399,865,897"," 2,007 ",2012,,,111,111191,Oilseed and Grain Combination Farming,111191,Oilseed and Grain Combination Farming,,,,,525920,"Trusts, Estates, and Agency Accounts",525920,"Trusts, Estates, and Agency Accounts",,,,,111,111150,Corn Farming,111150,Corn Farming,,,,,111,111199,All Other Grain Farming,111199,All Other Grain Farming,
10,516,"6,947,271","7,893,198"," 2,007 ",2012,,,111,111199,All Other Grain Farming,111199,All Other Grain Farming,,,,,525990,Other Financial Vehicles,525990,Other Financial Vehicles,,,,,111,111160,Rice Farming,111160,Rice Farming,,,,,111,111211,Potato Farming,111211,Potato Farming,
