"PlatformPortfolio","fiscal_quarter","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Other Products","2",2159940435.25,2028200534,3321580414,4869789760.8336,5560689844.9808,7737749697.7823,9057968794.5882,10290694475.0528,11005454293.106,10320650833.9614,6713439407.3494,4483582963.2922,6083450452.1981,4178295812.6502,5345640460.4886,4596468745.0357,4499483607.9003,5002129713.0644,6070695263.6144,5737158204.2578,5682810217.1701,12683773344.8967,16982707743.3801,6947073641.1785
"Other Products","3",1511084901.84,2077168474,2497111706.8213,2732961266.0699,3589752306.2842,7901015852.4844,7299271923.6791,7762781062.6183,7382510068.5384,7157362942.5612,9246393471.4776,7284840966.3541,8233751315.6962,8141314687.4042,6839512472.8524,5381012958.0087,4686294127.5952,5083590887.1745,6245294518.2087,5512886427.9151,6110742421.096,9884739653.8218,11716384487.1126,3744036912.5191
"Other Products","4",2882017621,3125390359,4812296191.5498,5278556350.1028,5083102395.2799,8328664374.2361,10364555530.5457,9310436807.7974,12489017629.8101,9581104688.5585,7458614011.1824,11434810969.3476,11510288175.9745,6672338980.8326,7228301240.6283,5389880403.7206,5627893094.4095,6448934693.5549,7070087730.8568,6182502030.6586,8286743065.2428,20368596945.7458,13431473264.6667,
"Other R&D and Knowledge Based","1",3270012136.2705,3466457811.4009,3355538730.0599,4413265375.968,4984461518.1409,5843584347.5066,4794343629.7591,6173001090.9108,5964268858.0362,7731821579.1212,6992927973.8533,6440686036.0349,5446498871.0769,6439494623.6297,4831847514.0162,5674636852.4832,5230622850.1056,5830244350.8909,6159370063.0967,8502758015.6922,7419975963.3785,10426425422.9461,10651037833.7938,10711010035.6723
"Other R&D and Knowledge Based","2",3402954650.6767,3027146501.5157,4368674280.216,4823366881.9571,5670144931.0744,6321659809.4784,7315545766.1883,7244525071.3364,8769653235.0591,10320572872.9488,10031342016.0789,8475072028.2995,12063350120.678,6563323187.2118,7590121551.2151,7667528276.7138,8505592567.0979,8152464137.886,8539785362.3642,11020499804.0864,11625198960.2266,15078955420.7408,13048576666.3441,20740130856.4843
"Other R&D and Knowledge Based","3",2730724650.0234,2636430787.6259,3894970269.0028,3865360380.1782,4274467042.1589,4819897009.9003,6043557197.4435,6356630476.1987,7265255257.546,7336656360.504,8904224351.4718,9477342613.9914,8847181019.2304,7481582986.2472,8637083688.9043,8000376957.757,8188828116.116,7729298480.8688,10324701671.0319,9538462748.9617,11413601409.5051,12838081458.2161,14945859355.3974,6204858339.7449
"Other R&D and Knowledge Based","4",3013403893.0931,3292048403.3597,4218596329.8724,5323344575.1649,5609624817.5742,8440267420.3844,10567733088.4663,10521996566.9653,11794684762.3272,13130417301.7843,14145370239.4357,15469167612.1725,13764703954.4291,13459750090.6598,12412959134.2243,11803184890.2141,11442980100.6023,12947182351.9088,13628547293.5627,13488809490.6327,13788519538.0471,13809112224.3056,16334921909.8568,406505
"Other Services","1",2244585905,2977460589,4118729221.103,6431098358.7751,8603223796.3938,9290732098.3907,8273276086.1096,8509143507.4399,9619885930.0603,10697935568.6429,10117615655.0168,10798104809.2584,9996368441.8528,9915657716.3904,7723538291.329,6017087580.9535,6550431272.9659,8168271233.4763,7783705312.4068,13926790169.8009,8677362696.0545,8018399605.1169,9931281512.735,8875070814.1329
"Other Services","2",1063130946.3005,1127192628.4551,3743864308.5088,3455411609.2607,3807979860.0879,6934902421.1358,8718568669.4433,7853029738.108,8072269972.6187,8886615990.0128,10857076516.3925,7570453486.5155,9994194568.9036,6335676270.8711,7950776544.0256,7956688109.3576,7722982160.5592,4847777927.2626,7174895792.1674,4449809260.9817,9300786843.3652,9338061773.9593,6340946292.138,10989925166.8575
"Other Services","3",1729066855.3896,1890084132,1643520038,2764520217.1325,4413076512.9165,2769488463.1487,3221866810.4202,3034342428.7581,3738115460.4374,4774228350.4411,5599254799.6724,8896241208.0934,6188476995.3539,6488901093.2211,3843558685.0677,3353384250.1534,4555561819.2206,7429728105.6923,8361615685.8692,4980214246.7329,4962767109.742,5135890639.4585,9462029888.436,1638941891.9161
"Other Services","4",1470112564.4297,1425681275.3906,1039002364.8669,3454317555.4704,3285500618.636,3217913954.6876,4025119100.2966,5101369089.9194,6037690263.3544,6364869320.6236,6453877620.2159,9527870837.9739,7685112988.7737,7914712767.1533,6139687299.9084,5636864492.2543,5000142645.0578,5771992434.7192,5282454128.4292,6260022294.1659,6654024190.2927,6320607744.811,5008365809.7289,2267323
"Ships & Submarines","1",4244978783,3174716906,2958251138.5,5034249688.1104,6648511287,6984968455.0093,3682966362.3818,8147766616.6788,4317700457.005,10169324938.6407,3990109935.9729,5529970719.3593,2273998340.8315,7284115698.3739,3209393565.8742,4322445161.5469,5284994106.9431,7171974728.3428,6734169730.0676,12348591850.3423,11739363829.1643,7898583972.2108,8327029935.0059,6746804790.0182
"Ships & Submarines","2",2588346293,5275454278,4430769348.4004,1718320856,4718017359.7104,3535781629.4205,6249927625.6232,3032357029.2216,7264548713.6181,4063263248.797,7829287855.7166,6253050049.9471,11408559035.1181,3667154856.0041,8117630844.898,10690838514.0581,10950300165.1931,6028654390.5089,8841317745.9389,10491156726.4575,13302779439.8596,13366038503.3191,11223631511.5642,13965768477.0446
"Ships & Submarines","3",1521248791,2611094084,2393261194,2022714889,1603807067.2249,1859801448.2217,4488059910.5114,3130086566.8409,3296324959.8858,3003072960.5162,2465370457.2611,7680339788.5494,4866732025.3081,8118696892.5907,7658658051.5255,3343870583.6345,3817720783.5623,6170546358.2467,5779713683.5703,4848964343.4582,9652089065.9433,5824707471.9341,7456715803.6993,1947664128.8192
"Ships & Submarines","4",1001247896,1343062025,2913269708.0298,3897353574.9402,1872485993.2283,1661792428.4791,2398249982.9734,2942284744.3678,4474511363.2004,4265833367.4385,3277421684.094,8926210705.6775,5274228134.6601,3981311080.2922,4841743910.7718,3121054813.6691,4599644168.0662,7836741888.0019,9954530146.0411,5617088736.879,5389070371.3395,4871814294.1497,7376097250.8502,
"Space Systems","1",1420607472,1517138390,861082179,2674927876,2502776099.0234,3091893479,1321883882.8047,4330872290.9675,3352357890.9365,4297795725.5911,1640330570.2792,3450071731.5552,2199869449.1496,2972731372.5725,2722263673.9861,1085272513.2795,1169411360.9926,1173359096.9969,1297927128.7741,2181191732.3373,1670398269.0537,875719218.12,961383159.0396,1061262145.4332
"Space Systems","2",796504832,1466402395,2184121097,1121348774.707,1473660934.2178,1321342328,3834227051.9325,1540658497.5054,3391892749.7557,1752811982.8897,3409681469.9427,2526852597.4066,3821327299.1305,1297342038.5184,1338466911.7319,2630298808.7579,2299534153.5136,1641585254.0411,1566160496.9799,2098580413.005,2594014565.2326,1421825083.3221,660597600.1683,1520773534.1839
"Space Systems","3",640114279,354518678,747222784,758399209.875,1110600135.9688,865396692.125,1265767414.0996,1051354909.3393,1316303454.17,2688920492.0272,2304535874.5509,2737719727.327,1652014175.152,1843335679.1659,2594071396.3689,973520143.3441,1312095043.0437,1443283373.6896,1421910818.4953,1600154368.5737,1204751045.1918,591782410.9646,2209677931.1915,146920976.1687
"Space Systems","4",325525541,816256250,701349468,734808277.0781,1191661346.9502,1243663373.1406,1588606587.7311,1287522729.4215,1516953974.7046,1641508554.1449,1734819492.6204,1583757653.7137,2276119453.0617,1457770579.0926,1194683551.7782,1273971054.117,1294825156.7323,1792350654.0467,1659526165.9033,1336518766.2199,1877593521.9699,735741068.9709,811397445.3008,
"Unlabeled","1",14768747.7865,1192335.2285,2130334.1153,4724438.4901,1702688.4152,2175689.8992,65129345.3597,16489273.5156,27153.9102,-14513.0303,-3116.3301,-76873.3513,-5000.8501,-128.29,,,,0,,,10000,0,,161477.875
"Unlabeled","2",4900003.5944,258876.3903,20490453.1723,14861084.9998,3320589.1504,868362.8701,27081353.6798,582584.27,77938.787,214222.8,-178066.4375,-52435.08,-975.1,-54347.7095,,,2181143.4208,0,0,465885,11025,386316,,173659.3668
"Unlabeled","3",3813900.7265,2690903.3362,35168526.1514,3488723.3454,527607.0204,413750.1011,12955614.138,184570.5312,-22459.17,843964.3125,-60414.2202,-2410.35,,-3172.5,,,1400386.01,1345852,0,,293530.625,,144918,0
"Unlabeled","4",6020699.9012,5683118.9879,26285037.7352,52666753.3387,1527311.1966,344833.2519,4581981.6302,791156.7331,285409.692,-57505.9489,-12322.6702,-9106.32,-501.85,-42074.6211,,30000,,-245,-212795.3672,0,0,,836001.7685,
