"SimpleArea","Competition.multisum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Products (All)","1 Offer",1007062000,2507688963,1986714008,1632676184,1113502801,1203973123,1183771415,1017375608,1248036780,1412315349,4082019919.6992,3970223218.176,4155931468.3115,9060237032.5375,6919150399.1425,12878551525.7361,14564078410.0731,14848221111.9073,20717150862.1112,14830011216.6429,15083925111.653,14391411701.3465,11040966418.6007,7695981963.0912,7926748936.9926,7862726555.7784,7613194970.8972,7523279846.3634,9845317322.1565,13012186212.2339,12444927876.8283,14048138208.0581,18432529626.081,2839400621.0627
"Products (All)","2+ Offers",16559907083,30317468735,25335080084,22662098250,19627595730,17753261372,20919356974,19446931560,18434183616,18866259217,21632396525.4641,23546121271.8217,29093024853.1554,31583449886.2896,36124711108.4313,50286076790.6044,53482338083.0212,60185388559.0484,67515797106.7438,64841259006.2347,55475157640.6883,57947525811.1205,60605065403.8057,48884364855.3977,47995245901.0387,43683164204.8145,47631589149.0368,51167655249.2065,59370514519.26,58362110061.4122,51027696908.2958,50530901526.5065,77364923479.5339,11447245822.3247
"Products (All)","No Comp.",26470720032,39125270482,30828800785,35112256851,29982799865,30284380653,29513356860,27030970397,25936252158,28716114351,31079163259,34599856548.3162,38015265833.1427,48311052418.981,54465543169.6467,57804885377.4734,66540126668.7398,83053959528.8044,100887857686.108,93387352909.1201,90176966070.3226,100251332235.003,99462574399.3067,90803491454.5867,73101046181.2744,78025365124.793,93103962920.6686,104424860803.991,112906754769.514,121278366671.36,152464654205.787,126631922578.498,112056288387.188,36031861577.187
"Products (All)","Unlabeled",24343032000,1432967498,1940135211,892674249,788942689,449992810,576951474,1783503075,2479722837,2808081607,2800326556.3501,2939261238.5702,5603448761.5152,5935344004.3166,6329976504.4376,2418819056.9046,1677231108.6488,397633670.7422,866224112.3999,590276053.4791,1268828642.3897,499228379.7511,443343369.6095,253154576.7114,353702283.5882,228892527.4141,298543357.46,501916525.7238,1030801648.1436,605534235.2109,2174499988.2743,3020106294.7942,1847280386.492,1078170195.7957
"R&D","1 Offer",895994000,1105009921,1094443673,1123148595,864051228,1066637592,1376639554,1314817206,1475157411,1711030276,2552922584.6552,2657693591.9395,3132962213.8984,3654379500.479,3618915443.1377,3038175122.4357,3378127716.092,4309954192.4965,4400423498.3666,4876543680.357,5378058169.9439,4944965264.5931,4856988517.8082,4038186486.9803,4025330848.0052,3809477295.6457,4288115139.784,4430217691.4463,5643493372.2663,6598536263.6778,6306153880.4599,6093235541.5064,6049081852.1731,859692623.6327
"R&D","2+ Offers",8751248764,8302450566,9840883628,10095475911,9470644083,10353486221,9814380214,9307465980,9522008072,10459302229,9994610188.54,8965820445.0603,9724189067.0195,12492670210.5465,13375271865.0143,16284017389.4264,17158947095.0332,18611490159.1485,17769367881.4771,18995503730.7296,18142015680.7643,16948727691.5903,14989682250.2064,13257940852.1257,11300538516.4376,10313714351.7444,9954188011.7853,9846399546.1961,10088907061.7069,11475886674.307,11605404090.8566,11724162689.3235,12491468744.3582,2713697088.8929
"R&D","No Comp.",6904813000,7817548086,8339951912,9355719222,10677807379,9558230468,8822548430,8768948685,8746149128,6851550617,6409797043,9023808742.6875,11504524252.4004,12044226694.8164,12686762921.6512,14728034230.5404,17242820632.687,17688397644.8001,16968114816.6833,17946819945.48,16235309446.1633,15549838241.3967,13510345324.1652,9237267580.9067,8816267394.2848,8353382533.7072,9124708870.5099,10267816016.6806,10310676249.8173,11509944945.9324,12187947323.9342,13698379544.9197,15414808946.5625,3653337827.7854
"R&D","Unlabeled",3580069000,2660705000,1291831242,588628941,350078087,494750017,23589175,45990075,36849403,18643560,18241872,12616670.3999,86284364,102105582,252897907.5625,259164186.8813,139114879.5329,131294034.4294,378653891.3674,179508823.6557,-759213.2443,27207891.4228,39624379.0993,33849571.4513,52129111.2007,50751130.5716,47422452.3988,46287228.3824,107254847.1636,171850294.6271,185222622.833,107512207.896,152209303.9147,67596819.7877
"Services (Non-R&D)","1 Offer",2272196000,2126931747,2137685491,2066133828,2389133468,2688934485,2800617188,2730355965,3168892330,3742480670,4032491034.8383,5227994957.1684,5818366182.4891,7938734526.0728,8296768261.6106,13069764494.5023,16104818310.8677,16233025452.1864,18045480043.8827,20468900428.8144,20162763899.0348,17255139452.7121,13758061088.085,10832622648.0549,9343386940.2638,8363700723.4356,8333764718.4931,9295665799.1819,12007018569.4376,13503936898.8523,15666222648.9066,13523063348.7487,14187371105.2814,2691869559.3782
"Services (Non-R&D)","2+ Offers",18295233825,27030063048,26450374077,25346853246,29406938594,29714334205,30495717541,30926070609,30847839521,33038208436,35065840864.683,36932978878.4454,42114953459.1554,52403566084.1969,60624752231.4132,66894417538.2621,75690379843.4673,84495085266.8146,97827626550.4121,109366760149.401,105385662993.856,103677316818.087,100148780465.072,85893907291.901,84133481067.0538,77637685686.4226,79380378462.439,83882141467.2377,95767401684.0146,103679226934.76,111374641130.491,101024222903.386,108641497684.623,23186789710.7469
