"ProductServiceOrRnDarea.covid","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Products",123024342.4,67336104.64,13270461,-1320382,1977295.89,244624801,218030669.1,479062468.04,579309887.13,946973502.77,1177346643.42,1057866297.62
"R&D (Other)",266764901.74,405648534.72,326666879.73,523795221.6,692410749.79,1187333627.82,1853556666.47,3314278615.88,6488923855.93,7872324232.87,8579645315.9,8758826438.49
"R&D (Top OTAs responding to Covid-19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,6933141955.1,3070200222.79,-11956057.87
"Services",3245324.69,1020957,622432,1084245,495272,1197901.48,42000986.3,160193150.26,348151914.73,565245801.84,1817904899.26,1095825697.46
