"EntityID","fiscal_year","EntityText","EntityCategory","EntitySizeCode","EntitySizeText","AnyEntitySizeGlitch","UnknownCompany","IsEntityAbove2018constant10ThousandThreshold","AnyEntityUSplaceOfPerformance","AnyEntityForeignPlaceOfPerformance","Action_Obligation_Then_Year","ObligatedAmountIsSmall","MajorityNotSmall","ObligatedAmount_OMB20_GDP20","NumberOfActions","first_year_2018T","last_year_2018T","active_2008_to_2017","first_year","first_graduate","AnyMajorityNotSmallNA"
185954,2008,"069446219","PDuns-2+","M","Medium Vendor",FALSE,NA,1,NA,NA,0,0,1,0,0,2008,2014,7,2005,2005,FALSE
214943,2008,"102836454","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,9820,9820,0,11956.6540849872,1,2008,2008,1,2004,NA,FALSE
496197,2008,"692553134","PDuns-1","M","Medium Vendor",FALSE,NA,1,1,1,659533,0,1,803035.431632777,1,2008,2020,8,2008,2008,FALSE
283763,2008,"139622039","PDuns-1","S","Always Small Vendor",FALSE,NA,1,NA,NA,0,0,0,0,0,2008,2008,1,2008,NA,FALSE
376148,2008,"144579646","PDuns-1","M","Medium Vendor",FALSE,NA,1,1,0,208637.9895,0,1,254033.83599172,28,2008,2014,5,2007,2007,FALSE
402156,2008,"185648081","PDuns-1","S","Always Small Vendor",FALSE,NA,1,NA,NA,0,0,0,0,0,2008,2009,2,2006,NA,FALSE
110163,2008,"063834683","PDuns-1","M","Medium Vendor",FALSE,NA,1,NA,NA,0,0,1,0,0,2008,2020,8,2008,2008,FALSE
241998,2008,"095705133","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,35987.0781,35987.0781,0,43817.2142944113,1,2008,2008,1,2008,NA,FALSE
637649,2008,"830643227","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,18489.5,18489.5,0,22512.4802142944,5,2008,2017,2,2008,NA,FALSE
173787,2008,"079886479","PDuns-1","M","Medium Vendor",FALSE,NA,1,1,0,38474.6303,0,1,46846.0127846098,6,2008,2008,1,2007,2007,FALSE
285850,2008,"084642607","PDuns-1","M","Medium Vendor",FALSE,NA,1,1,0,20994.75,0,1,25562.8272251309,1,2008,2019,1,2008,2008,FALSE
313824,2008,"155143753","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,44446,44446,0,54116.6443443322,1,2008,2014,2,2008,NA,FALSE
190762,2008,"069683402","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,18455.5,18455.5,0,22471.0824302934,1,2008,2008,1,2008,NA,FALSE
611584,2008,"807110577","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,469652.0313,469652.0313,0,571839.804334591,2,2008,2009,2,2008,NA,FALSE
348662,2008,"143021975","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,75565.9498,75565.9498,0,92007.7314014367,13,2008,2020,10,2006,2006,FALSE
243926,2008,"130249811","PDuns-1","N","Sometimes Small Vendor",FALSE,NA,1,1,0,70556.6406,6792,1,85908.4872762693,4,2008,2009,2,2008,2008,FALSE
544458,2008,"794286570","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,170792,170792,0,207953.244855717,2,2008,2009,2,2008,NA,FALSE
407643,2008,"412823630","PDuns-1","M","Medium Vendor",FALSE,NA,1,1,1,10276.0801,0,1,12511.968951662,2,2008,2008,1,2006,2006,FALSE
418478,2008,"631083818","PDuns-1","M","Medium Vendor",FALSE,NA,1,1,1,23223,0,1,28275.9040545477,7,2008,2010,2,2008,2008,FALSE
172994,2008,"022299270","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,24164,24164,0,29421.6486058687,1,2008,2017,10,2008,NA,FALSE
51385,2008,"015692177","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,10000,10000,0,12175.8188238159,1,2008,2020,9,2008,NA,FALSE
650613,2008,"826514288","PDuns-1","M","Medium Vendor",FALSE,NA,1,1,0,819114.5,0,1,997338.974796055,1,2008,2008,1,2008,2008,FALSE
532932,2008,"808357656","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,50000,50000,0,60879.0941190795,1,2008,2010,3,2008,NA,FALSE
116443,2008,"037393092","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,43862,43862,0,53405.5765250213,3,2008,2010,3,2008,2015,FALSE
533281,2008,"793221032","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,33030.1504,33030.1504,0,40216.912699379,2,2008,2019,9,2008,NA,FALSE
521290,2008,"785475476","PDuns-1","N","Sometimes Small Vendor",FALSE,NA,1,1,0,3371425.5465,3146663.8434,0,4104986.66321685,12,2008,2012,5,2008,NA,FALSE
675246,2008,"963605621","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,23784,23784,0,28958.9674905637,1,2008,2020,1,2005,NA,FALSE
384775,2008,"175838937","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,1,8667.25,8667.25,0,10553.0865700718,1,2008,2008,1,2008,NA,FALSE
293961,2008,"145922303","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,9446.4004,9446.4004,0,11501.7659807622,1,2008,2008,1,2007,NA,FALSE
370877,2008,"183132500","PDuns-1","N","Sometimes Small Vendor",FALSE,NA,1,1,0,80637,21287,1,98182.1502496043,4,2008,2017,7,2008,2008,FALSE
561877,2008,"804300986","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,48294,48294,0,58801.8994277365,1,2008,2010,3,2008,NA,FALSE
157415,2008,"074487849","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,22451.8203,22451.8203,0,27336.9296237672,1,2008,2008,1,2006,NA,FALSE
56009,2008,"011133873","PDuns-1","N","Sometimes Small Vendor",FALSE,NA,1,1,0,1959846.5,1665569,0,2386273.59064897,2,2008,2015,5,2008,NA,FALSE
325551,2008,"170006584","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,14980,14980,0,18239.3765980762,1,2008,2010,2,2008,NA,FALSE
459044,2008,"190173836","PDuns-1","M","Medium Vendor",FALSE,NA,1,NA,NA,41000,0,1,49920.8571776452,0,2008,2012,5,2005,2008,FALSE
612396,2008,"861189934","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,27000,27000,0,32874.7108243029,1,2008,2013,5,2008,NA,FALSE
610613,2008,"807055343","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,25000,25000,0,30439.5470595398,2,2008,2010,2,2008,NA,FALSE
44058,2008,"042063987","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,8796,8796,0,10709.8502374285,1,2008,2017,2,2008,2012,FALSE
472295,2008,"610677333","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,31553.25,31553.25,0,38418.6655302569,1,2008,2009,2,2008,NA,FALSE
568544,2008,"809505063","PDuns-1","M","Medium Vendor",FALSE,NA,1,1,1,2960,0,1,3604.04237184951,4,2008,2011,4,2008,2008,FALSE
357148,2008,"252297551","PDuns-1","M","Medium Vendor",FALSE,NA,1,1,1,10000,0,1,12175.8188238159,1,2008,2008,1,2008,2008,FALSE
618287,2008,"825330520","PDuns-1","S","Always Small Vendor",FALSE,NA,1,NA,NA,25000,25000,0,30439.5470595398,0,2008,2008,1,2008,NA,FALSE
292458,2008,"126022941","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,78150,78150,0,95154.0241081213,1,2008,2008,1,2008,NA,FALSE
154865,2008,"067120782","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,11773.8896,11773.8896,0,14335.674662121,1,2008,2011,2,2005,NA,FALSE
531054,2008,"808284850","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,90720,90720,0,110459.028369658,1,2008,2008,1,2008,NA,FALSE
264428,2008,"138397240","PDuns-1","S","Always Small Vendor",FALSE,NA,1,1,0,57226,57226,0,69677.3408011689,3,2008,2013,6,2008,NA,FALSE
