Constant 2021 Billions $s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiny.VendorSize,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Small, 26.4 , 36.5 , 31.9 , 31.0 , 31.2 , 31.9 , 31.8 , 28.9 , 27.6 , 30.0 , 31.7 , 32.6 , 38.6 , 46.8 , 48.7 , 58.7 , 59.6 , 63.3 , 67.5 , 72.8 , 69.9 , 66.4 , 65.1 , 53.7 , 60.0 , 58.6 , 62.7 , 64.6 , 74.9 , 76.7 , 77.8 , 74.2 
Medium, 55.7 , 77.6 , 63.3 , 59.7 , 55.6 , 59.0 , 49.7 , 48.7 , 48.5 , 51.3 , 47.8 , 58.0 , 58.2 , 68.0 , 67.2 , 78.3 , 80.3 , 83.5 , 94.5 , 101.1 , 94.7 , 93.7 , 85.3 , 70.5 , 62.0 , 59.3 , 59.6 , 64.5 , 74.3 , 81.2 , 83.2 , 75.9 
Large, 70.7 , 71.3 , 63.5 , 59.5 , 53.8 , 47.9 , 49.6 , 46.8 , 44.9 , 46.8 , 56.3 , 54.1 , 62.8 , 87.0 , 100.5 , 112.1 , 120.3 , 134.7 , 161.1 , 156.2 , 149.7 , 140.2 , 137.6 , 113.4 , 102.9 , 96.0 , 93.6 , 97.3 , 112.4 , 114.2 , 114.9 , 122.2 
Big Five, 59.0 , 60.1 , 53.8 , 53.3 , 54.8 , 48.3 , 53.9 , 55.7 , 59.5 , 62.3 , 65.9 , 68.9 , 88.5 , 100.5 , 101.7 , 99.9 , 115.5 , 125.7 , 128.9 , 131.6 , 116.9 , 128.9 , 121.7 , 109.9 , 92.0 , 91.3 , 114.0 , 122.5 , 120.7 , 129.5 , 157.0 , 114.0 
Unlabeled, 24.9 , 10.8 , 10.8 , 9.8 , 7.0 , 8.4 , 9.5 , 6.6 , 6.2 , 2.3 , 1.4 , 2.0 , 2.3 , 1.0 , 2.5 , 9.7 , 9.3 , 8.9 , 11.3 , 6.5 , 5.8 , 5.0 , 3.5 , 1.8 , 0.7 , 0.6 , 0.8 , 0.6 , 0.2 , 0.4 , 0.1 , 0.8 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoD TOA, 573.1 , 584.8 , 516.1 , 473.9 , 434.1 , 426.4 , 418.9 , 409.0 , 413.5 , 430.0 , 441.1 , 474.0 , 524.0 , 620.4 , 636.5 , 678.1 , 699.1 , 765.9 , 820.3 , 817.3 , 834.2 , 811.7 , 753.7 , 666.9 , 651.7 , 630.6 , 651.7 , 664.1 , 717.2 , 725.7 , 744.9 , 711.0 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Inflation adjustment via OMB GDP deflators for both contract and TOA spending. Contract obligations include FMS contracts that include funding from non-DoD sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
