"Commercial","SWpsc","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Commercial","Annual Software Maint.",,,,,,,,,,,0.0566842136633368,0.130020064000789,0.283855752567699,0.385429493499454,0.334442088619599,0.3034400978194,0.414923570884864,0.804103890997245,1.3660535194687
"Commercial","Software as a product",1.04401372631314,1.75680163956291,1.1479634609681,1.19580600401383,1.37442954715613,1.38710080996819,1.7902486053766,1.9382295760603,2.07599728010849,2.11882128992688,2.26410004556045,1.90146672427094,2.34649163467566,2.48701627301147,2.50692705193427,2.94059393938066,2.44275206959765,2.4951402656987,2.3379687024215
"Commercial","Software Development Related",1.37389008391591,1.70432147620506,1.31322968169006,1.75968278434203,1.08792086159837,1.87469442252641,2.1856418966676,2.47727447880898,2.51023933652083,2.53601098669674,2.10591554058158,1.39761907152881,1.24052315637478,1.27207268426721,1.40248995328901,1.48723934282461,1.44306128358734,1.40032445390919,1.5362851685106
"Commercial","Teleprocessing / Cloud Computing",0.01009831398641,0.00666788822466287,0.00278759978278577,0.00241058444492754,2.50861738797396e-05,0.000141750963091835,1.37269327894801e-05,0.00074360784364468,0.000209242655686836,0.000369150091260091,0.000922822902399816,0.00221090540083437,0.00749362894900442,0.00395229971377049,0.0048833227315647,0.110133567107211,0.134506312609827,0.148554268557698,0.3837117760096
"Non-Commercial","Annual Software Maint.",,,,,,,,,,,0.00695691059501665,0.0339073489535461,0.00561140420331858,0.0265755617617486,0.0420316297773687,0.0308004392571793,0.153522397075786,0.167470759441179,0.3729275315892
"Non-Commercial","Software as a product",0.214341437471404,0.206062653540108,0.109615228098289,0.245997721164954,0.143154528926848,0.146530001444265,0.18767572156301,0.191116628120366,0.271972588500895,0.703852105537849,0.44690411951487,0.422184882635246,0.293832454622013,0.420843028675082,0.639509717870709,0.45970950315401,0.743406886367687,1.00323112753127,1.2233228650925
"Non-Commercial","Software Development Related",1.04962071918686,1.5528744281115,1.39120427021273,1.57089401917945,0.941013662222137,1.32200494733391,1.59105386778315,1.23942381060484,1.01450022275116,1.70832987422359,2.8887947625391,2.73955988314782,2.15981721511062,2.41621968963443,3.04141375542924,2.87063641853031,3.23637090322132,3.75485353064942,3.7862185015487
"Non-Commercial","Teleprocessing / Cloud Computing",,,0,2.3935441370224e-05,2.33895059364228e-05,2.33204921088604e-05,,,0.000309804272586227,,0.00446766089677345,0.00118953658811591,5.15575221238938e-07,0.00120206508174863,0.0183852030319437,0.00502619426058285,0.0331920168926712,0.0521539122097745,0.0708689245833
"Non-Developmental","Annual Software Maint.",,,,,,,,,,,7.72327500287059e-06,2.60076220543466e-05,0.000619698115376106,0.000676373601420765,0.00021031797282079,5.39521163582217e-05,3.18046012908599e-05,0.000152569930211203,0.0005044954629
"Non-Developmental","Software as a product",0.0105452831257078,0.0189823870429584,0.0171571667119196,0.0256274545454545,0.00836243329503383,0.00391093993190009,0.02375814563643,0.00321511601324025,0.0174189978417472,0.0159041926089856,0.00454176597267195,0.00694728112526779,0.0241764754748894,0.00756200325672131,0.00354270910286952,0.00129184913486492,0.00115078898500937,0.00184997455371901,0.0009566703406
"Non-Developmental","Software Development Related",0.0457641023921291,0.0388981116189351,0.0437283737806136,0.0214791110491436,0.00690213150976637,0.0111260298372064,0.0139999041154268,7.11153698844487e-05,0.0170042154307197,0.00625154194278694,0.00063945580502928,0.000351929822978915,0.00205718369469027,0.00148308192907104,9.4565239415268e-05,0.000268913022122953,0.00109439033978763,0.00116213779206203,0.0024138357833
"Not IT","Software as a product",0.00361032701019253,0.00674961768385931,0.0014445710290524,0.00470245582463768,0.00543522218536959,0.0475953759337641,0.0587558952103981,0.0790732292512036,0.0660661856506743,0.00990002093541593,0.000959610722700654,0.000361109448641335,-7.96673451327434e-05,,0,0,3.81244014157818e-06,4.03836343230283e-05,
"Not IT","Software Development Related",0.00424451160815402,0.00158517731127485,0.00379470811838175,0.0059682766798419,0.0145193847247542,0.179353397407108,0.197805036907829,0.368955696178623,0.282857395833154,0.0644850512753013,0.00793662177551958,0.00949413763671214,0.00758304903738938,0.00838679564928962,0.0110343505853817,-0.00238862080536056,0.000805649059337914,0.000658628452300786,0.0005417415137
"Not IT","Teleprocessing / Cloud Computing",,,,,3.05004468275246e-05,,,,-2.52407196562836e-06,,,,,,,,,,
"Unlabeled","Annual Software Maint.",,,,,,,,,,,0.000697626170857733,0.00156075975893562,0.00114000276548673,0.00214732012601093,0.00387528419209529,0.00233202686502872,0.0183362196581303,0.012480227630854,0.0246797288381
"Unlabeled","Software as a product",0.607249581096546,0.327882738082302,0.499775753278849,0.292766740489592,0.851264804996808,0.38448186187834,0.245823442492877,0.411931842919355,0.332117435154434,0.0873715757592138,0.0427890603683546,0.046469518865261,0.112530579419912,0.10327149012776,0.103321658678181,0.0834844669524569,0.108485004217989,0.252993053625242,0.121864019091
"Unlabeled","Software Development Related",0.577757959086353,0.849199459858195,1.28627811499145,1.09239706450211,2.20247064596183,0.697555488260718,0.630766250111165,0.914440067221594,1.08214262720575,0.72896425020475,0.443472207396257,0.273307268792761,0.252702589185398,0.34996920955224,0.376678358434001,0.385327924147522,0.502570333001666,0.551463399699521,0.755154287294
"Unlabeled","Teleprocessing / Cloud Computing",0,4.4279160294731e-06,,0.000347409749670619,0.00151274525724499,,,,,,0.00539946032839591,0,,1.96666666666667e-05,0.000372775919112074,0.00208709198362051,0.00975413574328545,0.0156262125676972,0.0284528316125
