"SWpsc","Shiny.VendorSize","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Annual Software Maint.","Small",,,,,,,,,,,,,0.114237984038351,0.264262871673582,0.424334752951217,0.591222839955956,0.698781019430428,0.861399621464688,0.857917277170622,1.05029991110376,1.0588506538109
"Annual Software Maint.","Medium",,,,,,,,,,,,,0.0502252872445746,0.133109267249521,0.148966947979646,0.207969939159016,0.226785128961234,0.34131713068177,0.365414161650219,0.422994623277727,0.5297235248171
"Annual Software Maint.","Large",,,,,,,,,,,,,0.0312839934064761,0.0600710438323374,0.22292924904646,0.303918478579235,0.209121870461722,0.379648431442459,0.476386405660004,0.900015842030201,1.6860627024461
"Annual Software Maint.","Big Five",,,,,,,,,,,,,0.000850301728901137,0.00588957951291014,0.0172311055970133,0.0207971243865574,0.0124288700590146,0.0100376577752606,0.0296920522781595,0.0197266745751454,0.0070654915188
"Annual Software Maint.","Unlabeled",,,,,,,,,,,,,0.000336272762659318,0.000371447806968091,0.000834059192477876,0.000484262131584699,0.000198748272333514,0.000271276400446713,0.000191458474911514,0.000194303135190287,0.0001334151506
"Software as a product","Small",0.45659575474091,0.552162949148137,1.11852454518545,0.798346879371333,0.862091102249117,1.19826434683439,1.57517592672922,1.70722011914701,1.81825595407099,2.15022228301083,2.44614272569316,2.52949493419141,2.35356285871122,2.21276138873481,2.50031211809546,2.51845277794044,2.54552928377412,2.55020038863391,2.5525989409035,2.66597242602388,2.9821220940682
"Software as a product","Medium",0.468391041363757,0.459699786846829,0.558588332161098,0.567969526969137,0.692654839601276,0.660423570288142,0.786815751278182,0.749878630429104,0.858655377440643,1.00203992122749,1.16744772590977,1.28090875744097,1.27690989071891,1.28680756547604,1.5719801791865,1.4898796745118,1.42614743786746,1.65934540141598,1.72316041499323,1.85136469667973,2.2133905547447
"Software as a product","Large",1.06361914462579,0.743426004924062,0.946834787860561,1.07238807540943,1.12758381951887,0.932642832000659,1.01830018635555,0.893469578702746,0.823597334985633,1.20870303623255,1.39281373547464,1.47526588407313,1.37685742870318,1.10217430828966,1.4107719942719,1.77500491814219,2.04281123338657,2.12269826477313,1.98286799964428,2.20439639104857,1.8711130134869
"Software as a product","Big Five",0.16382109147284,0.183276481702431,0.343956043878256,0.463682850396218,0.240307891654901,0.201719397730567,0.328516726124218,0.191930377487884,0.332356772094728,0.274926043557535,0.19269408509309,0.186481770545338,0.199706846594787,0.152389701986244,0.096632807657854,0.0929037949395628,0.085303099848078,0.100265123522442,0.115791983670831,0.168176461525661,0.1505650932996
"Software as a product","Unlabeled",,,4.45498301245753e-05,0.35343198387321,0.004616218725224,0.00734356368629776,0.0996121152550747,0.0355899566949174,0.00200990199671253,0.00262084614997593,0.0116642203082707,0.0161255793053703,0.0150704671785509,0.00423781203066862,0.00408861565265487,0.00553848834185792,0.025429832682079,0.00163179882695171,0.000910147573808037,0.000558189017855321,0.0004648004603
"Software Development Related","Small",1.03055869270264,1.17306822238516,1.26253597018474,1.71126441329598,1.75536156111757,1.63941493676891,1.77636788300804,1.74567818253635,2.09715270887422,2.31716272631873,2.45872979467478,2.50859134409395,2.85108811309737,2.76928223407261,3.48309890445365,3.95600280234109,4.20497031490449,4.20655264528334,4.26114936993785,4.7804339909549,5.1767927030074
"Software Development Related","Medium",0.906936153097748,0.976992901953977,0.921147963147508,1.00983694851481,1.19057195113209,1.19369231500804,1.20977246877378,1.17321733230247,1.24446371481225,1.29498338822171,1.39280240177873,1.13462440861355,1.12054891997589,1.12568425163897,1.2903037713042,1.55589399825967,1.83273740986605,1.90033668202616,2.29528060517989,2.03258612265269,2.2963990714378
"Software Development Related","Large",1.79496205014603,1.67816827994261,1.94532944165756,2.37999434236341,2.69850487442058,3.0512709930444,3.2649039770609,3.00433927595116,3.60381263695751,3.64167029843693,3.97487267752834,4.40207256764572,5.086868085165,4.21428372532394,3.68633913655973,4.13560013216459,4.35440820796275,4.15286167790832,5.11662109927264,5.87910990759708,5.5529526993015
"Software Development Related","Big Five",0.907194378213749,1.13770678594822,1.06458639147339,1.79862785059294,1.99196807656747,2.0693251038025,1.92140481515154,1.80445113895825,2.09840464078802,2.07040766243873,1.59563096288006,1.2837749738534,1.25150879254243,1.15959316897114,0.849144129360066,1.10137986005366,1.24961822507558,1.1235417405519,1.03842991857277,1.75844171013427,1.6332834375192
