"SubCustomer.sum","SubCustomer.JPO","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Air Force","Air Force",81553023298.5625,83720006592.9594,72275362881.4491,72170931992.9669,77976219082.6946,65001740875.7447,67251730788.5116,59081351363.2833,56199563119.5895,58134071992.2562,61331339334.9936,64128248544.0022,73613704976.2413,84678729905.7802,81897453836.658,80250458137.0755,88334152529.6801,95095340808.356,84845885360.983,89482878133.699,84911417022.5799,83959483899.8513,90031568583.6068,68094072942.8472,67706732445.929,63523769894.4616,77428170502.5211,71304298739.0355,81466865732.6191,84946158417.4539,85998247510.3024,84531242228.601,78976636643.7426
"Army","Army",45341623216.1956,66964058620.3498,58253969126.9293,56082714189.9998,36930936282.1019,51706934999.2854,54485118895.0853,52728842061.1894,51916173443.895,55703658070.0609,59511355776.9817,63976424964.1887,71711506322.6106,97840464544.5043,113113758516.712,138054564765.739,142166559584.222,161069409074.137,204063869714.297,194228336367.487,184693066160.417,160953065347.745,137236347715.062,107744256954.663,91527587187.0036,87224757048.7341,88466929140.949,91870160074.0202,104554150849.227,106557787213.176,111169444625.311,117503440111.053,112656925401.181
"Other DoD","DLA",18262612677.065,22421512193.9629,12922419535.4389,14498272990.0517,11967161451.9741,11633895608.0658,12433396429.1735,13456429485.5768,12181676340.3484,12776554421.2029,15479686199.4014,18024353858.407,22659784298.7555,26939926800.6417,29183770884.2011,40324784229.3,45597374659.1718,41678157752.7633,47620964858.5874,50147036651.3978,45720181776.6197,46366705771.9564,54389178612.4388,41761816788.8715,39165778497.8345,37015979764.3438,35975137724.9271,41299157745.5345,51927630471.3142,49494631584.0816,46254363879.7424,41858561970.2481,48175769725.7546
"Navy","F-35 JPO",,,,,,,,140046183.136688,1086654815.98736,1143087877.62556,287650773.263358,423766740.36093,10179104.0628542,365611014.859387,291814463.8679,429961322.195012,886708500.956586,1450444112.84666,3632970693.09919,4858082045.62215,2452738600.44899,6255021405.23053,5908381976.01715,15064314896.3359,4605716285.65461,13661490140.9433,12066711743.5826,28213328607.2449,18263064442.4415,19313675440.9329,39583870162.2098,10529202485.3032,20737931632.3383
"Other DoD","MDA",,,,,615413249.785993,441086827.127328,516772615.50379,657595814.473655,921941677.480181,1527097513.50217,2219819065.05554,2639136452.5424,3860618524.87589,4070926654.7074,5032027958.04565,5546155128.86681,4883163466.57621,6707506973.23454,7678521255.99703,7486682672.27044,7008112775.3774,6901972632.50949,8660209163.26119,9526071901.97308,7340878845.66945,5623609669.26176,7838305753.83973,6326610841.52302,9470216494.09284,9870049002.97941,13623861077.4004,9427765466.92812,9841067323.8948
"Navy","Navy",87421849051.3779,80486100094.3418,76097691448.0967,68384784614.2048,71847203684.9646,67727583713.1553,61041618961.5874,61262074657.6241,62224569444.3114,60661037951.3798,65111567731.9761,66163212302.7688,74212581624.0372,86402439990.7775,90174964465.9786,94291885470.9463,103916379438.245,115285758621.354,124906397862.879,121499547427.117,112788588632.24,127175488217.963,113236868497.701,101180570392.159,97458444310.6202,88153810723.2782,98534892954.0839,99722348966.0228,105345188429.745,117319629918.421,126147791478.933,108862662244.658,103132819795.962
"Other DoD","Other DoD",6620572987.3436,7699051618.32898,11503199717.2847,10893366295.5292,10418516964.8925,7894054223.20342,8101025595.91266,8775061872.79224,10795154336.5082,11583786899.6012,9623333699.70723,11824227651.0314,17619886698.1509,22186089126.6711,22051767132.7875,24709051586.4407,26980025572.1471,25252951605.9273,31076313453.6874,35768338838.3359,36532680667.2865,41030887732.4152,40909002490.5622,35768166518.4199,35875013790.1733,33666444365.9305,34618057118.8595,35983145082.3393,38868789595.2917,42406596707.9135,43430982370.8608,41169826056.8068,40861840747.514
