"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"BLACK HAWK UPGRADE (UH-60",-3234412,,,,75534809,94663867,74215825.0944,23294502.5566,6267909.8805,5510614.2203,1035548.4999,11809344.1849,28246438.9313,86620820.61,19913017.3088,232573623.6527,439569602.0377,733587271.8843,1032482695.8477,1029685688.0731,1001596419.4928
"C-17A ",-4746228,-682672,23465356,410914152,1260351400,1498226510,1951248339.18,3382381505.9866,2302232938.43,3937748293.865,3573248169.1858,3527392217.612,5502691461.6038,1961143068.6485,1617412327.4719,875152105.078,909691071.9537,442827955.5559,-16157042.1038,-20086034.8218,-46910239.6933
"C130-J ",,,,1899047,272575241,71582203,328393706,885464060.4574,1147089320.3728,801967764.4411,2923438276.2024,3187537219.3051,835521755.2762,1208448663.1719,2337976019.9025,1463451495.9049,5565212122.7758,1659661667.8094,1886993444.8939,1889634750.5089,3317774540.5356
"E-2C ADVANCED HAWKEYE ",,,,,31922676,9021325,8609902,16126338,78672314.4727,467055106.2578,592060550.8711,980124725.6754,929401740.8428,911944892.8,955386251.5873,987593268.9567,1555534675.9832,1067444154.4554,1144196182.1916,2764551250.0166,1355906322.1603
"F/A-18 E/F ",,,,,429480827.0591,2116223705,2144448009.458,3015984321.0098,4434668644.2284,2659116110.9784,2554550761.3623,2581976930.4419,2749745664.63,2564636211.5335,2845739665.6613,510536554.734,1144805846.7943,124662216.8198,11566115.4575,11299756.1075,-9645578.2852
"F/A-22 ",,,,278982781,4247084514,2172292783,4940293889,6408106023.9843,4584560934.3672,4441826618.0391,2352786706.3597,2195560560.3017,1663615021.229,1469701276.01,1438385977.71,1447816626.26,1446423801.8031,1806072185.7753,42357732.0332,-11584522.9001,-17170445.5487
"JSF (F-35) ",178031456,268635741,6554622,239927692,196592861.0938,298929304,634208169,1065880921.7227,2731035654.3702,3691756626.1371,1874970548.0441,4876760172.575,4703656860.9744,12188274857.38,3808932854.26,11390479946.9339,10166002384.5202,24142780609.3471,15840251917.1669,17159190678.1875,35809210415.1919
"MMA ",,,,,44877606,434557003,871521962,1073009382,783627139,1088710802.375,1281857793,3027110789.6402,3765412842.0601,751308114.3,850821379.74,1758872527.909,3492411209.718,2821282548.3477,2755575563.4591,3882372006.5527,2790150199.0426
"Other Labeled Project",17378789555,16498488978,15214458035,20186223266.5,4432012686.68,5383156531.5474,6133515848.868,8888493096.7235,11912038383.5343,13339175043.2324,14285911816.1298,15888415470.4723,18398667996.1389,20020441837.8041,15989747158.5282,9852062013.0164,12559469046.4463,11821222948.301,12011907962.6422,11132269658.3051,6817791727.5687
"V22 ",,,,,217356961,1283300356,1206031696,1982775910.3563,2892461437.0703,2905749060.6262,3009617963.4144,2933479559.2798,3026050188.1968,2126739059.26,2171014786.2606,2116717995.2878,2240521439.5375,2394172267.8088,2510146679.9583,1848018802.377,1950733898.2883
"Unlabeled",17851791620.53,18927880367.9394,23370804422.1662,27465550634.9567,36644481254.1452,33948413085.3452,35789319397.9772,33889464811.9996,36032789176.0615,32662508395.3943,31126016037.0251,31118386974.4073,36519384354.7393,29930023106.831,26147751222.8058,31052042229.3639,35841872315.7048,38825637046.0643,45975381089.8782,50547183206.9697,52180433785.0622
