"ProjectAbbreviation","ProjectName","ProjectPlatform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"134","LAMPS MKIII (SH-60B) ","Aircraft",,,,,,,,,,,,,,,,,,,,,,386938.8125,,,,,,,,,
"136","M198 TOWED HOWITZER (155M","Ordnance and Missiles",,,,,,,,,,,,,,,,,0,2435645.3345,82195898.1592,2208571.2813,-11623326.275,7303016.8029,11808044.7625,27311.24,2771958.69,845145.7283,90545.9,-160058.7187,0,,-335645.1861
"137","MAVERICK (IR) ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,993735,77439608,40669.5,,64344,1518981.13,501444,-37105.5796,-2250,,-18292.3203,,
"138","MK 48 ADCAP ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,,,19000,50666619,22463630,39380693,36428807,21621682,740901,5646923,1601636,0,0
"139","MK 48 TORPEDO ","Ordnance and Missiles",,,,,,,,,,,,,,,,0,295365.48,203084.4063,58448,84680,,,,7944401,12846874.77,13705459.53,14045194.5938,15727569.5,3539500.9375,218558.3759,-75293.7188
"144","SIDEWINDER (AIM-9L) (N) ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,341917.1875,,,25520,0,,,,,,,,,
"145","SIDEWINDER (AIM-9L) (AF) ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,,4152,33000,54178.8398,0,58689,,-5984.1201,,,,,
"147","SPARROW (AIM-7M) (N) ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,11784140,4559948.25,10973664,8838602.5898,7022876.5,10222357,5695996,699000,,-21608.4609,,0,,
"148","PATRIOT PAC-3 ","Missile Defense",,,,,,,,,,,,,,,362356494,229743976,689834169,418880812.1602,452313231.5752,113896240.0763,69442984.6661,71125935.9981,157477895.5738,30031904.92,23469704.97,113187481.8891,184588041.7287,428048659.7694,258006975.427,46381235.5388,15201863.0347
"150","STINGER ","Missile Defense",,,,,,,,,,,,,,,,0,8392596,11242310.6119,5276333.2477,78690633.8429,9045300.7307,31432729.9469,43576495.5348,-160326.2,9608687.77,10773443.4,11563264.5469,242768.3848,-62424.2109,-1132566.2852,
"152","TACFIRE ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,,,44733,,,,,,,,,,,,,
"154","TOMAHAWK ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,3088817.3594,1474230.375,4168629.2109,-66058.3984,37718522.1801,29129535.0903,1240368.6862,2469285.57,86569.3803,238712.791,460214.83,196608.7101,0,-1168.0699
"156","BLACK HAWK (UH-60A/L) ","Aircraft",,,,,,,,,,,,,,,,,,610877,170513.0996,,8358932,1932169.2266,499886,437056.6,,0,,-4554284,,,
"157","M1/M1A1 ABRAMS TANK ","Land Vehicles",,,,,,,,,,,,,,,,,0,20665357.5151,20858232.7383,8830945.3799,2087132.4235,-268246.3104,-8056.68750000001,178431.33,2223880.89,620378.94,,-342175.3281,-1880,-23837,-231074.6699
"158","APACHE (AH-64A) ","Aircraft",,,,,,,,,,,,,,,,,0,58065408.3321,102285842.8348,31629127.6426,18816927.7923,45013776.3751,7690203.5625,66902484.39,26456585.02,-385509.5938,-1221045,18126,-35409.75,,-21653.9902
"161","CVN 68 ","Ships & Submarines",,,,,,,,,,,,,,,,,,,39835,,,69891.3594,11402.0996,,,,,,,,
"163","SIDWINGER (AIM-9M) (AF) ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,201702,,,2516945.1984,0,,,-145232.29,,-2060.3799,,,,
"164","SPARROW (AIM-7F) (N) ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,167342193,228372534,260701254,247655087,139493434,141679404,80088040.81,39641068.65,-8226520.25,0,-1009404.0625,217879.4199,-837026.0827,-198719.5938
"165","SPARROW (AIM-7M) (AF) ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,,136886,142363.2031,505213.0781,111861.0781,45454.68,,,,,,,
"166","NAVSTAR GPS","Space Systems",,,,,,,,,,,,,,,223719545,233048777,250051053,361930826.6172,687510417.1691,911017190.1799,1043143690.2457,982302281.8416,1240424995.444,894775969.045,1359417460.3782,683197110.1984,1017002072.4655,626910598.1056,709494739.4825,553340072.3239,446105016.4714
