"ProjectAbbreviation","ProjectName","ProjectPlatform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1EDA","M101A1 105MM LT TOWED HOW","Ordnance and Missiles",,210000,635224,399607,386578,97367,131331,197514,,,,140196,88059,123889,,,,,,,,,,,,,,,,,
"1EDB","M114A2 155MM TOWED HOW","Ordnance and Missiles",,,26788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1EDC","M110 8'' SP HOWITZER","Land Vehicles",,269000,-159400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1EDD","AFAS (PRE-MS I) 155MM SP","Land Vehicles",,,,,,,,,,,,,,137650,,,,,,,,,,,,,,,,,
"1EDE","M198 155MM TOWED HOW","Ordnance and Missiles",2952000,2532000,1362814,154743,300636,87800,413968,930903,1442880,1084435,3494622,451510,2107393,3693992,,,,,,,,,,,,,,,,,
"1EDG","M102 105MM LT TOWED HOW","Land Vehicles",,367000,-981579,-354678,,,,,,,,70000,,-251136,,,,,,,,,,,,,,,,,
"1EDH","M109 155MM SP HOWITZER","Land Vehicles",,2851000,1675997,56458,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1EDK","M109 155MM MED SP HOW","Land Vehicles",,1923000,1043552,-86954,247102,465136,1269691,729876,194492,436252,1040273,735369,666928,2003057,,,,,,,,,,,,,,,,,
"1EFA","60MM","Ordnance and Missiles",,,,,,,,104659,28650,89602,30396,,,7125,,,,,,,,,,,,,,,,,
"1EFB","81MM M29 ON MOUNT M23","Ordnance and Missiles",,9147000,7151430,320377,,,154936,,,441267,,352894,246365,311112,,,,,,,,,,,,,,,,,
"1EFC","81MM SP MORTAR M125","Ordnance and Missiles",,27000,,112689,,73910,143022,-35090,28707,111383,,226649,,192228,,,,,,,,,,,,,,,,,
"1EFD","120MM","Ordnance and Missiles",,,,,,,453022,1129509,766911,316700,674964,,817991,70937,,,,,,,,,,,,,,,,,
"1EFE","ARMORED MORTAR SYSTEM","Electronics, Comms, & Sensors",,,,,,,,,,,,,,8268,,,,,,,,,,,,,,,,,
"1EFF","IMPROVED MORTAR BALLISTIC","Ordnance and Missiles",,,,,,,,,,,,,,26579,,,,,,,,,,,,,,,,,
"1EFH","MORTAR FIRE CTRL SYSTEM","Ordnance and Missiles",,,,,,,61328,377948,889911,202055,,,52135,35150,,,,,,,,,,,,,,,,,
"1EFI","1EFI","Ordnance and Missiles",,,,,,,187920,,,,,,,,,,,,,,,,,,,,,,,,
"1EHC","M16 5.56 MM RIFLE","Ordnance and Missiles",,34832000,45227102,6200908,8055486,15906327,21433618,16729253,49539495,15938651,2052462,7041777,6602751,25459833,,,,,,,,,,,,,,,,,
"1EHG","M14 7.62 MM RIFLE","Ordnance and Missiles",,2913000,2087632,480255,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FAF","ROCKEYE","Ordnance and Missiles",,-50000,1528293,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FAS","MK-84 GENERAL PURPOSE","Ordnance and Missiles",,31898000,,55264231,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FBB","30 CAL BALL","Ordnance and Missiles",,,-31400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FBC","30 CAL M1909 BLANK","Ordnance and Missiles",,,,13738893,7400928,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FBD","45 CAL M1911 BALL","Ordnance and Missiles",,195000,-133125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FBM","7.62MM ALL TY EXCEPT BLAN","Ordnance and Missiles",,3019000,6850501,3099721,3667279,2014103,1967094,,94120,,,334365,,,,,,,,,,,,,,,,,,,
"1FBT","20MM AMMUNITION ALL TYPES","Ordnance and Missiles",,,,,3430374,6676557,,,,,,2446496,18041426,8588669,,,,,,,,,,,,,,,,,
"1FCJ","81MM M374 HE CARTRIDGE","Ordnance and Missiles",,1775000,,298674,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FCN","40MM AMMUNITION ALL TYPES","Ordnance and Missiles",,,,,,,560942,,,49000,,17494037,1564423,46474553.2002,2868,91071,,2190520.375,-0.28,311.83,,10439,,,113880.74,,,,,,
"1FDV","1FDV","Ordnance and Missiles",,,,197005,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FEG","38 CAL ALL TYPES","Ordnance and Missiles",,81000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FET","60MM HE XM720","Ordnance and Missiles",,830000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FEV","60MM SMK, WP, LWCMS XM722","Ordnance and Missiles",,,165000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FEX","81MM SMOKE XM819","Ordnance and Missiles",,1470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FFA","120MM TANK AMMUNITION","Ordnance and Missiles",,274500000,234329133,114490246,156116255,129117255,10611327,178244927,113252815,213529561,64106506,4468653,196667348,207290274,-37411,,,,,,,,,,,,,,,,
"1FFB","5.56MM AMMUNITION ALL TYP","Ordnance and Missiles",,,,,,,,,,1279049,,,1941408,,,,,,,,,,,,,,,,,,
"1FFE","9MM AMMUNITION ALL TYPES","Ordnance and Missiles",,,,,,,371978,267519,106282,,429904,329760,353760,205125,,,,,,,,,,,,,,,,,
"1FFG","25MM AMMUNITION ALL TYPES","Ordnance and Missiles",,,,,,,,,,,,,57596,,,,,,,,,,,,,,,,,,
"1FFI","CALIBER .50 AMMO ALL TYPE","Ordnance and Missiles",,,,,,,,,,,4350000,,,,,,,,,,,,,,,,,,,,
"1FFJ","60MM AMMUNITION ALL TYPES","Ordnance and Missiles",,,,,,,49600,425715,556428,,2323474,2185804,5235430,5833590,,,,,,,-28.22,,,,,,,,,,
"1FFL","81MM AMMUNITION ALL TYPES","Ordnance and Missiles",,,,,-137768,,121470,978948,159374,569366,58900,,3743,,,,,,,,,,,,,,,,,,
"1FFN","105MM TANK AMMO ALL TYPES","Ordnance and Missiles",,,,,1066012,,2012568,3186448,81880,,,167875,,1580,,,,,,,,,,,,,,,,,
"1FFO","120MM AMMUNITION ALL TYPE","Ordnance and Missiles",,,,,,45770,248120,1222118,1440679,37037903,299110,209112,143124319,,,,,,,,,,,,,,,,,,
"1FFP","120MM CTG TANK","Ordnance and Missiles",,,,,46450,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FFQ","30MM AMMUNITION ALL TYPES","Ordnance and Missiles",,,,,,,,,2e+05,4256886,300638,17455293,32183219,18807377,,,,,,,,,,,,,,,,,
"1FFS","105MM ART AMMUNITION ALL ","Ordnance and Missiles",,,,,,,,952153,,,37759,,,1955864,,,,,,3150.1699,,,,,,,,,,,
"1FGD","155MM M4 WHITE BAG","Ordnance and Missiles",,67000,860801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FKE","M739","Ordnance and Missiles",,,1164715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FLA","HAND FRAG ALL TYPES","Ordnance and Missiles",,,303301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FLE","HAND GRENADES ALL TYPES","Ordnance and Missiles",,,,,,,330375,1559055,5947007,1814068,,65640,2279830,2951739,,,,,,,,,,,,,,,,,
"1FLI","VOLCANO MINES","Ordnance and Missiles",,,,,,263485,1096436,109840,,741020,,1017560,235027,146868,,,,,,,,-600,,,,,,,,,
"1FMO","DEMOLITION MUNITIONS ALL ","Facilities and Construction",,,,,,,340091,400107,126240,522784,36300,,44521,,,,,,,,,,,,,,,,,,
"1FMR","M128 MINE DISPENSER","Ordnance and Missiles",,55000,55970,-27728,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FMX","WIDE AREA MUNITION (WAM)","Ordnance and Missiles",,,,,,13869797,39421569,19015098,23508803,24434992,25061336,25004133,22005792,301801,,,,,,,,36881.3711,,,,,,,,,
"1FNC","1FNC","Ordnance and Missiles",,,,1986000,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FPA","M650 E5 8""","Ordnance and Missiles",,79000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FPC","M731/M692 155MM","Ordnance and Missiles",,1079000,1118538,628139,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FPH","155MM HE","Ordnance and Missiles",,,,-1015582,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FPU","XM454 PROJ","Ordnance and Missiles",,-536000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FPV","M735 PROJECTILE","Ordnance and Missiles",,-26000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FPX","M718/M741 ISS MM AT","Ordnance and Missiles",,4581000,4653423,2966338,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FPY","M712 155MM","Ordnance and Missiles",,-350000,-7e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FQA","M483 155MM PROJECTILE","Ordnance and Missiles",,11954000,7702084,-3551082,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FQB","M509 8"" DPICM","Ordnance and Missiles",,4783000,4359124,,,,47054,,,,,,,,,,,,,,,,,,,,,,,,
"1FQD","M825 155MM SMOKE SCREENIN","Ordnance and Missiles",,2125000,168500,-416787,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1FQG","155MM ARTY ALL (EXCLG SAD","Ordnance and Missiles",,,,,7305229,375222,24302385,18421811,27362251,3130144,122400,,152064,2420326,,,,,,,,-3856.26,,,,,,,,,
"1FVA","AMMO COMPONENTS ALL TYPES","Ordnance and Missiles",,,,,,1261941,2098274,3879956,15725235,21006585,-17113398,133596711,16082368,29147068,,,,,0,-260051.5938,61788.9996,,,,,,,,,,
"1FVC","1FVC","Ordnance and Missiles",,,,,,,5238587,1146222,,,,,,,,,,,,,,,,,,,,,,,
"1FVD","1FVD","Ordnance and Missiles",,,,,,,,,,,,661935,,,,,,,,,,,,,,,,,,,
"1FVE","BUNKER DEFEATING MUNITION","Ordnance and Missiles",,,,,,,,4851000,,,,,,-4837390,,,,,,,,,,,,,,,,,
"1FVG","SIGNALS ALL TYPES","Ordnance and Missiles",,,,,,,,2927007,241147,,,,301026,3564,,,,,,,,,,,,,,,,,
"1FVH","SIMULATORS, ALL TYPES","Ordnance and Missiles",,,,,898002,1142307,-923899,4648338,35735284,3562681,5111835,60000,11096798,8402430,,,,,,,,,,,,,,,,,
"1FVI","MISCELLANEOUS AMMUNITION ","Ordnance and Missiles",,,,,,,31686903,4828008,3866748,63449228,22330452,112992736,27440870,43128330,,,,,,-5782.3901,-0.18,-0.8,,,,,,,,,
"1GAL","MULTI SYS TEST EQUIP (MTE",,,,,,,,,,,,,106830,0,257346,,,,,,,,,,,,,,,,,
"1GAM","LAND COMBAT SUPT SYS (LCS","Facilities and Construction",45000,529000,41440,123246,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1GAN","AN/USM-207 FREQ MEASUR SE","Facilities and Construction",,-53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1GAZ","AN/PAQ-1 TGT DESIGNATE LA","Ordnance and Missiles",9244000,476000,1790521,579686,-142675,59560,98142,,,,,,,,,,,,,,,,,,,,,,,,
"1GBN","AN/TSQ-73 AIR DEF MSL SYS","Missile Defense",2705000,1387000,561811,28431,,149262,-53461,-77963,59669232,639946,,-97500,7028886,6788409,,,,,,,,,,,,,,,,,
"1GCD","ERINT","Missile Defense",,463000,,,656603,1120000,600658,1e+05,,,,,,,,,,,,,,,,,,,,,,,
"1GCF","AN/ALQ-147 COUNTERMEASURE","Missile Defense",,,,,,,,,,234681,,935184,,,,,,,,,,,,,,,,,,,
"1GHH","DEF SATELLITE COMMS SYS","Space Systems",,,,,,,,,386360,323709,6997680,8936067,480371,,,,,,,,,,,,,,,,,,
"1GID","AIR DEFENSE TARGETS","Missile Defense",,,,,,,,,,,,44450,102544,10939,,,,,,,,,,,,,,,,,
"1GIF","AIR TRAFFIC CNTL COMM CON",,,,,,,,,,6129653,11861248,11494711,1574,-125000,603000,,,,,,,,,,,,,,,,,
"1GIJ","COMBAT SUPPORT TRAINING S","Electronics, Comms, & Sensors",,,,,,,,25449,,57600,,,,,,,,,,,,,,,,,,,,,
"1GIK","1GIK",,,,,,,,241048,,,,,,,,,,,,,,,,,,,,,,,,
"1GIL","INTGR FAMILY OF TEST EQUI",,,,,,,,,,,,,,,76108,,,,,,,,,,,,,,,,,
"1GNB","AN/APR-39","Electronics, Comms, & Sensors",,745000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1GNC","AN/PPS-5 RADAR PORTABLE","Missile Defense",,165000,136943,992625,231056,34060,205000,,-85151,,1724040,134560,46692,21492,,,,,,,,,,,,,,,,,
"1GNN","FWD AREA ALRT RDR-FAAR",,560000,-120000,-32044,-235564,-76300,,,,,,,,,,,,,,,,,,,,,,,,,,
"1GNR","AN/VPS-2 RADAR SET","Ordnance and Missiles",192000,1557000,826343,-45630,-35155,61793,210649,-453049,,,,,,,,,,,,,,,,,,,,,,,
"1GNV","FWD AREA AD CMD,CTRL&INT ",,,,,,,,,,,,,,,70622,,,,,,,,,,,,,,,,,
"1HAB","NV THERMAL SYSTEMS","Electronics, Comms, & Sensors",,,,,,,,,,,,,75000,,,,,,,,,,,,,,,,,,
"1HBK","SIGHT TRIPOD MTD AN/TVS-4","Ordnance and Missiles",,48000,,,75262,-75262,,,,,,,,,,,,,,,,,,,,,,,,,
"1HBW","SIGHT THERMAL TANK AN/VSG","Ordnance and Missiles",232000,10503000,1789326,124691,,-1147893,,2391552,,,,406920,1118094,,,,,,,,,,,,,,,,,,
"1HBX","SIGHT THERMAL NIGHT AN/TA","Electronics, Comms, & Sensors",67000,405000,,,,428005,28015,1503185,,-644471,,,,,,,,,,,,,,,,,,,,,
"1HDN","GEN SET, SMOKE, MECH XM15","Ordnance and Missiles",,,,,52607,,5956180,1591868,2230480,44367,,89178,,,,,,,,,,,,,,,,,,,
"1HDO","1HDO",,,,,,,,,30246,,,,,,,,,,,,,,,,,,,,,,,
"1HXD","AMMUNITION BOX M2A1","Ordnance and Missiles",,2006000,12142147,1835645,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1HXK","SHELTER SYSTEM M51 CB","Facilities and Construction",,,,,,,,58443,,,,,,,,,,,,,,,,,,,,,,,
"1HXU","MASK, PROTECTIVE NBC ALL ","Facilities and Construction",,,,,2762982,,,,,,,,,,,,,,,,,,,,,,,,,,
"1HXX","RADIATION MONITORING SYST","Ordnance and Missiles",,,,,68400,729000,,1390000,,62904,58941,,377740,,,,,,,,,,,,,,,,,,
"1HYC","CALIBRATIONS SET, EQUIPME","Land Vehicles",,,,,,137454,,,,,,32704,,133803,,,,,,,,,,,,,,,,,
"1HYG","COMMON GROUND EQUIPMENT","Electronics, Comms, & Sensors",,,,,,35616,,,,,,,,,,,,,,,,,,,,,,,,,
"1HYM","PHYSICAL SECURITY SYSTEMS",,,,,,,,,,,,,,76043,,,,,,,,,,,,,,,,,,
"1HYP","SIMP TEST EQMT - INT COMB","Land Vehicles",,,,,,,,78442,,,,,,,,,,,,,,,,,,,,,,,
"1HYR","SOLDIER ENHANCEMENT","Other Products",,,,,,,,,,,,,,172043,,,,,,,,,,,,,,,,,
"1HYW","COLL PROT EQUIP, TEMPER T","Facilities and Construction",,,,,,,,,,666272,,31130,86412,,,,,,,,,,,,,,,,,,
"1HYY","CLOSE COMBAT TACTICAL TRA","Facilities and Construction",,,,,,,,,48536,,,,,,,,,,,,,,,,,,,,,,
"1HYZ","NON-SYSTEM TRAINING DEVIC",,,,,,,,314460,,,493459,,93445,,33968,,,,,,,,,,,,,,,,,
"1ZBC","BASE REALIGN & CLOS (BRAC","Facilities and Construction",,,,,,,,,,249962,,,,,,,,,,,,,,,,,,,,,
"200","C-17A ","Aircraft",,,,,,,,,,,,,,,3428757,,10956423,10633.6797,0,314424.1485,396518.5938,463890.0684,3438966.8908,3382704.77,3865937.45,0,-39999,0,,,
"201","C-5B ","Aircraft",,,,,,,,,,,,,,,,,,,,,,25248.1602,0,63674,,,,,,,
"202","LONGBOW APACHE BLK III ","Aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19768.7109,2434.5801
"203","DMSP ","Space Systems",,,,,,,,,,,,,,,21403281,34044927,16743250,33195352,32762139.7793,29320052.8027,31306565.5801,27077769.6758,24027345.1387,33843567.34,6705349,12396833,11735348,2368305,0,-336787.4063,-10864.0195
"204","DSP ","Space Systems",,,,,,,,,,,,,,,,,,29800,297360.3751,189998.0117,79308.1302,55238,-6824.8,,,,,,,,
"205","205","Missile Defense",,,,,,,,,,,,,,,,,,,,,,,,,,10246390.5098,172394491.6172,30463675.6251,100712734.2188,39754053.0937,88122505.5625
"207","E-6A (TACAMO) ","Aircraft",,,,,,,,,,,,,,,,,,,,6999.1201,,,,,,,,,,,
"210","SBIRS HIGH","Space Systems",,,,,,,,,,,,,,,13018224,37434444,33928043,44974570.8515,243036895.1251,1558779816.1015,707363117.8773,497016133.5361,425078575.4986,818013002.82,1105181783.06,703269183.1259,813848674.2716,432348401.0835,509553307.2709,766870549.2379,430986861.8139
"211","ATACMS-APAM ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,1063337.25,549556.6719,-521.25,4836,96148,117360,578931.5,0,-600501,,,,,
"212","V22 ","Aircraft",,,,,,,,,,,,,,,34820,,,42286,11016144,471563.6079,8317,-5972.7998,0,,,,,,,,
"213","KC-10A ","Aircraft",,,,,,,,,,,,,,,,,,,,1463.5,,,,,,,,,,,
"219","ATIRCMS/CMWS ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,725118,314437,29053,,,,,,,,,,,,,,
"220","C130-J ","Aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,1442108.63,0,,-11380.4102,,2174044
"223","CVN 21 ","Ships & Submarines",,,,,,,,,,,,,,,9086718,,,,,,,,,,,,,,,,
"224","B-2 EHF ","Aircraft",,,,,,,,,,,,,,,,,,155422.875,,836381.3067,,230224.1856,797422.8672,317183.63,254229.59,26916.75,0,,,,
"225","PEACEKEEPER ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,,,,,7087.05,,,,,,,,
"227","OTH-B RADAR ","Missile Defense",,,,,,,,,,,,,,,,,,,646130.9199,-3916.23,42688.2891,8828681.5,-69217,896699,2212307.58,415024,-61145.1602,0,-280543.8438,,
"228","ABL ","Aircraft",,,,,,,,,,,,,,,350000,3030,,,,-80,,,,,,,,,,,
"230","B-1 CMUP-DSUP ","Aircraft",,,,,,,,,,,,,,,,,,,,,90625.3203,,,,,,,,,,
"233","SINCGARS ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,8431118,9705160,19399891,,,,,,,,,,,,,,
"234","STANDARD MISSILE 2 (SM 2)","Ordnance and Missiles",,,,,,,,,,,-2202757,1916685,-651335,19801741,153912627,422536709,903534359.8809,331652970.2949,505489829.3163,182547039.1329,574889628.6362,180305650.4721,113844465.7214,231167709.99,108667590.14,88693228.7774,104655636.9687,50279328.2187,-7199335.53,0,-5084.9502
"236","TOW 2 ","Ordnance and Missiles",,,,,,,,,,,,,,,,,0,17913976,296801414.6895,73463595.2695,67769939.4687,4837060.2187,13437.5996,159051,784216.74,-37926.7383,0,,,,
"237","GBS ","Space Systems",,,,,,,,,,,,,,,1619417,32546716,16537611,6801879,22072459.875,40371572.2188,40400902.918,39628179.3133,79067883.3631,44476140.1,21522628.22,35019975.7588,18355500.0853,7048347.4463,12645784.4178,9438571.9961,7442324.3125
"238","JPALS ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,-6000,,,,,,,,,,,,,,,
"239","NPOESS ","Space Systems",,,,,,,,,,,,,,,2706804,26280,1077968,2472165,382547,6102214.46,2411442,-366784.7002,-15312.5195,7575970,0,,,,,,
"241","SSDS ","Ships & Submarines",,,,,,,,,,,,,,,,,1493743,,,,,,,,,,,,,,
"246","HMMLTV ","Land Vehicles",,,,,,,,,,,,,,,,,,,725623.9375,1317880.25,,,,,,,,,,,
"248","MINUTEMAN III PRP ","Ordnance and Missiles",,,,,,,,,,,,,,,11038487,445311325.7969,27658592,4822520.1094,48201112.7295,18599353.5679,4953010.1079,4366301.8714,1602951.1104,286220.1,369657.55,63026,0,,-6560.7998,,0
"250","MLRS-TGW ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,0,27265.4004,0,371074.835,2607186.1797,4077230.75,2130738,1795326.6,1153217.6,-33425,,,,
"252","GLOBAL HAWK ","Aircraft",,,,,,,,,,,,,,,,,,695257,,,,,-190138.1875,,,,,,,,
"253","VTUAV","Aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100
"254","COMANCHE ","Aircraft",,,,,,,,,,,,,,,,,46550,,,,,,,,,,,,,,
"255","MSE ",,,,,,,,,,,,,,,,,,,,,,,,,,4346907.35,0,,0,,,
"257","NCES ",,,,,,,,,,,,,,,,,,,,92500,,,,,,,,,,,,3715526
"260","GMLRS ","Ordnance and Missiles",,,,,,,,,,,,,69354488,,7686615,169579393,167419060,306149822.6854,362758251.627,651835831.7774,2773765.1288,-8190264.2382,353053872.539,191653274.43,-6803874.97,92023294.6241,350207773.0199,495339070.4143,1333936322.3755,1835352827.6092,1853962304.2309
"261","AEHF ","Space Systems",,,,,,,,,,,,,,,1301064,37264362,1300000,22669147.5,29259772,23213687.4719,17655783.9345,13925704.3359,257017479.9208,737956607.2,340571748.19,314915404.2618,297738836.2032,534122877.6797,145275035.2868,199152993.0385,185877325.723
"262","B1-CMUP COMPUTER UPGRADE ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,,,-7804,,,,,,,,,,,,,
"265","F/A-22 ","Aircraft",,,,,,,,,,,,,,,153130,,,4014386.375,13769755.6172,621133.5,1100215.625,0,1712930,1024835.3,,,-79583,,,,
"267","SMALL ICBM ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,6158,5526,0,,,110150.23,,,,,,,,
"268","NTW ","Missile Defense",,,,,,,,,,,,,,,58871298,44468292,37279663.4688,32092507.2031,,,,11631574.8799,712515.0875,-568.97,,,,,,,
"270","TITAN IV ","Space Systems",,,,,,,,,,,,,,-1530000,57579906,988992,3229502,229574364,,,,,-38309.8789,,,-6931258.05,,,,,
"271","PREDATOR ","Aircraft",,,,,,,,,,,,,,,,,,,,31089.71,-16.2,,,,,,,,,,
"272","TACTICAL UAV ","Aircraft",,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,
"274","JSTARS ","Aircraft",,,,,,,,,,,,,,,,,,,,,,10399.1396,,,,,,,,,
"275","SFW ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,528553.4375,6426.52,,,,,24653.2,,,,,,,
"278","CH-47F","Aircraft",,,,,,,,,,,,,,,43140869,36748786,-9885,18400,,,,,,,3232.44,0,,,3972,,
"280","JAVELIN","Ordnance and Missiles",,,,,217604512,224466831,206132168,220906028,201668208,402742031,15607977,1155572,815350,383703,95047934,22114634,24765356,14844594.2363,21867280.7657,186113581.1992,484318189.4122,250323600.9108,650544030.4808,451733739.44,252136660.42,337120034.2957,244644480.7754,187409881.4798,421345998.8558,32901480.1619,24491995.7911
"281","HDBTDC ","Ordnance and Missiles",,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,
"282","MH-60S","Aircraft",,,,,,,,,,,,,,,,,,10769,485086,,,,14470,0,852000,0,10788,0,884250,0,
"283","155 MM HIP ",,,,,,,,,,,,,,,,,,,,,,7452,,9851.5,242361.29,-250,,,,,,
"284","JTRS WAVEFORM ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,,,,,,,,,,,,,36019.5,,,
"285","CHEM DEMIL-CMA ","Facilities and Construction",,,,,,,,,,,,,,,284746,-236118,137903.875,7711840.5,3080881.9575,3117153.001,339561.5508,1357766.7188,634093,-151430,,,-62193.8204,,,,
"286","RMS","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,,,,,,,,,,,,1302066,1370205.0313,0,,
"287","LAND WARRIOR ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,11952250,23678089,17144289.3438,2661065,-23400,-154656.3594,0,-653930.3125,-820202.28,-542806.85,,0,,,,
"288","B1-B CMUP ","Aircraft",,,,,,,,,,,,,,,2307352,77136,11091998,18669395,28756240.6875,19751909.0801,22905373.0938,11100017.9023,3179146.7812,-220847.07,0,,-955.79,,,,
"289","TACTICAL TOMAHAWK ","Ordnance and Missiles",,,,,,,,,,,,,,,480325042,311883468,442054866,366216982,463786392.9688,267953170.1032,335251815.6815,287042643.1909,41559121.5458,41512579.48,290988693.79,309549907.404,52112236.607,366859047.6828,544807464.5676,245010202.8149,536473074.3528
"290","NMT","Space Systems",,,,,,,,,,,,,,,27565326,26614240,25834777,37127431.7188,73571213.8907,80337145.875,99474398.1095,145669766.5156,119794496.0312,128028024.57,150670020.16,77609666.3266,7791515.25,846941.5781,738232.3749,3950608.6562,1315161.8437
"292","GPS III ","Space Systems",,,,,,,,,,,,,,,,,,44361764,19616785.8203,3459503.65,6232224.2002,3734524,18311.9395,402220,24657897,9710704.5,59033450.5625,50788884,52763830.4162,96777105.9688,54753424.8574
"294","FBCB2 ","Electronics, Comms, & Sensors",,,,,,,,,,,,,,,,4793734,,,,,,,,,,,,,,,
"297","HAEUAV ","Aircraft",,,,,,,,,,,,,,,,1105144,1845282,,,,,-79468,,,,,,,,,
"298","C-130 AMP ","Aircraft",,,,,,,,,,,,,,,,,,,17618.7207,,,,,,,,,,,,
"299","STRYKER (IAV) ","Land Vehicles",,,,,,,,,,,,,,,5673946,1547625,1509090,338027.7207,46509.1211,1986436.5,2005780.4492,111583.3301,-20400,,,,,,,,
"2AAA","A-1 SKYRAIDER","Aircraft",,,,88608,,,,,,,,,99897,25200,,,,,,,,,,,,,,,,,
"2AAD","RA-5 VIGILANTE","Electronics, Comms, & Sensors",,,,,,,,,,,,,69000,,,,,,,,,,,,,,,,,,
"2AAE","A-6 INTRUDER","Aircraft",1110000,1152832,1169368,715287,243154,733144,193190,,-37590,,174836,,126531,558385,,,,,,,,,,,,,,,,,
"2AAF","A-7 CORSAIR II","Aircraft",169000,485000,42739,66237,-55827,,,,,,70839,,,228000,,,,,,,,,,,,,,,,,
"2AAG","A/EA-3 SKYWARRIOR","Electronics, Comms, & Sensors",,,,,,,,,,,,,,43860,,,,,,,,,,,,,,,,,
"2AAO","A-37","Aircraft",486000,304000,,,101232,255668,580400,1128368,442255,1155397,376480,364380,,,,,,,,,,,,,,,,,,,
"2ACB","C-2 GREYHOUND","Aircraft",,,,56716,29212,,,,,,,,26309,,,,,,,,,,,,,,,,,,
"2ACC","C-3","Ordnance and Missiles",,,,207976,56812,,46407,121563,29984,,,,12856824,200670,,,,,,-83994.4429,-222501.6285,-112299.6817,,,,,,20577,,0,0
"2ACD","C-130 HERCULES","Aircraft",412000,7403000,132312,868330,25381250,161800,2206921,4449703,94079,59400,,131362,357659,765724,,,,,,,,,,,,,,,,,
"2ACE","C-11 GULFSTREAM II","Other Products",,,,,,159137,,59303,,,,,,,,,,,,,,,,,,,,,,,
"2ACN","C-9 SKYTRAIN II","Aircraft",,,,,78935,474614,70153,40904,724720,293689,33490,,,,,,,,,,,,,,,,,,,,
"2AEB","E-2 HAWKEYE","Aircraft",,,983005,551340,,,260000,365269,-952752,,891237,,78378,88311,,,,,,,,,,,,,,,,,
"2AED","EA-6B PROWLER","Aircraft",,,,1156068,,,,,,,,166195,1136911,792510,,,,,,,,,,,,,,,,,
"2AFC","F-4 PHANTOM","Aircraft",42000,140000,,612550,29512,620614,,,62730,,63224,,,,,,,,,,,,,,,,,,,,
