"Shiny.VendorSize","PlaceIsForeign","IsFMS","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Small","International","Includes FMS",53553361.187622,60131343.2856015,98681971.2168142,59765709.4545355,120986469.765674,138120609.767922,54108738.3743494,84643193.4005714,143480684.485
"Small","International","No FMS",3673748333.67241,1594227432.6808,1348269094.17732,1075164688.42393,1207391657.38246,1709475799.9649,1589196102.02426,1446415582.83859,1363622369.6223
"Medium","International","Includes FMS",903797447.919164,1145725353.07487,1385261248.00918,1553700251.85421,1219120855.78614,1179875845.87332,1659304642.71736,1189345660.45699,1299794575.4719
"Medium","International","No FMS",19086648814.4697,17197907344.2212,10444911594.3226,8793899101.29913,9796135529.74878,9965217020.72261,10315485517.5654,10610065171.3818,10733590499.5353
"Large","International","Includes FMS",652466767.838787,1001287694.75984,476421807.334071,502605732.840328,424650334.672983,983670384.816635,366050871.386321,365578757.526783,253780696.6604
"Large","International","No FMS",20972276328.6853,20327912792.2001,10528316014.8884,8358006399.62448,6245478315.91489,6395074942.01457,7711782858.96263,7606602223.70187,6614567641.4452
"Big Five","International","Includes FMS",468108907.404409,851698225.927387,458492050.531195,1289122741.57268,645897907.575528,715276191.923527,1213094723.76348,1606999797.31272,920135465.5125
"Big Five","International","No FMS",1960227427.49317,1508702909.94565,816938087.913717,600861094.221749,600582080.85804,489748033.498724,534703794.427129,539586458.677074,412621713.6748
"Unlabeled","International","Includes FMS",116975053.012631,141161986.131582,163156530.132743,43500996.2427322,120675641.479372,12402929.1766645,5106039.29148449,-11543068.1671258,1375701.6836
"Unlabeled","International","No FMS",2986794947.86979,1356753766.83899,459554647.036283,446254227.157705,611241126.294207,483143847.393533,188693850.798459,355127734.125089,54229779.1229
"Small","Domestic","Includes FMS",734349658.590424,852766932.265419,768198962.088827,996500393.948962,1283820917.53633,1198162346.54914,1682244897.76275,1822914062.28364,1729144861.5205
"Medium","Domestic","Includes FMS",3438682289.08072,2010477703.95715,1308862792.12345,2179682644.0671,2846852650.50125,2925676503.4883,2148177240.17604,2810826674.74941,2949697797.8836
"Large","Domestic","Includes FMS",6176383447.82753,4933067248.49667,5268353994.46184,4975379766.69191,5538005513.30038,4154848206.87864,5332131462.54476,4980132691.10713,4839212230.4153
"Big Five","Domestic","Includes FMS",19337578784.4905,11685733641.7274,7566264464.75177,14853612042.058,24277295676.3025,21701406015.6836,23697619108.5413,26303101906.4021,38146567443.2925
"Unlabeled","Domestic","Includes FMS",504987.403835113,730249.813958733,1659.29203539823,10928.9617486339,0,-3574.77132524995,-12116.3855923381,NA,73197
