"Vehicle.sum7","Commercial","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"FSS or GWAC","Non-Commercial",0.0327846107021518,0.0645142110385097,0.0151505118110236,0.00081064163372859,0.00550704327843738,0.0251139938973531,0.0365685565544868,0.0295703053619403,0.063854452135219,0.15255861045513,0.202745652706051,0.23290495246127,0.272618322774558,0.244986729933989,0.268222713923227,0.244131177240374,0.23696530814366,0.249579245134986,0.2099369395371
"FSS or GWAC","Non-Developmental",0.000280461494903737,,6.88121096931849e-05,,1.90897484999362e-05,,,0.00206977401299952,4.843286597446e-05,,0.000218353997129406,,,,,0.000252527412146352,1.10946283572767e-05,,
"FSS or GWAC","Not IT",,,,0,0.0325486128988893,0.0343901819409718,0.0510060481196883,0.0456804325622292,0.0597328118686001,0.0490052095342225,0.0625574175741187,0.0477437774267674,0.085212089931969,0.107845382482186,0.129007418755604,0.0951515154995746,0.145034592976785,0.241644280218753,0.3377738175204
"FSS or GWAC","Unlabeled",0.0145122366930917,0.0193982997358543,0.0340640564756992,0.0819499956254282,0.247563513335504,0.19436638534547,0.134851150760989,0.0894276114625662,0.174450538837212,0.0378576998244998,0.00911172322264324,0.0103653188386515,0.00754833461283186,0.0113604789638251,0.000879169747049269,0.00574053903307807,0.00355925695794295,0.0794739438033874,0.0866613259546
"BOA or BPA","Commercial",0.000503263023782559,,0.0624586519142004,0.000214188405797101,4.14655942806077e-06,0.000343150813967938,,,0.00178179618570235,0.0244491917751258,0.0351879077959582,0.10389753257763,0.279781082333518,0.387362209746776,0.396162836702436,0.499414415999575,0.465582884140433,0.398463526318845,0.6899779943601
"BOA or BPA","Non-Commercial",,,,,,,,,0.00150587059171739,0.000459795322920323,,-1.76568948021197e-06,0.00023716685840708,0.00734630594546448,0.0151178879771521,0.00920036033577962,0.0699863397017489,0.147686452340986,0.2555586110111
"BOA or BPA","Non-Developmental",,,,,,,,,,,,,,,,,,,0.00179047525
"BOA or BPA","Not IT",,,,,,,,,6.33269138321995e-05,0.000621263731367731,0.00247497056493283,0.00666834046160785,0.0085485392704646,0.00934148539748634,0.00687201712918246,0.0157098468626888,0.0225415736020196,0.02682810979196,0.039841798665
"BOA or BPA","Unlabeled",,,5.91718707575346e-05,,0.00037104118792289,-0.000111785758667827,,,,0.00105472168597169,0.000790257564014238,0.000772353140151088,0.000616077842256637,0.00071896243715847,0.00191556953297239,0.000685855528398213,0.000696619278471788,0.0122630807308438,0.0076794009489
"Unlbd. IDV","Commercial",0.336354947621744,0.174848310857778,0.0995566888406191,0.0313606811594203,0.0240512855866207,0.000309763887162918,,0.000180484834857968,1.76142737796873e-05,3.14470101790102e-05,,,1.54634955752212e-05,,,6.93145075515848e-05,,,
"Unlbd. IDV","Non-Commercial",0.0248277661381653,0.0150394216599472,0.00631223594895466,-1.13162055335968e-05,2.46163666539002e-05,,,,,,0.0177158232862556,0.00948801841244785,0.0095851464380531,0.00467880000918033,,,,,
"Unlbd. IDV","Non-Developmental",,,,,6.40431507723733e-05,,,,,,,,,,,,,,
"Unlbd. IDV","Not IT",,,,,,8.31465142289052e-05,8.95771338122489e-06,5.41646605681271e-05,6.82499128774317e-06,,,,,6.21973781420765e-06,,,,,
"Unlbd. IDV","Unlabeled",0.011808151189128,7.50173780063951e-05,0.00910059598153679,0.00268990382081686,-0.000385022341376229,0.000340488380763017,,3.16412386856042e-05,,,3.32345837639224e-06,,3.91261061946903e-06,,,,,,
"Unlabeled","Unlabeled",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
