"Shiny.VendorSize","Vehicle.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Big Five","Definitive",,,,,,,,,,,35440908822.3067,35948903990.1327,47776659011.3438,54278196524.9966,55558490629.5,53259275845.1808,64973547249.663,70152959199.9494,72284012501.9957,73132497514.474,62982188423.2848,77428747753.7024,72201528947.2691,70833345865.4822,58792969296.9425,58028075877.9613,75099570315.4622,82761095660.6681,75267614844.8127,83676754779.5776,110130865681.884,71460010866.9107,
"Big Five","Multi-Awd.",,,,,,,,,,,954407828.9487,1434905730.9412,1147976079.0591,2440380018.8361,3433365691.1569,3806012874.7521,5025016453.378,5719972202.883,5997098069.473,7056286270.4424,6665160500.9099,6435306199.1761,6322456582.5921,4354498928.821,3453615632.3878,3381118509.9518,3441416997.9324,3346085480.2613,3487127126.7793,4623437187.9092,3805605932.4813,3329812051.0273,
"Big Five","Other IDV",,,,,,,,,,,364489880,348304965,562595924,951276839.6167,1018738733.6654,934836414.7096,1247676364.6557,933665825.0786,942707662.206,532070698.7125,611981282.6662,1223033460.1955,1959000733.693,2246700316.7475,3020053954.9323,3444014691.7617,4435129365.8354,5314608809.8261,7149371575.3898,5110934282.9148,5249596938.1332,7036848802.797,
"Big Five","Pur. Order",,,,,,,,,,,45605280,48104965,79566334.0404,125690849.9995,116571017.9055,139482289.9443,141525329.129,124094436.484,165890344.2761,166231427.9342,160374646.4289,148057592.1619,156710777.8869,136443384.9785,127953001.3958,128196723.4973,126697430.809,111807526.9698,173707917.364,196859712.7099,134789995.066,126679301.583,
"Big Five","Single-Awd.",,,,,,,,,,,5865018219.97,8034814778.1189,10300389364.0235,12264743126.6753,12724149741.3695,15846607760.3059,17166500167.4366,22141602941.2455,25704519968.1123,26286874097.9054,26449841229.3485,24179844437.5677,24660840141.254,18882045930.2837,16613927040.0661,16904298246.6276,19777474455.0942,20854797734.1894,27189750760.374,30024466627.7624,33600325133.1572,32083734453.8188,
"Big Five","Unlbd. IDV",,,,,,,,,,,230314995,184385532.0469,165770920,64482618,46321680,9966674,8721981,54905693.8493,85457908.7731,77706805.2066,68909478.6841,51899147.3867,27814545.4214,17004708.52,15373461.04,10536989.9284,1406395.0499,3071787.4021,,,,,
"Big Five",,29993312707,31945138023,29753069568,30346592157,31747329388,28791249139,32842967690,34627617203,37288669184,39481622310,0,0,0,0,0,-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
"Large","Definitive",,,,,,,,,,,18187047485.9219,15352131485.3184,17678544530.5546,21913453489.297,22768534557.4512,26160321206.6946,27436760225.528,34077093550.275,43934949108.2887,41451151781.4137,40108032171.7419,38654528423.1905,44684879377.8814,42772293360.8054,39813912392.7477,39365336135.204,38327359273.4142,38249064712.7651,44550969763.0623,49972788693.4892,49239658687.703,65902961812.4268,
"Large","Multi-Awd.",,,,,,,,,,,4317306328.2933,4091381241.6499,5479275418.3008,6395791680.1719,8245786957.5494,11703396378.2197,12407225916.9865,14973490304.424,18334444769.7629,22310948486.8086,27143211430.4713,27886945640.9357,22471490384.9127,18140246342.5368,13470149368.4352,11666325716.6484,11715703481.8699,13464830077.8005,15427293896.6742,15229746097.3753,17006849298.1327,15108785192.1872,
"Large","Other IDV",,,,,,,,,,,1455000686.7941,1794975934.7868,2276682957.4964,2853380902.5171,3039659521.3361,3421779402.4326,3933733916.5185,3269012366.0919,2748037278.9025,2388280883.5244,2312404049.6824,3300640571.1413,5033039280.8692,5311052589.858,5552686064.8663,5792076203.5358,6258164613.2533,7370663789.3916,8768058589.8059,8636645912.7893,8162171433.2141,7383757098.429,
"Large","Pur. Order",,,,,,,,,,,206239589,242219170.5686,280184625.46,481982549.24,429100795.5066,598006211.9993,784218217.9173,858423782.6482,648513610.9167,690394651.7163,751326971.6403,782749232.7129,584727558.2873,456740776.3878,503664720.2226,511540265.9626,528395575.7818,411677657.3215,563245576.4511,572818945.0219,486021505.5839,360530286.2988,
