"PlaceIsForeign","VendorNTIB","CrisisProductOrServiceArea","2012","2013","2014","2015","2019","2020","2021","2022","2016","2018","2017"
"International","All Other","PAMS",104268.973856725,811444.949250377,403329.356266586,6874867.85266347,7653272.4335674,948720.823086084,93895.1168689425,51910.7898,6994409.59638276,5642816.7030076,5150994.00212999
"International","All Other","ICT",232285.44075568,394848.017830946,95318.8919445988,-245.886751250494,330842.190978389,144011.576346802,,,94633.038980543,7803.06962916466,-29738.7867492637
"International","All Other","ERS",4182112.97861327,5376274.96287554,1792068.25406001,1432732.92218638,-3190.73054402079,844396.349416399,2771572.06029188,1855614.625,802973.267019051,949622.234265658,2197749.12846447
"International","All Other","FRS",-449544.938974297,26766.8710172667,-20142.2851284495,,1158249.65206994,1055178.95613455,3078628.12734757,6505794.3023,175542.019326974,,
"International","All Other","Construction",0,363646.464298711,-31664.1279477917,181012.27866798,,,,,-74565.8819604269,,
"International","All Other","MED",32238.079993849,38598.911502039,110886.824416031,80074.7353949099,0,,,99297,,,
"International","Australia","PAMS",176083.649183823,470697.080203197,958317.65527075,5547485.05003755,32918073.8237074,11452824.7883963,1832360.84502959,3422266.3838,6833043.98205535,9327091.3996891,15281655.3935494
"International","Australia","ICT",37873.4474927737,23856.4819259552,,,,44529.7498926528,12029.4854428983,15035.0398,19651.4324215129,50016.8655189636,29947.6848094978
"International","Australia","ERS",14928.8376622216,-16511.942087327,1007921.66426079,752050.170507229,1561178.20025142,1791259.23373105,1425414.96196561,1358802.1885,14943.7018669274,74844.1029593129,842350.046780862
"International","Australia","FRS",-67736.4951169459,198458.927699261,25659.1474041587,,12819.3017225178,524612.001148459,4584636.46332546,11207763.2184,,0,127992.740593052
"International","Australia","Construction",,,,113947.51887218,18789.8222195768,12152607.0647765,1133801.39654862,1432050.3652,,12102681.4720928,
"International","Canada","PAMS",146457259.046835,119679287.556225,70716977.9967655,20611832.644046,29086415.5671297,50761213.3477745,55695113.042283,22682802.4401,63088134.1562863,35733656.4618569,22846363.4963059
"International","Canada","ICT",29369942.5493236,18812344.9573443,845561.765055747,31267613.4829488,1957445.46526255,15774591.8177547,9610589.12201155,9887090.9189,29320514.2208921,26462934.8456508,55498091.3309388
"International","Canada","ERS",60271120.7263507,65559037.3956314,33045462.8409747,34826250.8611674,8981790.48470165,26298873.2409376,62531534.8671973,64763959.2734,25911783.0056606,4758540.36905339,12266346.4528754
"International","Canada","FRS",32741.7999937529,19576.4695975034,3444770.06825879,185932.364610221,177144.86876213,181724.317337437,111779.999688966,356882.6404,301610.295318293,186298.693017544,331316.188618115
"International","Canada","Construction",0,,,,,,,455000,,,
"International","Canada","MED",-24147.0774953927,30748.5369597173,39942.4968194486,9567.99324256189,,0,,297550,9970.08533205236,,-2125.09066463297
"International","New Zealand","PAMS",307998.397354374,53671.4327562633,12222.4891932831,11994.4756707558,35552909.502389,8472312.11218017,12765471.6503116,58897.5,325075.561330893,981444.157177956,16872702.8629512
"International","New Zealand","ICT",15967.9239969533,13356.02474119,13102.5433553151,12954.0337244163,13305.3041645451,13130.1421872602,,,11785.4821491168,13565.9085949017,13884.4399141174
"International","New Zealand","ERS",104395.733861331,83266.8268638565,3009295.17464265,163024.789736122,9633872.90832821,15220959.0439543,23011549.9727238,16412200.7882,2556917.4506509,7185348.32232858,4767598.2606546
"International","New Zealand","FRS",,,,169017.155295537,,,,,,,
"International","New Zealand","Construction",,1415770.19472462,,,,,,,,,
"International","United Kingdom","PAMS",39772022.7320877,20781198.1783535,30647597.8640185,29603253.5740923,41353882.0241415,30482214.1851482,21239263.8994898,22623023.3848,23673116.0936228,38093098.1833354,46198823.1549897
"International","United Kingdom","ICT",33757358.9001322,-3893000.92103765,6219059.0687525,4669196.77868589,7962361.61286696,3999807.42237079,5400005.5227635,1579592.7011,3090293.84615183,9831796.87850933,3190233.22296785
"International","United Kingdom","ERS",150549862.777731,114436776.730868,-24699089.7464167,26918015.5857512,22630606.3863814,38535785.6435056,17147341.8545461,34598496.2935,27910234.7176034,12171847.7512832,27187184.5428663
"International","United Kingdom","FRS",21586331.3155133,2285919.8812218,86066330.6794415,9805297.01270003,14498166.4581917,23336225.7627771,41253773.2002688,94754293.071,6861449.74855778,7031995.1254219,5949852.25950829
"International","United Kingdom","Construction",0,,,,50172.7231756038,111371.752882404,88293.5995900505,,,111981.551040323,
"International","United Kingdom","MED",1774488.00375457,1279357.11279469,1110785.01280137,905756.96269957,345329.011640624,308402.07701431,276208.146458218,273428.5351,473710.762776735,584078.189585283,536979.152847724
"International","United States","PAMS",26443601.7319385,15426007.0856011,22381498.3716754,26680150.1667333,36943403.913436,57048358.0165896,46302059.8337068,66016533.2264,40267802.2499392,60496118.4206027,40141029.4001122
"International","United States","ICT",-863180.956211575,-2791171.69336879,8964035.02285575,4468375.80192546,27479091.7531703,31094991.2436651,5019465.24315745,16226160.1202,9221759.2962511,8305827.3965897,1191167.40957497
"International","United States","ERS",13296864.9993478,16185846.8533229,7851215.59755878,13645675.9578162,52649447.6515211,37678333.345163,63172683.3704616,124848979.6199,39480365.555043,48151705.7728362,32617338.6111097
"International","United States","FRS",10615810.4801404,14765457.8731756,37145263.4214781,16969651.5530692,23399612.0491379,211388126.452319,62659300.6097155,101513673.3176,15331769.5069305,8340220.01510294,28755613.4619939
"International","United States","Construction",2173168.97238536,741850.500897736,3027693.98451922,0,80721480.5663125,8521434.6487613,19324745.823923,83584943.5079,2722.97156771349,27710831.4081876,167169.591545092
