"Shiny.VendorSize","PricingUCA.sum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Big Five","FFP",15769500422,18104658349.6406,25404712865.2106,26959762051.6493,24368126636.213,18977322400.7341,29268967389.4748,32881585052.1278,30510094768.5375,33819938991.1162,34885541165.3707,36282224057.0301,33065587817.9993,28744755268.3312,25572293909.4542,27161876995.8124,35330298395.2124,31775926308.8709,29619655946.8833,37112140950.5621,47662812120.0834,33381555847.3719
"Big Five","Less Common",2277765468.4481,3206457474.0601,3008138459.6937,3165060835.7165,4231971145.7386,8578668814.291,6268082668.2686,5383713906.8871,10756187360.0515,5650522044.224,3488190373.1264,2624895865.7098,2380067477.4736,1455723468.7364,456942582.5992,690270109.6197,549872636.4912,689621378.5161,831239779.9976,1092356848.515,1139896650.9764,1074473969.8939
"Big Five","Incentive",2820928423,3773294884,7413062727,7812730015.0469,9507088685,7825556946.25,10220657486.5866,9131086058.7346,12488175826.9302,12850978199.9005,17186029748.3012,34835863752.0275,25102254840.0189,31402254245.6674,25720874603.0141,26017419567.3447,25696894092.5125,24226798827.7144,36137348779.2238,42772788302.0783,35734108177.2378,41837675987.3376
"Big Five","Other CB",11710991946.3067,12115632435.539,16356776007.9609,24468716456.23,24817524688.3672,18766011184.944,29957829876.6659,27666709401.5383,25712009249.3061,28379364823.5446,28173529948.8311,27335349945.0547,24178335466.0461,21472897157.3249,24868391339.8565,24043338574.8695,22127660873.4516,23280882191.5872,22239303636.625,22110930907.1824,27487216483.519,18269810985.7144
"Big Five","UCA",7085716321,8394609557,7371974613,7057014272.25,9337928505,7716092317,12006254611.6402,14109721825.0147,10775624986.7222,10446451769.7769,12171161580.0457,6863059322.9446,17456486859.3699,13181056150.1268,5184738576.4892,3884231855.4577,18746475215.9055,32683627978.0683,24440024081.9901,20544184678.9775,40897085198.4828,14647760381.2821
"Big Five","Unclear",3235842445.4706,404767261,478292959.6016,661486347.2315,634997833.2785,12132520195.6736,841195512.6262,9954384055.1873,14937594263.2887,16104410986.1129,1034002745.6473,1525495647.4236,3145619267.2087,213352844.6462,220651375.3513,99103936.6241,430493746.6099,-265389685.4401,0,50903.5586,65050.4219,0
"Large","FFP",12884576917.4424,16405269801.1048,18395524955.1527,28754468433.0762,32057362418.9515,33800209584.6809,39937908100.1687,49178038477.1367,64790392717.6443,58820836110.8029,58139368515.0591,53961396662.6005,48314410349.0185,43007452120.829,41841834633.9092,42034263842.1785,38677363511.6904,40581145026.9711,50221741344.9641,50025204918.1449,53345308296.1865,70321924118.4088
"Large","Less Common",5191211049.4763,6433421986.0285,7466039584.362,9006036455.8449,10967209076.4338,13354936412.1011,16628720690.4665,16114221029.3659,19245086534.1315,22744792278.5751,19861102388.6656,18181587136.9321,22404525876.7609,12272336335.1264,8860668657.9275,6274154586.2859,5289036840.4437,6351474444.5396,7800618822.8927,6038995663.1927,6182550827.4598,6793786909.9443
"Large","Incentive",1966807251,982417772,1416064764,2492275670,2443602204.5957,5633764306.5664,6859900565.4906,7611664190.0124,7774529616.6248,9364394824.9979,10701083073.7957,9727011427.8964,10930485671.6981,9987467544.4029,9488765091.8423,9265562476.9317,9147228041.6513,9469766040.6968,8353312713.7409,13817415354.4736,11565569498.1228,7822806943.8326
"Large","Other CB",10509727004.9219,8986599056.2188,11011558465.5564,15473945431.8792,22010774737.6474,17965512145.1856,23495691292.8864,21539777624.6654,26369166994.7827,25324243162.5376,28694846169.6139,33190173499.5344,33371284274.6711,32385273401.9259,29360797635.6957,27526795316.7832,26336347432.7808,28997576569.2348,27240600240.9185,30823386166.6824,31214392825.9745,33726620321.6608
