"PlatformPortfolio","Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aircraft","Big Five",0.512318139335697,0.54120983948321,0.578999319622111,0.553213277751275,0.587179863086753,0.581833096167873,0.624069919172008,0.604249878165819,0.595303251387107,0.610426655449911,0.585932734000833,0.604025149277216,0.616103910607216,0.631903477244059,0.598278928066822,0.550973100674536,0.604967739680474,0.617203707871474,0.570341422650286,0.584230031120982,0.555588413929383,0.577400780758923,0.609487184054649,0.634569485407152,0.57131693935986,0.587293815021491,0.687085186959785,0.718880468961395,0.642692249911598,0.61404010321997,0.711036622617574
"Aircraft","Large",0.327451162654996,0.270371767834254,0.268439341551288,0.287448494924191,0.266278099158793,0.261872797676588,0.249830725738662,0.26826592656933,0.2714401473985,0.25635502338611,0.256679709775205,0.25417061787649,0.244794261392808,0.264986812927495,0.283274669761172,0.309591656889643,0.277007504110102,0.277107088283932,0.319310929860674,0.30029240181164,0.309311741125407,0.294645484003305,0.261180590051933,0.238293098258979,0.286677335319312,0.269034197823587,0.194659581913952,0.156565636409841,0.208938998998476,0.228632575994081,0.175851162343961
"Aircraft","Medium",0.0912475397389248,0.134979110956725,0.108907380238055,0.111243504875299,0.0945308992577199,0.103142228762594,0.0713587081415136,0.078341368745164,0.0831610541035756,0.0781437292988577,0.0949270811711268,0.087128022844188,0.0780519438970251,0.0512821857464398,0.0645345792796581,0.0763236317075308,0.0652176350203531,0.0561348978950835,0.0587484326280127,0.0648394576519873,0.0793679392029249,0.0794920870957803,0.0848300999535015,0.0807921174336932,0.0826639183871569,0.0871717957952573,0.0688774582997309,0.078597336524037,0.0902891330726548,0.101764873717364,0.0747034378346097
"Aircraft","Small",0.0271692744052413,0.0437838240092786,0.0320396190337085,0.0352996323866471,0.034389988477812,0.0409882333663834,0.0418851737941075,0.0488456967917483,0.0488438041926702,0.0550007211671804,0.0619557693834376,0.0546762100021062,0.0610362131499519,0.0517345079488212,0.0536954111564132,0.0629103543367906,0.0526539131722587,0.0495140895931827,0.0514815900957971,0.0505479676103867,0.055054296736346,0.0472206661626267,0.0443365027824408,0.0462715074442844,0.0592387356241955,0.0565127127916853,0.049374346943987,0.0459543020896805,0.0580706445393836,0.0555621987586989,0.0384048232643507
"Aircraft","Unlabeled",0.0418138838651407,0.00965545771653308,0.0116143395548373,0.0127950900625885,0.0176211500189218,0.0121636440265613,0.0128554731537092,0.000297129727938416,0.00125174291814733,7.38706979414652e-05,0.000504705669397632,,1.3670952999503e-05,9.30161331848791e-05,0.000216411735934571,0.000201256391499184,0.000153208016812033,4.02163563273159e-05,0.000117624765229804,9.01418050046273e-05,0.00067760900593964,0.00124098197936558,0.000165623157475843,7.37914558911489e-05,0.00010307130947524,-1.25214320210884e-05,3.42588254472646e-06,2.25601504668768e-06,8.973477887117e-06,2.48309886380107e-07,3.95393950409696e-06
"Ships &
Submarines","Big Five",0.131731916900713,0.235938520693819,0.0887731392547752,0.0773412669631944,0.127358795533697,0.121840088313251,0.287322559598986,0.326838883466565,0.410093619557565,0.390742778108043,0.283871945964923,0.2727582199272,0.675436844625676,0.582900107896042,0.617786560201033,0.679931217531692,0.662644930570393,0.658829816751245,0.638853096198961,0.630154375007924,0.524371186026979,0.612354901785405,0.346920080985345,0.33222899006365,0.436981960903169,0.387755625679063,0.405946534193111,0.343837958090392,0.317310627162654,0.330798081869517,0.452349719770535
"Ships &
Submarines","Large",0.332816157412612,0.403712171461794,0.496048556155903,0.392636167750652,0.443433048255428,0.249758117192252,0.340756557321963,0.25583836941982,0.209693197099644,0.281423961004328,0.442793059917959,0.11124996235064,0.131459051704616,0.19929792279418,0.213236425844896,0.138664509360285,0.177379779766486,0.172337928885628,0.209394310028762,0.18122666333935,0.226088859804584,0.188464663782985,0.442874324685564,0.464079232818326,0.36450884778077,0.383927343064265,0.370490536343,0.444236447176546,0.401148141972211,0.374206856188002,0.339054014201342
"Ships &
Submarines","Medium",0.379802729626802,0.220618919887616,0.256673114990164,0.411276685562382,0.305567677296338,0.525071073616872,0.261094796411954,0.308215470607372,0.298405921111303,0.228071167450088,0.164044747083293,0.533082633722787,0.104822179947006,0.0968853518917563,0.0783202057215899,0.0902232011567498,0.0619002928188787,0.0636275069543905,0.0618197364420637,0.0831171942458973,0.096894390983309,0.104372343692943,0.0979851658014182,0.0995185627056319,0.09267184175147,0.105189429512777,0.105236346279585,0.0864461121623349,0.108906030015167,0.11491563997487,0.0567089592994472
"Ships &
Submarines","Small",0.150095997965422,0.128733805207148,0.138989950607411,0.107755617754705,0.114932665285368,0.0981364756448382,0.106121910717737,0.108008097654667,0.0807658123329376,0.09973354102419,0.109290247033825,0.0828890035691179,0.0880693834249761,0.120915499792203,0.0906401661148203,0.0908189765370722,0.0979533678982293,0.102537489228208,0.0887545725572694,0.104150581933882,0.152144223135924,0.0945432534924851,0.112165028981156,0.10408281572767,0.10578131515912,0.12309074694372,0.118253070287856,0.125426287558192,0.172624282182455,0.180072393220516,0.151879586751425
"Ships &
Submarines","Unlabeled",0.00555319809445157,0.0109965827496231,0.019515238991746,0.0109902619690671,0.00870781362916966,0.00519424523278637,0.00470417594936009,0.0010991788515762,0.00104144989855009,2.85524133509539e-05,,2.01804302550363e-05,0.00021254029772667,1.11762581798272e-06,1.66421176609148e-05,0.000362095414201171,0.000121628946013642,0.0026672581805288,0.00117828477294339,0.00135118547294747,0.00050134004920348,0.000264837246181232,5.53995465157557e-05,9.03986847209212e-05,5.60344054702036e-05,3.68548001750504e-05,7.35128964486309e-05,5.31950125354501e-05,1.0918667511832e-05,7.02874709367147e-06,7.71997725070131e-06
"Land Vehicles","Big Five",0.207368272331061,0.213805220642324,0.189072944955802,0.215240175045266,0.351654608544291,0.204248403687872,0.21382748303126,0.209755026553005,0.235558534810808,0.196090802236841,0.246736619150311,0.198555162156232,0.25761638622762,0.117222664982302,0.169928173590581,0.208825908418537,0.338799388284562,0.242543541883588,0.202368931857143,0.238940732451981,0.174040445096116,0.192026147365598,0.239912640911769,0.254089720311003,0.268802412978732,0.126240000206325,0.147970591500536,0.22387006600857,0.245492266447904,0.197175194976904,0.212541552705056
"Land Vehicles","Large",0.406303625329588,0.395098328138959,0.251387232463511,0.401674337273393,0.30220741389167,0.187692047166407,0.25437307488687,0.209316789635854,0.202208493566364,0.240504391056087,0.301872567357691,0.287340448805532,0.235579009146801,0.171333324999818,0.338527674826891,0.270155572002416,0.281593103991812,0.448554718886855,0.525077072731107,0.472416289892554,0.592207790680178,0.520632807454698,0.525976772215653,0.453387506153403,0.397690268404723,0.453589660270363,0.490946384457873,0.376740092125641,0.500055818276392,0.497277522806008,0.514671646340016
"Land Vehicles","Medium",0.102852329526422,0.258221699566943,0.374328871941429,0.257824655409091,0.23937849940314,0.45177579117836,0.384566110201728,0.444205842082087,0.416022954569127,0.448740665944924,0.348403175573063,0.41348865370097,0.391757354020186,0.604907750351572,0.326784283148471,0.40326452292719,0.270954330583636,0.230280740537047,0.206417746234363,0.203375198827446,0.168961961086499,0.195478171759858,0.104399866722321,0.165256235150609,0.164082349961817,0.277282332215097,0.220559950308509,0.252495199449224,0.142035128589928,0.1897288146489,0.152132771288567
