"","OR","2.5 %","97.5 %"
"(Intercept)",0.00516111179326318,0.00302712546011703,0.00879946183054155
"cl_def6_HHI_lag1",0.969845454627524,0.846934265000478,1.11059410952176
"cl_def6_ratio_lag1",0.964408158713337,0.892321558773814,1.04231830717048
"cl_def6_obl_lag1",1.20943669259023,1.02966346314025,1.42059727837926
"cl_US6_avg_sal_lag1",0.832632994882504,0.731229285220832,0.948098931729242
"CompOffr1 offer",0.762393277656952,0.655393475691262,0.886861910249344
"CompOffr2 offers",0.96989507127749,0.83725638069809,1.12354646793379
"CompOffr3-4 offers",0.912003732800458,0.8003378081337,1.03924967706014
"CompOffr5+ offers",0.987149309962882,0.865571343991235,1.12580409104909
"cl_Ceil",4.28502126298286,3.75012270678912,4.89621504677012
"cl_Days",1.66543625442014,1.45379138116067,1.90789266842575
"VehS-IDC",0.765517169236705,0.678644023922135,0.863510936130214
"VehM-IDC",1.11284662526449,0.943730466103594,1.31226833915376
"VehFSS/GWAC",0.802538874017761,0.662795703060831,0.971745352806827
"VehBPA/BOA",0.656296378247406,0.496743498879668,0.867097278720505
"PricingFeeOther FP",0.840686430687901,0.496347269403169,1.42390966629593
"PricingFeeIncentive",9.76161138614837,5.44451523502538,17.5018441019639
"PricingFeeCombination or Other",1.83975681329273,1.2143221098383,2.7873206825722
"PricingFeeOther CB",0.926294137465322,0.69020214140037,1.24314425823392
"PricingFeeT&M/LH/FPLOE",0.950089938485013,0.608712565658925,1.48291811625956
"b_UCA",13.1140313447321,8.37235395878419,20.5411547286745
"b_Intl",0.865730060022057,0.689862860210241,1.08643120256884
"cl_def6_HHI_lag1:cl_def6_obl_lag1",1.04959214136167,0.86744470138373,1.2699871950925
"cl_def6_HHI_lag1:b_UCA",2.02952340609299,1.11228302286501,3.70316292814549
"CompOffr1 offer:b_UCA",0.532555634065636,0.227982114009239,1.24402523683748
"CompOffr2 offers:b_UCA",0.131245361176252,0.0191408212141272,0.899927157648362
"CompOffr3-4 offers:b_UCA",0.435385884792093,0.176298417354358,1.07522728519552
"CompOffr5+ offers:b_UCA",0.145967570252264,0.0349032333976482,0.610445780842335
"cl_Ceil:b_UCA",0.13798189722845,0.0732350981139626,0.259971031009417
