"Commercial","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Commercial",2041880533.69196,2176929954.12206,2664617191.10209,2666147670.92319,2605872164.69322,2925037547.085,2866422921.55924,3264019649.17285,3760162837.18021,2984397378.54662,2871424917.92364,2888212317.74879,2680376064.9792,2464384399.36536,2912500635.69507,2960635523.45799,3469365654.57485,3470857950.70901,3593357526.4675
"Non-Commercial",1279037991.2231,1869489331.29431,1876134131.03706,2038922289.11397,753361658.360015,1174594951.24394,997009609.123828,1042593320.46521,1053023448.08175,2664888450.40435,2529974138.36169,1634320644.08141,2275035948.35332,1797740559.71202,2006007154.03747,2350419647.19974,1882990492.22288,2163965444.70177,2748258575.4306
"Non-Developmental",2999459.22989807,237587.932712359,864458.322020092,1010272.72727273,295044.044427422,46621.1010314403,NA,2069774.01299952,48432.86597446,NA,2014198.20174532,1991017.49915436,796837.610619469,23480.2841530055,-15522.3282079047,252527.412146352,14402.696231522,36.6493214978063,1790475.25
"Not IT",5718115.7984145,15077838.1760044,1869545.20771111,643096.179183136,229984077.914209,483765825.571766,616476984.838305,591629283.514925,506786126.360186,660496214.735229,695928555.854289,666794094.504566,810246809.971903,1129698335.9059,924086456.171955,910806260.93044,978142233.829794,1001534497.10234,1087743954.3327
"Unlabeled",258845614.241789,258054864.234395,609194137.697665,551630614.820158,1333446203.09371,320608947.853859,259817773.190552,484928521.290202,1194463046.54589,140785141.75196,12589364.1608681,9023246.66591498,9343971.05022124,13016214.4171585,3775289.57693557,45702089.1005105,4400709.27045596,195927587.803591,244040724.3083
