"VendorSize_Intl","IsFMS","PlaceIsForeign","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"U.S. Small","Includes FMS","International",58733276.2986709,65951459.1431678,108225369.629724,65581942.921999,132835406.226388,146077775.104452,52907425.9597517,91303044.3039917,157186046.267434,318747149.793813,91299340.6247,115715453.632199,12921722.3496328
"U.S. Medium","Includes FMS","International",272676099.543061,351935062.998433,268594203.49548,458670174.210188,307929849.330191,719639128.65909,661425789.539392,567953344.18746,507720281.646214,496131133.311211,606496443.024,823008480.704013,210459248.401605
"U.S. Large","Includes FMS","International",236779568.408196,300736032.554687,457349150.254568,501933385.886689,318328339.361803,375694944.164578,328774285.23914,264977474.053075,194011969.756366,92695903.9708996,61356631.8586,98225548.5184555,
"U.S. Big Five","Includes FMS","International",486714308.910592,714063796.287609,249207889.296126,467569978.81682,446255663.105293,701654652.41554,855276424.399877,1295223773.95545,65569943.1801055,286153845.273888,184595276.4573,68938337.8716856,
"International","Includes FMS","International",1224868782.22413,1922474305.0447,1570246619.90535,2243429997.80631,1444573113.27655,1371207777.29667,1705437225.87451,1342330532.61284,1799726381.65397,433901774.582956,688059233.7262,520001389.861931,113065044.746409
"Unlabeled","Includes FMS","International",127429969.932097,154609827.697771,178152183.190056,47738871.448828,130963639.454397,13628762.8756471,3888935.91364177,-12670682.7188442,169188339.77071,127465716.620036,11553465.0058,-16586866.1569233,
"U.S. Small","No FMS","International",4008953995.5967,1722879920.91833,1469295531.12342,1215088905.45077,1285369272.05884,1774305724.62143,1363919410.12291,1534521212.13091,1485143569.88588,1192374234.99551,966985039.9661,1389536281.56278,214917868.714407
"U.S. Medium","No FMS","International",6681196197.25011,7280033071.18219,3103039895.55599,3446878045.91194,3960640653.70582,3695288072.66784,3556244021.95725,3808351164.31183,4121363381.18951,3573417521.38064,3292089253.2453,3888952410.71162,1527695617.33168
"U.S. Large","No FMS","International",15442649402.7923,13793466154.1179,6671445410.40872,5225013166.35849,3765717573.73564,4492742943.08335,5240293665.12104,5405114310.41361,4764963928.92964,2963178499.41303,3923121141.0766,4125972941.29289,
"U.S. Big Five","No FMS","International",2009106655.03858,1611394883.46299,867514358.83341,626919717.159972,605004195.399112,484902259.144698,497127327.400594,534298753.306328,397301878.430304,333180452.959977,347855738.0961,265386759.352965,
"International","No FMS","International",21943887486.456,20112630718.2037,13269503227.1716,10517868310.9194,9979148583.50091,9942410428.92504,11169260662.2611,10893158186.3992,9699839184.0457,10465083973.298,13527767894.4543,13794119426.3074,1734308921.82612
"Unlabeled","No FMS","International",3301855336.43562,1528951560.3043,499857730.753289,498858203.6978,685078808.795083,533361293.282027,212140922.217592,390596266.018143,666230887.947064,656293129.742515,244025772.7328,406113193.287321,303383.977729769
"U.S. Small","Includes FMS","Domestic",805379166.523631,935316219.667128,842500649.732681,1093645017.40809,1410386745.5965,1316581774.76093,1881843291.90754,2001005829.97348,1679611457.35666,1841970635.41836,1930956151.2114,2471772290.71741,209933283.06327
"U.S. Medium","Includes FMS","Domestic",3770293737.06098,2200618719.84904,1437528326.86721,2329781292.92073,3054520153.73669,3158693773.9647,2300014172.04926,3075472762.29667,3276197420.92685,2766814518.59439,2243442535.2769,4014072181.36996,3842529869.54552
"U.S. Large","Includes FMS","Domestic",6773768770.40787,5414740304.84488,5618814620.14969,5177722922.12333,3909956700.08043,4217842850.74867,5398336286.69878,4299766207.57543,4746676095.99137,3036680366.44317,3320765057.5091,3422711143.81811,
"U.S. Big Five","Includes FMS","Domestic",21200345309.2217,12717352800.488,8175735143.95795,14294271411.4577,22765623733.0574,17275992335.0656,22661922572.6534,25753208962.1311,37852316627.0858,19695520823.694,16540598125.6054,21362509575.3006,
"International","Includes FMS","Domestic",898973.283517306,118373.952613584,2155069.94726044,54656713.9082365,65490477.0558633,49385331.3687895,46614375.8494059,265327.588264272,6057813.41869895,83368632.3113202,62605742.4473,126849709.839892,159222.481735859
"Unlabeled","Includes FMS","Domestic",553831.992223329,636101.330670762,9098.44225924486,20702.4650077245,2537742.88406756,2203697.86532183,-13290.7079239108,0,80899.5806128694,2418201.07982307,-1748359.9076,550573.946505678,
