"fiscal_quarter","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1",58.2620177579664,65.0316145628881,59.2263093180753,84.2976582738056,97.8224897876009,108.22244962196,83.2124976635899,123.528515614986,109.073399327271,126.516212594573,91.6196331127496,98.7688742032174,83.5013742194011,99.4259170857068,64.8546308516785,72.459036878417,69.5099799661946,71.5840971656167,77.1977648127888,106.339874391315,101.880910545533,,
"2",47.1731566019133,48.2458788707024,59.3773148674711,78.4058778348207,68.7270380731962,85.4892974572659,107.389706938803,116.906665887903,148.576758190517,137.78036408845,133.089910591065,141.747440327087,123.93105818834,114.55125964513,96.8676587497298,89.4890943270992,96.8685125223024,112.419178631262,119.864747554176,110.529514872162,104.547747214263,78.4702385019904,
"3",44.2382715178043,42.4931671166133,46.027005034409,61.6110133976123,64.1714682070669,68.6141193849855,70.0054645682395,78.2134473655952,85.5255359392607,87.8221456148168,93.35443857096,101.002453784005,91.0623647236807,78.2022627253897,79.6609789043608,60.3134201639409,66.2395547763244,77.1165154156,93.8843907816955,81.5501665482458,96.9291961227311,110.546237406363,
"4",44.8812078914715,51.2836381927286,75.6850736180324,69.7649127669354,81.016325092673,87.4824627851992,116.110782123029,88.9152177657531,116.65017077031,106.574356928301,114.18184455538,89.2454480606767,111.741751726099,53.1380488546779,71.7255362811919,77.118969162866,90.1004369230137,79.6411391659706,81.9496761029969,92.9199559109173,117.978771354534,80.3488637046377,
"TOA",422.431915206831,455.256723716381,503.083238958097,602.007507298763,619.131143089872,662.02371541502,684.631686454743,750.431216602461,814.901984658468,801.469667790082,825.62477622628,806.238446238446,748.981513376966,660.043973390461,642.907079646018,617.926775956284,636.684353004873,648.039778770474,700.562148657089,707.071727374758,725.757,695.47406608491,687.280153772225
