"Competition.sum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1 Offer",15704095084.5616,17055241101.6167,18524094044.2513,28707682660.2835,25543612386.3235,38169380388.6229,43429882886.1392,43769304402.9952,52180959019.7391,47839521925.24,48304640270.2126,42538680098.7566,33695806201.1699,25088555384.9197,23297631957.7481,21634772831.9169,21568573082.9908,22411317387.1821,28008724161.6914,33148487423.1667,32301739323.9221,25850006439.2891
"2 Offers",49753999991.565,44020062474.7715,50761423802.7881,55043087664.031,53631270325.5787,65654027582.3307,68114284238.7156,67320421726.2103,67745167596.8467,67634798109.553,62037175300.7411,64571791275.4529,60283959208.1556,54616036636.2743,52672388877.6683,45014396932.2385,52046564530.7671,51117704494.1053,53723283274.1207,48110785232.2758,43650290130.1649,35526401096.4889
"3+ Offers",48483139539.9548,55811644209.2408,63898556713.1309,78977408481.7801,95710540817.3197,110770699872.758,119328285051.274,135595045914.751,155151959889.608,164798426298.597,151506350127.163,144174798853.509,141449818068.603,112283032762.916,106001677016.67,98843103717.5054,96260855368.976,102977360539.273,116561290634.387,127422384760.583,124623723346.079,90383855416.3262
"No Comp.",72293800826.9879,80451968951.9686,90669310944.2081,111656863631.351,116436954568.389,122900897553.942,136760066404.554,158815677241.024,181020652169.588,175521073978.066,165139786735.787,174320042007.875,170724727918.198,149508906500.97,128723669233.657,131916712765.437,150941985797.349,162238709575.487,170671462333.211,179158261191.809,209882457896.728,157043106351.064
"Unlabeled",8319618326.08627,9715382005.33482,16462317333.6094,19694419835.7285,20414943062.9263,12313323851.7573,9085932712.97894,2063397349.25612,3727125551.57604,2899258914.68332,5257874396.24943,5158900418.78917,4082211966.58434,3820957025.9832,2413439674.66914,1970977766.25279,1900505407.75225,2015838382.40194,4377725917.23746,3499881347.82257,10849438548.1875,19087622727.4666
