"Shiny.VendorSize","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",2597827057,2937642588,4504438332,4560154588.5938,5042191513.5,5644228393.3175,6651085217.0744,7672538168.6859,8339763366.1525,10414207193.544,10801727069.7948,10636643988.4245,11152261066.2837,10695830765.1998,7655528071.7965,9039166418.4982,9223239431.8824,6927585475.9931,12552471727.6743,12889130719.7656,18102604545.595,11207183265.4907,12681941766.5654,11578568806.741,11583289398.23,4731334858.76
"Large",569231648,514765690,543761432.625,538630686.5,946453048.8438,689331698,608242280.17,853736806.9953,639437941.2285,562612096.5664,474424553.0831,387158408.6834,386599048.9195,415663269.1195,455331119.6752,675660992.2374,678417627.6527,697780031.7634,972277316.9525,755003748.4283,782808545.1687,824329625.9845,634535436.2356,571786254.8549,554261452.28,335283229.1
"Medium",222078385,275471162,276033884,342297983,367695299.1875,442669556,384989400.035,543151744.2743,756965934.1259,619359661.9322,518175028.9423,439197492.9644,551658948.9409,494843536.0019,611987148.0463,440034201.3368,491853174.573,484413506.9977,583037521.5896,621433857.473,631282688.5807,575747783.9891,596885525.5262,683106068.0678,674673177.78,351377753
"Small",322171317,281338368,317367695.2,377992376,493670320.0484,460618621.7,486584321.731,520107485.3435,619783893.0805,649837360.9935,614689850.4305,613814752.2381,579148956.5845,489294900.9675,524342005.0398,520194905.9319,579692135.0066,720711098.5713,641985067.48,806103034.8826,854337346.8412,867943310.1097,895533825.6828,875179151.657,808162296.75,356305680.21
"To Be Labeled",1684742,686281,1272997,6675344,873072,5120437,5907890,9181264.2969,1493189.5,1923392.5184,1812344.3404,5878474.6299,6898626.9496,3243226.87,46305788.95,821510.3,2231954.06,2759124.2431,5966610.42,10135529.7295,7002746.4598,1081604.46,226993073.5501,180121517.69,406031269.35,213817046.88
"Unlabeled",,31799.4,,,,17973,1123841.57,,,80000,49500,,,866040,0,0,,,,98917.86,77045.22,,,,561779.64,
