"Shiny.VendorSize","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",507501620,538788742,669215973,549981448,612936081.5182,676514388.0448,1280933450.4166,1056600692.5084,2084672457.8295,2153537609.6804,2030131086.3538,2390554198.9353,2472279877.3579,2333161226.4258,2013427142.7843,2095995310.8623,2149836108.8077,2339751445.1785,2422004494.1135,2495526343.9916,2190820039.8105,1773526453.5254,1637516353.1624,1925617990.8929,1764203443.99,657167764.79
"Large",2976138710.0391,3473071254.3861,4861163805.4672,9253929917.879,12771484387.5899,14645803998.6716,16279281182.8223,15707055664.9717,17668035163.0685,20130480502.8794,21551979480.0347,23497227047.551,19777480153.2835,19231072177.2445,17637851237.5639,15891169415.8916,16383021131.4443,18982999428.6543,19775428015.7631,19706732076.002,22085826789.3767,30522694140.611,37825035675.1593,37516327390.57,42536744810.95,17511911147.99
"Medium",3500231353.3773,3910470193.9765,5161014460.9479,6983635326.8552,7714305209.7059,7214686430.846,8275754341.2591,9339219093.8811,9310060821.1765,11051915660.7488,12114788762.9548,14019363016.812,13424567438.3208,11782756504.9,8976602366.9243,8643857694.6599,9826018316.0121,12372656836.7708,11926619613.4507,13068652524.285,19651486446.0709,19661851362.4645,20765063378.217,22128099696.7263,23668661153.1108,11771738612.26
"Small",1585408733.2408,1563205885.1099,1904235620.7144,2062171280.1022,2218855909.2887,2984583940.7272,3148587694.6894,3336537623.1004,3705700132.2547,4005600550.5276,4325193350.9007,5100687914.55,5291077127.4281,5040281500.1117,5335681992.5822,5360903213.3552,5582090740.3137,6356335972.5709,6752993982.2339,7304905406.4548,7787580335.5374,8761175251.2682,7960022992.8499,8666127233.5231,7907533989.6804,4255479942.85
"To Be Labeled",56746173,65923671,141854645.375,64402695.0643,139579821.5992,146295351.6033,120702950.9192,230586926.0289,345745240.8179,367527148.4085,489737046.2751,555957580.8727,815591956.47,655270423.1008,849503999.3996,785997094.8739,732873945.2586,1056109492.1111,1241085234.2146,1822331912.4776,1941278664.9414,1907503796.725,2456144434.7684,1776387044.7315,2334936830.23,2021638719.21
"Unlabeled",1230549.0508,6143400.6188,6038934.2,7601270.6688,25709917.519,85759298.4561,162801904.7395,220758581.2856,336411021.7734,362900904.174,482097627.1958,638795125.545,783314324.7754,444671424.3383,400422883.0859,255916698.3898,361185442.0276,240329351.2965,149824503.3827,91855133.3335,53398897.5239,102895500.8888,65500600.0157,148306224.1925,97504912.55,43064286.64
