"ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Defense",6506896271.1198,7420418599.3494,10545115941.9841,16105347747.7887,20122322174.6054,22213036981.4812,24238830668.4184,24497884758.7179,27468028277.7697,30723657954.163,33024157518.5712,36792544582.1274,33864152089.4193,30720193694.7523,25679241583.4147,23029997076.4498,23858636087.5907,26346176148.3264,28367720162.7264,29627333196.4905,29368308989.5551,28664016702.31,30373207224.8044,31780507044.8988,32406631594.5412,15052614323.12
"DHS",1055000,988750,2015568.02,78125602.6394,134354919.2678,188937354.3944,731229908.3117,394500684.1885,638876735.8414,614866434.8333,602044182.8052,621421287.2828,675639241.6429,678646702.6876,563262972.4708,480190390.1361,547270460.885,1223289785.1658,1355828747.1977,956254497.9013,1134098829.0752,1312271192.2567,1571151314.7716,1235633375.0073,1497627648.94,911521073.48
"DISTRICT OF COLUMBIA COURTS",,,,,,,,,,,,,,,,,,,,,,178272.54,1488496.79,967778.88,1218400.54,412626.46
"Energy",34191391.0909,35875622.65,27976380.11,27054527.72,36206396.0866,42859327.6212,51766338.6969,74293375.8917,91862195.0561,83572179.9597,70925364.3163,59650463.5048,61564746.5078,40351129.4837,53152259.1321,71258737.5647,54832164.34,46989761.8658,52521265.8281,53388698.6352,49544119.5118,42969479.6048,57308056.5507,66944869.6075,85695775.54,31401719.74
"GSA",51491399.3516,82539258.579,115022663.8337,123620297.1154,41768645.1349,104813770.6096,55204357.6851,49357344.2386,58903419.9956,62736451.8529,203206714.5706,292895013.2824,282951215.8131,266421257.1851,183209396.1438,232298240.4889,273395736.98,299335877.5996,251067836.9497,622475833.5338,528081207.6265,819146452.906,925708954.359,1249048382.9326,1125423625.66,422141332.1
"HHS",496767845.0236,414976105.1959,403914929.5896,696859251.5518,743656675.0152,984981177.6579,1425365541.0693,846541995.2369,1364230138.4308,1867218094.3324,1631828201.2638,2403568473.8665,2145513545.8774,1880535294.2182,3026804353.7131,2298226239.7442,2515311751.14,2262698533.4073,2283415253.656,2902981638.65,3571007689.8199,6978571127.7068,6556955325.6963,2998254585.0225,2840428368.73,820475774.27
"NASA",202964378.2998,184029515.65,149638515.55,168202954.63,164707648.3489,112061012.4362,136184371.7255,144784590.8861,175501108.6633,134883020.1587,156676880.2596,165193930.8045,166629742.1423,150309976.2523,147608098.8974,124925701.1915,105624010.3459,178174099.4713,179423306.0872,169269038.7737,206224800.6219,142325917.7823,137092873.931,124321333.95,125359909.49,41787063.12
"NATIONAL ENDOWMENT FOR THE HUMANITIES",,,,,,,,,,,,,,,,,,,,22920,,,,,9848.49,12000
"Other Agencies",701396753.2413,733733334.7533,613332739.2405,732109026.714,886181109.1084,900181870.4145,1430537316.1439,2353598693.1292,1405446498.2674,2071028268.2387,2579803371.5485,2942332079.5953,1923819621.8642,2687896230.1905,2006896528.5865,2865615594.6543,2293744378.3624,2517891009.719,2291793781.9627,1965233805.4258,2073834201.9201,2310236776.0401,2452354793.82,2263420864.9355,2183380077.65,860123423.12
"State and IAP",104457238.8242,62918682.57,114848120.46,92395509.399,419295202.5912,207165054.3086,271719418.4653,417779460.6812,916682995.0279,721711959.1176,604919151.3253,575738967.956,950600974.7127,608958900.8201,762222663.9223,766659492.5828,653117682.4237,629205726.934,696620611.904,734727666.17,695806509.2771,941865532.9461,713551716.6649,1650896922.5961,1925957087.25,739568052.97
"THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES",,,,,,,,91525,138924,7000,78000,122351.7,16645.7,77000,176176.48,203496.98,143522.12,92000,82000,88023.5,115000,10600,149363.7402,184697.7402,11665.55,6000
"UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO",,,,,,,,,,,,,,,,,,,,,430462.4883,232353.6,654445.05,912110,868336.36,0
"VA",528036861.7568,622123278.3437,771658580.9166,898007021.0112,934378557.0625,999606859.4254,927223604.33,1111926153.806,1330954543.8683,1792281013.7624,2120287969.0544,2349117734.1463,2493423053.956,2453823070.5313,2790915589.5795,3164464458.2404,4732949889.6763,7844329584.0929,6789482876.8467,7458228077.4642,16082939363.3649,21517822097.7901,27919660867.9946,30789773615.0658,36116972801.77,17380937085.36
